Time (min),IRS1 (S),IRS1s_data,IRS1s_data_StdDev,
0,0,5.6055,0.3517,
1.7767,2, , ,
2.1356,3, , ,
2.472,6, , ,
2.8241,9, , ,
3.1808,12, , ,
3.5375,16, , ,
3.8648,19, , ,
4.2102,22, , ,
4.5647,26, , ,
4.9168,29, , ,
5, ,44.2222,7.3817,
5.2667,31, , ,
5.6234,34, , ,
5.9282,36, , ,
6.2059,37, , ,
6.5535,39, , ,
6.8109,40, , ,
7.0908,41, , ,
7.4114,42, , ,
8.118,43, , ,
8.4363,44, , ,
9.477,45, , ,
11.9151,44, , ,
13.3463,43, , ,
14.4096,42, , ,
15, ,38.5394,2.8061,
15.2291,41, , ,
15.9289,40, , ,
16.2788,39, , ,
17.1389,38, , ,
17.4143,37, , ,
18.0329,36, , ,
18.2812,35, , ,
18.9314,34, , ,
19.2474,33, , ,
19.4664,32, , ,
20.1843,31, , ,
20.4936,30, , ,
20.7961,29, , ,
21.1302,28, , ,
21.4553,27, , ,
21.7691,26, , ,
22.2364,25, , ,
22.5908,24, , ,
22.9249,23, , ,
23.6134,22, , ,
23.9385,21, , ,
24.2681,20, , ,
24.5052,19, , ,
25.2005,18, , ,
25.2772,17, , ,
25.8529,16, , ,
26.108,15, , ,
26.5346,14, , ,
27.3361,13, , ,
27.4986,12, , ,
28.3813,11, , ,
28.6928,10, , ,
29.5078,9, , ,
29.7448,8, , ,
30, ,28.8215,2.1105,
30.4288,7, , ,
31.4583,6, , ,
31.9707,5, , ,
33.0724,4, , ,
34.5623,3, , ,
35.8333,2, , ,
37.3706,1, , ,
40.653,0, , ,
60, ,16.9066,2.778,
90, ,6.4969,2.5828,
120, ,13.274,2.2956,
240, ,8.5116,3.7028,
480, ,12.2671,2.492,
720, ,15.3798,1.8148,
960, ,11.6523,0.2623,
1200, ,9.4559,2.4816,
1440,0,6.1596,0.3469,
