Time (min),MEK,MEK_data,MEK_data_StdDev,
0,0,8.5995,0.9895,
0.9233,6, , ,
1.2823,16, , ,
1.6344,29, , ,
1.9843,41, , ,
2.3388,51, , ,
2.6751,59, , ,
3.0341,65, , ,
3.3614,69, , ,
3.6865,72, , ,
4.0387,73, , ,
4.375,74, , ,
5, ,87.8721,10.9598,
5.5286,73, , ,
5.8627,72, , ,
6.2059,71, , ,
6.5535,70, , ,
6.8109,69, , ,
7.0908,68, , ,
7.4114,67, , ,
7.7094,66, , ,
8.0254,65, , ,
8.346,64, , ,
8.6733,62, , ,
9.0052,61, , ,
9.3438,59, , ,
9.6892,57, , ,
10.0368,56, , ,
10.3913,54, , ,
10.7344,52, , ,
11.0843,51, , ,
11.2062,50, , ,
11.5561,49, , ,
11.9151,46, , ,
12.2673,45, , ,
12.5472,43, , ,
12.791,42, , ,
13.0709,40, , ,
13.396,38, , ,
13.6579,36, , ,
14.0078,34, , ,
14.3374,33, , ,
14.6354,31, , ,
14.8814,30, , ,
15, ,42.8596,1.9966,
15.2291,28, , ,
15.5045,25, , ,
15.7822,23, , ,
16.0824,21, , ,
16.412,19, , ,
16.6445,18, , ,
16.9764,16, , ,
17.2902,15, , ,
17.6469,14, , ,
17.9539,12, , ,
18.2812,11, , ,
18.5273,10, , ,
18.8388,9, , ,
19.4664,8, , ,
19.8118,7, , ,
20.1188,6, , ,
20.9993,5, , ,
21.3559,4, , ,
22.5411,3, , ,
23.6789,2, , ,
25.2772,1, , ,
28.6928,0, , ,
30, ,22.4911,0.3663,
60, ,15.2785,2.2415,
90, ,15.3673,3.1137,
120, ,7.2387,1.9168,
240, ,7.3196,0.5023,
480, ,14.118,3.8245,
720, ,7.2806,1.5301,
960, ,7.3866,5.1622,
1200, ,13.0151,2.3656,
1440,0,10.2869,3.2822,
