Time (min),Casp8,Casp8_data,Casp8_data_StdDev,
0,0,2.4625,0,
5, ,1.9896,1.8065,
15, ,3.0707,3.1351,
30, ,4.5036,2.1426,
60, ,4.5468,0.3635,
90, ,4.0073,3.6939,
120, ,3.6376,6.3005,
240, ,3.143,3.0202,
480, ,4.0307,3.2741,
720, ,6.7639,4.507,
960, ,7.5755,4.9329,
1200, ,10.5908,3.7754,
1440,0,10.3413,4.6472,
