Time (min),MK2,MK2_data,MK2_data_StdDev,
0,0,0.6303,0.2547,
5, ,7.926,1.6685,
15, ,1.3144,0.3114,
30, ,0.6553,0.1853,
60, ,0.7162,0.4747,
90, ,0.6345,0.0397,
120, ,0.7844,0.3015,
240, ,1.1836,0.4219,
480, ,1.4264,0.5387,
720, ,2.2418,0.2906,
960, ,2.7659,0.6249,
1200, ,1.7995,0.2343,
1440,0,1.2134,0.0757,
