Time (min),IRS1 (Y),IRS1y_data,IRS1y_data_StdDev,
0,0,3.0916,0,
0.3522,10, , ,
0.7089,29, , ,
1.0655,48, , ,
1.42,61, , ,
1.7767,70, , ,
2.1356,76, , ,
2.472,79, , ,
2.8241,80, , ,
3.7362,78, , ,
4.059,77, , ,
4.4089,76, , ,
4.7137,75, , ,
5, ,82.8076,16.8703,
5.0636,73, , ,
5.3412,72, , ,
5.6234,71, , ,
5.9282,70, , ,
6.2059,69, , ,
6.5535,68, , ,
6.8109,67, , ,
7.0908,66, , ,
7.4114,65, , ,
7.7094,64, , ,
8.0254,63, , ,
8.346,62, , ,
8.6733,61, , ,
9.0052,60, , ,
9.3438,59, , ,
9.6892,58, , ,
10.0368,57, , ,
10.3913,56, , ,
11.0843,55, , ,
11.2062,54, , ,
11.5561,53, , ,
11.9151,52, , ,
12.2673,51, , ,
13.0009,50, , ,
13.3463,49, , ,
13.6579,48, , ,
14.0078,47, , ,
14.3374,46, , ,
15, ,39.0503,12.5877,
15.1252,45, , ,
15.3736,44, , ,
15.6896,43, , ,
16.412,42, , ,
16.6445,41, , ,
17.4143,40, , ,
17.6559,39, , ,
18.5025,38, , ,
18.8388,37, , ,
19.4664,36, , ,
19.8118,35, , ,
20.7284,34, , ,
20.9993,33, , ,
21.8729,32, , ,
22.5908,31, , ,
22.9249,30, , ,
23.6789,29, , ,
24.5052,28, , ,
25.2772,27, , ,
25.8529,26, , ,
26.5346,25, , ,
27.4986,24, , ,
28.3813,23, , ,
29.1782,22, , ,
30, ,36.8742,2.9744,
30.0925,21, , ,
31.1986,20, , ,
31.9707,19, , ,
33.0724,18, , ,
34.472,17, , ,
35.4856,16, , ,
36.6302,15, , ,
38.1969,14, , ,
39.434,13, , ,
40.9962,12, , ,
42.6893,11, , ,
44.5359,10, , ,
46.5677,9, , ,
48.8252,8, , ,
51.3536,7, , ,
54.2974,6, , ,
57.6294,5, , ,
60, ,37.9539,16.124,
61.6929,4, , ,
66.8536,3, , ,
73.5448,2, , ,
83.7036,1, , ,
90, ,15.0317,5.7622,
104.021,0, , ,
120, ,26.6463,23.5495,
240, ,43.0365,14.8872,
480, ,39.5536,10.1729,
720, ,3.8878,0.6449,
960, ,12.7983,5.3527,
1200, ,7.5163,3.8027,
1440,0,7.916,2.1182,
