Time (min),Casp3,Casp3_data,Casp3_data_StdDev,
0,25,50.5213,5.4796,
5, ,59.7552,5.1423,
15, ,54.1715,3.9526,
30, ,51.8179,2.1159,
60, ,50.1278,2.0122,
90, ,50.3177,2.2831,
120, ,54.2393,7.0442,
240, ,39.9267,5.966,
480, ,46.0102,5.3956,
720, ,50.4279,3.4504,
960, ,51.0798,2.3511,
1200, ,55.8313,7.4474,
1440,25,62.2189,4.7247,
