Time (min),JNK1,JNK1_data,JNK1_data_StdDev,
0,0,1.288,0.7376,
5, ,5.2468,0.3651,
15, ,5.3306,0.4874,
30, ,1.6551,0.3487,
60, ,0.712,0.2687,
90, ,0.6611,0.2815,
120, ,0.6348,0.0801,
240, ,1.5431,0.3057,
480, ,2.6056,0.0385,
720, ,3.3618,0.7001,
960, ,1.9783,0.5077,
1200, ,1.4464,0.4427,
1440,0,0.7906,0.5353,
