Time (min),JNK1_data,JNK1_data_StdDev,MK2_data,MK2_data_StdDev,Number_of_levels
0,0.3387049732,0.0367461228,0.2428314211,0.0953957295,15
5,0.7769081785,0.0677360887,0.7133913859,0.0777612691,
15,4.2537154646,1.4734919929,5.671287436,1.1083401694,
30,3.9247088664,0.9647753044,5.1771613753,0.3394271917,
60,0.5681224165,0.0902922768,0.7124654704,0.0554616478,
90,0.7409924262,0.1897217981,1.0623284102,0.0556764784,
120,0.6588425582,0.0766744509,0.8432315628,0.1142627547,
