Time (min),Casp3,Casp3_data,Casp3_data_StdDev,
0,25,50.5213,1.4521,
5, ,45.7517,7.3624,
15, ,37.7093,9.589,
30, ,33.9921,13.1335,
60, ,48.5701,3.727,
90, ,48.1851,16.0266,
101.1044,26, , ,
120, ,21.7253,2.3333,
142.6423,27, , ,
173.5769,28, , ,
198.1994,29, , ,
219.9843,30, , ,
240, ,37.0226,4.8067,
240.4327,31, , ,
258.294,32, , ,
275.451,33, , ,
291.7502,34, , ,
307.2818,35, , ,
322.1587,36, , ,
336.4486,37, , ,
350.2194,38, , ,
363.6583,39, , ,
376.7224,40, , ,
389.545,41, , ,
402.0064,42, , ,
414.4227,43, , ,
426.6583,44, , ,
438.7359,45, , ,
450.791,46, , ,
462.8302,47, , ,
474.4044,48, , ,
480, ,53.1119,5.4763,
486.3037,49, , ,
498.1533,50, , ,
509.7343,51, , ,
521.4281,52, , ,
533.1671,53, , ,
544.9738,54, , ,
556.6451,55, , ,
568.3841,56, , ,
580.2134,57, , ,
592.4852,58, , ,
604.1655,59, , ,
616.2882,60, , ,
628.5465,61, , ,
640.9401,62, , ,
653.4692,63, , ,
666.179,64, , ,
679.0467,65, , ,
692.1176,66, , ,
705.4233,67, , ,
718.8916,68, , ,
720, ,70.0071,3.2493,
732.6172,69, , ,
747.1532,70, , ,
761.2829,71, , ,
776.0289,72, , ,
791.1315,73, , ,
806.7151,74, , ,
822.4656,75, , ,
838.7648,76, , ,
855.7863,77, , ,
873.3948,78, , ,
891.6038,79, , ,
910.1017,80, , ,
929.8684,81, , ,
949.8834,82, , ,
960, ,76.3985,2.1989,
971.1445,83, , ,
993.5163,84, , ,
1016.9943,85, , ,
1041.6011,86, , ,
1067.7881,87, , ,
1096.1174,88, , ,
1126.316,89, , ,
1158.9301,90, , ,
1194.4812,91, , ,
1200, ,82.414,3.3639,
1233.2627,92, , ,
1277.5865,93, , ,
1326.949,94, , ,
1384.2894,95, , ,
1440,95,84.8885,2.1597,
