Time (min),FKHR,FKHR_data,FKHR_data_StdDev,
0,0,3.9045,2.2089,
0.316,1, , ,
0.6456,2, , ,
0.9933,3, , ,
1.3522,4, , ,
1.7112,5, , ,
2.0679,6, , ,
2.4268,7, , ,
2.7812,8, , ,
3.1221,9, , ,
3.4765,10, , ,
3.8152,11, , ,
4.1719,12, , ,
4.5082,13, , ,
4.8649,14, , ,
5, ,2.7264,1.059,
5.2193,15, , ,
5.5783,16, , ,
5.9259,17, , ,
6.2781,18, , ,
6.6167,19, , ,
7.3527,20, , ,
7.6936,21, , ,
8.0028,22, , ,
8.9126,23, , ,
9.6147,24, , ,
10.3732,25, , ,
11.3439,26, , ,
12.87,27, , ,
15, ,46.0945,6.7772,
18.3422,26, , ,
21.8661,25, , ,
24.4397,24, , ,
26.3744,23, , ,
28.3587,22, , ,
30, ,42.0974,9.6068,
30.3634,21, , ,
32.4199,20, , ,
34.4088,19, , ,
36.3593,18, , ,
38.2872,17, , ,
40.0255,16, , ,
42.6284,15, , ,
44.554,14, , ,
46.9898,13, , ,
49.7056,12, , ,
52.1505,11, , ,
54.5773,10, , ,
57.9816,9, , ,
60, ,5.416,2.6964,
61.0405,8, , ,
65.1198,7, , ,
68.8673,6, , ,
73.8812,5, , ,
78.4391,4, , ,
86.25,3, , ,
90, ,0.8665,1.2757,
92.9322,2, , ,
111.534,1, , ,
120, ,47.8941,7.257,
121.4444,0, , ,
240, ,27.839,13.3405,
480, ,35.0842,7.2443,
720, ,0,0,
960, ,0,0,
1200, ,0,0,
1440,0,0,0,
