Time (min),MK2,MK2_data,MK2_data_StdDev,
0,0,1.124,0.2143,
3.9122,2, , ,
4.2689,5, , ,
4.6053,9, , ,
4.9642,14, , ,
5, ,25.1273,3.5079,
5.3209,18, , ,
5.6776,23, , ,
6.0253,27, , ,
6.3458,31, , ,
6.6416,34, , ,
7.0005,37, , ,
7.3527,39, , ,
7.6936,40, , ,
8.0028,42, , ,
8.3324,43, , ,
8.653,44, , ,
9.416,45, , ,
10.5583,46, , ,
11.8699,45, , ,
13.0235,46, , ,
14.5812,45, , ,
15, ,54.2553,9.5248,
16.6287,44, , ,
17.604,43, , ,
20.2656,42, , ,
21.7352,41, , ,
22.8436,40, , ,
24.0898,39, , ,
24.8054,38, , ,
26.3744,37, , ,
27.1848,36, , ,
27.5392,35, , ,
28.7176,34, , ,
29.6094,33, , ,
30, ,32.4387,6.1607,
30.4808,32, , ,
30.7223,31, , ,
31.3905,30, , ,
31.7359,29, , ,
31.8827,28, , ,
32.2326,27, , ,
32.5418,26, , ,
32.7811,25, , ,
33.1062,24, , ,
33.4358,23, , ,
33.7022,22, , ,
34.0499,21, , ,
34.4088,20, , ,
34.6887,19, , ,
35.0386,18, , ,
35.3118,17, , ,
36.0613,15, , ,
36.3593,14, , ,
36.9643,13, , ,
37.2104,12, , ,
38.145,11, , ,
38.2872,10, , ,
38.9328,9, , ,
39.2647,8, , ,
40.0255,7, , ,
40.8562,6, , ,
42.2965,5, , ,
42.757,4, , ,
43.3462,3, , ,
43.9422,2, , ,
44.9581,1, , ,
47.2495,0, , ,
60, ,13.098,3.5455,
90, ,15.5413,0.5087,
120, ,9.9727,1.5405,
240, ,5.07,0.5,
480, ,5.2573,0.9278,
720, ,2.0053,0.426,
960, ,1.2107,0.2884,
1200, ,1.4007,0.4876,
1440,0,0.7067,0.0904,
