Time (min),CRY_ANIMO,CRY_ODE,
628.7883, ,7.5366,
629.592, ,7.9093,
631.2996, ,8.2899,
632.12,0, ,
635.5689, ,8.6783,
640.893, ,9.0636,
642.3997, ,9.4561,
643.7056, ,9.8559,
645.4134, ,10.2628,
646.2672, ,10.6675,
647.5228, ,11.0789,
647.9247, ,11.497,
653.9016, ,11.9217,
656.9153, ,12.3449,
662.4402, ,12.7743,
663.7461, ,13.21,
664.5497, ,13.6517,
665.4036, ,14.0926,
667.5633, ,14.5394,
673.9421, ,14.9918,
675.248, ,15.45,
682.0789, ,15.9079,
683.3345, ,16.3712,
684.5902, ,16.8399,
686.2979, ,17.314,
691.0192, ,17.7881,
693.9825, ,18.2674,
694.8365, ,18.7517,
696.5441, ,19.241,
699.5075, ,19.7308,
702.5212, ,20.2254,
706.3384, ,20.7248,
708.046, ,21.2288,
711.0597, ,21.7336,
713.6212, ,22.243,
714.8769, ,22.7568,
716.9864, ,23.2751,
718.6941, ,23.7943,
719.548, ,24.3178,
722.5616, ,24.8455,
723.2648, ,25.3774,
728.9404, ,25.9104,
731.502, ,26.4474,
733.511, ,26.9884,
734.0635, ,27.5333,
734.9174, ,28.0795,
735.364,3.7037, ,
736.173, ,28.6294,
736.625, ,29.1831,
737.4789, ,29.7404,
739.1866, ,30.299,
742.15, ,30.8611,
744.1591, ,31.4268,
746.0175, ,31.9958,
747.2731, ,32.5661,
750.2365, ,33.1396,
753.2501, ,33.7164,
754.8071, ,34.2964,
756.2135, ,34.3309,
758.775, ,34.3653,
761.7886, ,34.3998,
762.026,7.4074, ,
762.1904, ,34.4343,
763.0443, ,34.4399,
764.752, ,34.4456,
765.4552, ,34.4512,
767.3136, ,34.4568,
769.8751, ,34.4606,
771.5829, ,34.4643,
773.6924, ,34.4681,
778.564,11.1111, ,
778.8155, ,34.4718,
781.3771, ,34.4756,
781.7789, ,34.4793,
782.6327, ,34.483,
784.3405, ,34.4868,
790.3174, ,34.4905,
791.348,14.8148, ,
793.331, ,34.4943,
797.1483, ,34.4981,
798.856, ,34.5019,
