Time (min),per_ANIMO,per_ODE,
646.2672, ,30.8436,
647.5228, ,30.3961,
647.9247, ,29.9505,
653.9016, ,29.5068,
656.9153, ,29.0732,
662.4402, ,28.6416,
663.7461, ,28.212,
664.5497, ,27.7843,
665.4036, ,27.3652,
667.5633, ,26.9481,
673.9421, ,26.533,
675.248, ,26.12,
682.0789, ,25.7143,
683.3345, ,25.3107,
684.5902, ,24.9091,
686.2979, ,24.5096,
691.0192, ,24.1166,
693.9825, ,23.7256,
694.8365, ,23.3367,
696.5441, ,22.9499,
699.5075, ,22.5688,
702.5212, ,22.1899,
706.3384, ,21.813,
708.046, ,21.4384,
711.0597, ,21.0688,
713.6212, ,20.7013,
714.8769, ,20.3361,
716.9864, ,19.973,
718.6941, ,19.6145,
719.548, ,19.2583,
722.5616, ,18.9042,
723.2648, ,18.5524,
726.724,25, ,
728.9404, ,18.2048,
731.502, ,17.8594,
733.511, ,17.5163,
734.0635, ,17.1755,
734.9174, ,16.8385,
736.173, ,16.5039,
736.625, ,16.1715,
737.4789, ,15.8415,
739.1866, ,15.5151,
742.15, ,15.1911,
744.1591, ,14.8695,
746.0175, ,14.5502,
747.2731, ,14.2344,
750.2365, ,13.9211,
753.2501, ,13.6101,
754.8071, ,13.3015,
756.2135, ,13.2833,
758.775, ,13.2651,
761.7886, ,13.2469,
762.1904, ,13.2288,
763.0443, ,13.2258,
764.752, ,13.2228,
765.4552, ,13.2199,
767.3136, ,13.2169,
769.8751, ,13.2149,
771.5829, ,13.2129,
773.6924, ,13.211,
778.8155, ,13.209,
781.3771, ,13.207,
781.7789, ,13.2051,
782.6327, ,13.2031,
784.3405, ,13.2011,
790.3174, ,13.1991,
793.331, ,13.1971,
797.1483, ,13.1951,
798.856, ,13.1931,
802.6732, ,13.183,
805.6868, ,13.1729,
807.3945, ,13.1629,
808.6501, ,13.1528,
809.956, ,13.1026,
811.6638, ,13.0524,
812.0656, ,13.0023,
813.6226, ,12.9523,
814.6272, ,12.9048,
815.0289, ,12.8573,
815.8828, ,12.81,
816.7367, ,12.7627,
817.356,20, ,
818.4444, ,12.527,
825.2752, ,12.2928,
826.9829, ,12.0602,
831.2522, ,11.829,
833.3617, ,11.4836,
835.5215, ,11.1417,
840.1925, ,10.8033,
841.4984, ,10.4686,
844.06, ,10.1576,
846.6216, ,9.8499,
848.2791, ,9.5455,
849.585, ,9.2445,
850.4388, ,8.9633,
852.5484, ,8.6852,
856.4157, ,8.4103,
859.3791, ,8.1385,
859.8312, ,7.8862,
861.5389, ,7.6369,
864.5023, ,7.3905,
865.3561, ,7.1472,
867.0638, ,6.9206,
868.3195, ,6.6968,
869.6254, ,6.4759,
872.5888, ,6.258,
873.8947, ,6.051,
874.7485, ,5.8469,
877.3101, ,5.6457,
879.4196, ,5.4474,
882.383, ,5.2512,
884.0907, ,5.058,
886.6523, ,4.868,
888.812, ,4.6812,
892.6293, ,4.4832,
895.1908, ,4.2892,
896.8985, ,4.099,
897.7524, ,3.9129,
899.4601, ,3.73,
900.314, ,3.5512,
901.1678, ,3.3766,
907.9986, ,3.2064,
912.2679, ,3.037,
914.3774, ,2.8723,
916.4869, ,2.7121,
919.5005, ,2.5565,
921.6101, ,2.3999,
922.0621, ,2.2484,
925.0255, ,2.1019,
927.587, ,1.9605,
929.2948, ,1.8168,
931.0024, ,1.6788,
933.564, ,1.5463,
937.26,15, ,
937.8333, ,1.4195,
938.2351, ,1.2902,
940.7967, ,1.1672,
944.2121, ,1.0506,
945.518, ,0.9403,
947.1755, ,0.8286,
948.0293, ,0.7241,
948.8832, ,0.6269,
949.7371, ,0.5369,
950.5909, ,0.448,
952.7506, ,0.3673,
954.8601, ,0.2948,
955.3122, ,0.2304,
957.8738, ,0.1708,
959.1294, ,0.1202,
959.8326, ,0.0785,
960.4353, ,0.0457,
962.143, ,0.021,
964.6544, ,0.0058,
966.8141, ,0,
968.5219, ,0.0036,
969.7775, ,0.0081,
972.3391, ,0.0142,
973.1929, ,0.022,
976.2065, ,0.0315,
977.9142, ,0.0427,
980.8776, ,0.0556,
982.9871, ,0.0702,
986.0007, ,0.0865,
989.818, ,0.1211,
989.818, ,0.1615,
992.8315, ,0.2077,
994.0872, ,0.2596,
997.0506, ,0.3195,
1001.7719, ,0.3855,
1002.6257, ,0.4577,
1003.4796, ,0.5361,
1005.1873, ,0.627,
1006.0412, ,0.725,
1009.0045, ,0.8302,
1012.0182, ,0.9425,
1012.8218, ,1.0707,
1014.5295, ,1.2072,
1017.5431, ,1.352,
1018.397, ,1.505,
1018.7988, ,1.6779,
1020.5064, ,1.8602,
1022.2142, ,2.0522,
1023.068, ,2.2537,
1025.2277, ,2.4779,
1027.5885, ,2.713,
1029.4468, ,2.959,
1033.3143, ,3.216,
1036.2777, ,3.4955,
1038.4374, ,3.787,
1040.999, ,4.0907,
1041.8528, ,4.4066,
1043.5605, ,4.7408,
1047.3778, ,5.0878,
1050.3412, ,5.4477,
1051.6471, ,5.8205,
1053.2041, ,6.2055,
1057.5235, ,6.6035,
1058.8797, ,7.0145,
1059.7335, ,7.4386,
1061.4413, ,7.87,
1063.5508, ,8.3141,
1065.7105, ,8.7711,
1066.9662, ,9.241,
1069.9798, ,9.7154,
1071.6875, ,10.2023,
1072.5414, ,10.7016,
1074.6508, ,11.2134,
1077.2124, ,11.7289,
1078.5183, ,12.2564,
1079.774, ,12.7959,
1081.66,10, ,
1081.8835, ,13.3472,
1082.7374, ,13.9025,
1083.1895, ,14.4693,
1084.4451, ,15.0474,
1087.8605, ,15.6368,
1090.0202, ,16.2306,
1090.8741, ,16.8353,
1092.1297, ,17.4506,
1092.5818, ,18.0765,
1094.6913, ,18.7076,
1100.2163, ,19.3489,
1101.0701, ,20,
1103.2299, ,20.6609,
1104.0837, ,21.328,
1104.9376, ,22.0044,
1107.4991, ,22.6898,
1110.0607, ,23.3841,
1113.0241, ,24.0858,
1115.9875, ,24.7959,
1116.8413, ,25.514,
1117.6952, ,26.24,
1119.0011, ,26.9751,
1121.5626, ,27.7174,
1121.66,5, ,
1124.1242, ,28.4668,
1126.2337, ,29.2229,
1127.9414, ,29.9903,
1129.6492, ,30.7639,
1132.6125, ,30.8436,
1136.8818, ,31.2931,
1138.1877, ,31.7547,
1141.1511, ,32.2182,
1142.8587, ,32.6835,
1147.128, ,33.1508,
1151.3973, ,33.633,
1156.5204, ,34.1171,
1162.4472, ,34.603,
1165.0088, ,35.0908,
1165.46,0, ,
1165.8626, ,35.0753,
1168.8762, ,35.8963,
1170.5839, ,36.721,
1172.6935, ,37.5492,
1175.255, ,37.7376,
1176.5609, ,37.9261,
1177.4148, ,38.1147,
1183.3415, ,38.3035,
1184.6474, ,38.4924,
1187.209, ,38.6815,
1192.1312, ,38.8707,
1193.5877, ,39.06,
1199.9665, ,39.2841,
1201.6743, ,39.5083,
1202.1263, ,39.7327,
1203.3819, ,39.9573,
1206.3956, ,40.7828,
1209.3589, ,41.6098,
1212.3223, ,42.4381,
1217.0436, ,43.2673,
1217.4454, ,44.0839,
1218.7513, ,44.9007,
1220.007, ,45.7174,
1222.5686, ,46.5336,
1226.8379, ,47.3539,
1228.5455, ,48.173,
1229.8012, ,48.9908,
1232.3628, ,49.8069,
1236.6321, ,50.631,
1237.285, ,51.4528,
1238.3398, ,52.272,
1240.4995, ,53.0883,
1243.0611, ,53.9173,
1248.9878, ,54.7428,
1250.2937, ,55.5645,
1250.6955, ,56.3821,
1256.6725, ,57.2177,
1258.3802, ,58.0485,
1262.1975, ,58.8742,
1262.6495, ,59.6947,
1265.6129, ,60.5012,
1267.7726, ,61.3022,
1269.0283, ,62.0974,
1270.3342, ,62.8866,
1271.188, ,63.6123,
1274.1514, ,64.3325,
1275.4573, ,65.0472,
1278.4207, ,65.7563,
1281.384, ,66.4222,
1283.5438, ,67.083,
1286.4067, ,67.7383,
1289.0687, ,68.3883,
1292.0824, ,69.007,
1295.0457, ,69.6206,
1295.8996, ,70.229,
1298.0091, ,70.8322,
1300.5706, ,71.411,
1301.8766, ,71.9847,
1303.5843, ,72.5535,
1304.4381, ,73.1172,
1306.5476, ,73.661,
1306.9997, ,74.1999,
1309.5613, ,74.734,
1310.4151, ,75.2632,
1312.0726, ,75.7755,
1312.9264, ,76.2832,
1314.6341, ,76.7863,
1317.1957, ,77.2846,
1318.0495, ,77.7684,
1323.1727, ,78.2477,
1325.3324, ,78.7225,
1327.894, ,79.1928,
1331.7112, ,79.6504,
1333.8208, ,80.1036,
1334.2728, ,80.5525,
1334.6746, ,80.997,
1335.5284, ,81.4302,
1337.2362, ,81.8593,
1337.6882, ,82.2841,
1341.1036, ,82.7047,
1342.8113, ,83.1153,
1351.7517, ,83.5217,
1354.715, ,83.9241,
1356.4228, ,84.3224,
1358.1304, ,84.7117,
1359.4364, ,85.097,
1360.692, ,85.4784,
1361.9477, ,85.8558,
1364.1075, ,86.2251,
1368.3767, ,86.5905,
1370.0844, ,86.952,
1372.646, ,87.3097,
1373.0478, ,87.66,
1376.0614, ,88.0066,
1378.5727, ,88.3494,
1379.3261, ,88.6885,
1381.5864, ,89.0209,
1384.5498, ,89.3496,
1387.5633, ,89.6747,
1389.6728, ,89.996,
1390.5267, ,90.3114,
1392.2344, ,90.6232,
1393.2892, ,90.9312,
1396.0516, ,91.2356,
1397.3575, ,91.5348,
1399.9191, ,91.8304,
1402.0287, ,92.1222,
1405.8961, ,92.4104,
1406.75, ,92.6941,
1407.1518, ,92.9741,
1409.3115, ,93.2503,
1411.0192, ,93.5227,
1413.9826, ,93.7916,
1421.6673, ,94.0566,
1423.7768, ,94.3177,
1426.3383, ,94.5748,
1427.6442, ,94.8295,
1428.0461, ,95.08,
1429.7538, ,95.3263,
1432.3154, ,95.5682,
1434.8769, ,95.8092,
1437.4384, ,96.0455,
1440,0,96.2769,
