Time (min),tim_ANIMO,tim_ODE,
653.9016, ,45.8683,
656.9153, ,45.3536,
662.4402, ,44.8396,
663.7461, ,44.3264,
664.5497, ,43.8139,
665.4036, ,43.3099,
667.5633, ,42.8069,
673.9421, ,42.3047,
675.248, ,41.8034,
680.26,62.5, ,
682.0789, ,41.3095,
683.3345, ,40.8165,
684.5902, ,40.3245,
686.2979, ,39.8336,
691.0192, ,39.3491,
693.9825, ,38.8657,
694.8365, ,38.3834,
696.5441, ,37.9022,
699.5075, ,37.4267,
702.5212, ,36.9524,
706.3384, ,36.4793,
708.046, ,36.0075,
711.0597, ,35.5407,
713.6212, ,35.0752,
714.8769, ,34.6111,
716.9864, ,34.1483,
718.6941, ,33.69,
719.548, ,33.2332,
722.5616, ,32.7778,
723.2648, ,32.3239,
728.9404, ,31.8741,
731.502, ,31.4258,
733.511, ,30.9791,
734.0635, ,30.534,
734.9174, ,30.0927,
736.173, ,29.653,
736.625, ,29.2149,
737.4789, ,28.7786,
739.1866, ,28.3458,
740.26,56.25, ,
742.15, ,27.9148,
744.1591, ,27.4855,
746.0175, ,27.0581,
747.2731, ,26.6341,
750.2365, ,26.2119,
753.2501, ,25.7916,
754.8071, ,25.3732,
756.2135, ,25.3485,
758.775, ,25.3238,
761.7886, ,25.299,
762.1904, ,25.2743,
763.0443, ,25.2703,
764.752, ,25.2663,
765.4552, ,25.2623,
767.3136, ,25.2582,
769.8751, ,25.2555,
771.5829, ,25.2529,
773.6924, ,25.2502,
778.8155, ,25.2475,
781.3771, ,25.2448,
781.7789, ,25.2421,
782.6327, ,25.2394,
784.3405, ,25.2368,
790.3174, ,25.234,
793.331, ,25.2313,
797.1483, ,25.2285,
798.856, ,25.2258,
802.6732, ,25.2121,
805.6868, ,25.1984,
807.3945, ,25.1848,
808.6501, ,25.1711,
809.956, ,25.1027,
811.6638, ,25.0344,
812.0656, ,24.9662,
813.6226, ,24.898,
814.6272, ,24.8332,
815.0289, ,24.7685,
815.8828, ,24.7039,
816.7367, ,24.6392,
817.356,50, ,
818.4444, ,24.3169,
825.2752, ,23.9958,
826.9829, ,23.6759,
831.2522, ,23.3572,
833.3617, ,22.8793,
835.5215, ,22.4044,
840.1925, ,21.9324,
841.4984, ,21.4635,
844.06, ,21.026,
846.6216, ,20.5913,
848.2791, ,20.1594,
849.585, ,19.7304,
850.4388, ,19.3279,
852.5484, ,18.9281,
856.4157, ,18.531,
859.3791, ,18.1367,
859.8312, ,17.7689,
861.5389, ,17.4037,
864.5023, ,17.0411,
865.3561, ,16.6811,
867.0638, ,16.3443,
868.3195, ,16.0099,
869.6254, ,15.678,
872.5888, ,15.3488,
873.8947, ,15.0344,
874.7485, ,14.7226,
877.3101, ,14.4134,
879.4196, ,14.1067,
882.383, ,13.8012,
884.0907, ,13.4985,
886.6523, ,13.1986,
888.812, ,12.9015,
889.06,43.75, ,
892.6293, ,12.5842,
895.1908, ,12.2704,
896.8985, ,11.9601,
897.7524, ,11.6534,
899.4601, ,11.349,
900.314, ,11.0483,
901.1678, ,10.7514,
907.9986, ,10.4584,
912.2679, ,10.1635,
914.3774, ,9.8727,
916.4869, ,9.5861,
919.5005, ,9.3038,
921.6101, ,9.0153,
922.0621, ,8.7315,
925.0255, ,8.4524,
927.587, ,8.178,
929.2948, ,7.8937,
931.0024, ,7.6147,
933.564, ,7.341,
937.8333, ,7.0726,
938.2351, ,6.7916,
940.7967, ,6.5166,
944.2121, ,6.2477,
945.518, ,5.9849,
947.1755, ,5.7086,
948.0293, ,5.4392,
948.8832, ,5.1769,
949.7371, ,4.9214,
950.5909, ,4.6544,
952.7506, ,4.3954,
954.8601, ,4.1443,
955.3122, ,3.9011,
957.8738, ,3.6515,
959.1294, ,3.4107,
959.8326, ,3.1785,
960.4353, ,2.9551,
962.143, ,2.7316,
964.6544, ,2.5174,
966.8141, ,2.3124,
968.5219, ,2.1166,
969.26,37.5, ,
969.7775, ,2.0357,
972.3391, ,1.9565,
973.1929, ,1.879,
976.2065, ,1.8031,
977.9142, ,1.7288,
980.8776, ,1.6561,
982.9871, ,1.5851,
986.0007, ,1.5157,
989.818, ,1.3913,
989.818, ,1.2725,
992.8315, ,1.1592,
994.0872, ,1.0513,
997.0506, ,0.9452,
1001.7719, ,0.845,
1002.6257, ,0.7505,
1003.4796, ,0.6617,
1005.1873, ,0.5728,
1006.0412, ,0.4904,
1009.0045, ,0.4145,
1012.0182, ,0.3451,
1012.8218, ,0.2778,
1014.5295, ,0.2179,
1017.5431, ,0.1653,
1018.397, ,0.12,
1018.7988, ,0.0796,
1020.5064, ,0.0474,
1022.2142, ,0.0235,
1023.068, ,0.0077,
1025.2277, ,0,
1027.5885, ,0.0014,
1029.4468, ,0.0119,
1033.3143, ,0.0316,
1036.2777, ,0.0617,
1038.4374, ,0.1016,
1040.999, ,0.1513,
1041.8528, ,0.2107,
1043.5605, ,0.2812,
1047.3778, ,0.3618,
1050.3412, ,0.4525,
1051.6471, ,0.5532,
1053.2041, ,0.6637,
1057.5235, ,0.7842,
1058.8797, ,0.9146,
1059.06,31.25, ,
1059.7335, ,1.055,
1061.4413, ,1.2033,
1063.5508, ,1.3612,
1065.7105, ,1.5288,
1066.9662, ,1.7061,
1069.9798, ,1.8897,
1071.6875, ,2.0827,
1072.5414, ,2.2849,
1074.6508, ,2.4965,
1077.2124, ,2.7138,
1078.5183, ,2.94,
1079.774, ,3.1753,
1081.8835, ,3.4196,
1082.7374, ,3.6693,
1083.1895, ,3.9278,
1084.4451, ,4.195,
1087.8605, ,4.471,
1090.0202, ,4.7525,
1090.8741, ,5.0426,
1092.1297, ,5.3413,
1092.5818, ,5.6485,
1094.6913, ,5.9616,
1100.2163, ,6.2832,
1101.0701, ,6.6131,
1103.2299, ,6.9515,
1104.0837, ,7.2964,
1104.9376, ,7.6497,
1107.4991, ,8.0112,
1110.0607, ,8.3809,
1111.06,25, ,
1113.0241, ,8.7583,
1115.9875, ,9.1438,
1116.8413, ,9.5376,
1117.6952, ,9.9395,
1119.0011, ,10.3503,
1121.5626, ,10.7693,
1124.1242, ,11.1963,
1126.2337, ,11.6315,
1127.9414, ,12.0775,
1129.6492, ,12.5317,
1136.8818, ,12.9015,
1138.1877, ,13.1986,
1141.1511, ,13.4985,
1144.1646, ,13.8012,
1150.0914, ,14.1067,
1152.653, ,14.4134,
1159.4838, ,14.7226,
1162.408,18.75, ,
1164.1549, ,15.0344,
1165.8626, ,15.1483,
1168.8762, ,15.6635,
1170.5839, ,16.1868,
1172.6935, ,16.7182,
1175.255, ,16.8398,
1176.5609, ,16.9619,
1177.4148, ,17.0843,
1183.3415, ,17.2072,
1184.6474, ,17.3305,
1187.209, ,17.4542,
1192.1312, ,17.5783,
1193.5877, ,17.7028,
1199.9665, ,17.8506,
1201.6743, ,17.9989,
1202.1263, ,18.1478,
1203.3819, ,18.2973,
1206.3956, ,18.8507,
1209.3589, ,19.4116,
1212.3223, ,19.9799,
1217.0436, ,20.5555,
1217.4454, ,21.1291,
1217.66,12.5, ,
1218.7513, ,21.7096,
1220.007, ,22.2969,
1222.5686, ,22.891,
1226.8379, ,23.4952,
1228.5455, ,24.1061,
1229.8012, ,24.7235,
1232.3628, ,25.3474,
1236.6321, ,25.9854,
1237.285, ,26.6297,
1238.3398, ,27.2803,
1240.4995, ,27.9371,
1243.0611, ,28.6129,
1248.9878, ,29.2948,
1250.2937, ,29.9827,
1250.6955, ,30.6764,
1256.6725, ,31.3952,
1258.3802, ,32.1198,
1262.1975, ,32.8502,
1262.6495, ,33.586,
