Time (min),PDP1_ANIMO,PDP1_ODE,
624.519, ,85.9565,
626.2267, ,85.5276,
628.7883, ,85.1088,
629.592, ,84.6854,
631.2996, ,84.2576,
633.74,92.5, ,
635.5689, ,83.8253,
640.893, ,83.4007,
642.3997, ,82.972,
643.7056, ,82.5394,
645.4134, ,82.1028,
646.2672, ,81.6722,
647.5228, ,81.238,
647.9247, ,80.8002,
653.9016, ,80.359,
656.9153, ,79.9225,
662.4402, ,79.4827,
663.7461, ,79.0398,
664.5497, ,78.5938,
665.4036, ,78.1515,
667.5633, ,77.7064,
668.64,90, ,
673.9421, ,77.2584,
675.248, ,76.8076,
682.0789, ,76.3599,
683.3345, ,75.9095,
684.5902, ,75.4566,
686.2979, ,75.0012,
691.0192, ,74.5483,
693.9825, ,74.0931,
694.8365, ,73.6355,
696.5441, ,73.1758,
699.5075, ,72.718,
702.5212, ,72.2581,
706.3384, ,71.7962,
708.046, ,71.3323,
708.14,87.5, ,
711.0597, ,70.8701,
713.6212, ,70.406,
714.8769, ,69.94,
716.9864, ,69.4723,
718.6941, ,69.006,
719.548, ,68.538,
722.5616, ,68.0684,
723.2648, ,67.5972,
728.9404, ,67.1272,
731.502, ,66.6557,
733.511, ,66.1829,
734.0635, ,65.7087,
734.9174, ,65.2354,
736.173, ,64.7609,
736.625, ,64.2852,
737.4789, ,63.8084,
739.1866, ,63.3325,
739.54,85, ,
742.15, ,62.8555,
744.1591, ,62.3775,
746.0175, ,61.8985,
747.2731, ,61.4204,
750.2365, ,60.9415,
753.2501, ,60.4617,
754.8071, ,59.9812,
756.2135, ,59.9527,
758.775, ,59.9242,
761.7886, ,59.8957,
762.1904, ,59.8672,
763.0443, ,59.8626,
764.752, ,59.8579,
765.34,82.5, ,
765.4552, ,59.8533,
767.3136, ,59.8486,
769.8751, ,59.8455,
771.5829, ,59.8424,
773.6924, ,59.8393,
778.8155, ,59.8362,
781.3771, ,59.8331,
781.7789, ,59.83,
782.6327, ,59.8269,
784.3405, ,59.8238,
790.3174, ,59.8207,
793.331, ,59.8175,
794.028,80, ,
797.1483, ,59.8144,
798.856, ,59.8112,
802.6732, ,59.7954,
805.6868, ,59.7796,
807.3945, ,59.7638,
808.6501, ,59.748,
809.956, ,59.669,
811.6638, ,59.5899,
812.0656, ,59.5109,
813.6226, ,59.4318,
814.6272, ,59.3566,
815.0289, ,59.2814,
815.8828, ,59.2062,
816.7367, ,59.131,
817.94,77.5, ,
818.4444, ,58.7547,
825.2752, ,58.378,
826.9829, ,58.0009,
831.2522, ,57.6235,
833.3617, ,57.0541,
835.5215, ,56.484,
840.1925, ,55.9133,
841.4984, ,55.3421,
844.06, ,54.8053,
844.34,75, ,
846.6216, ,54.2683,
848.2791, ,53.7309,
849.585, ,53.1933,
850.4388, ,52.6853,
852.5484, ,52.1773,
856.4157, ,51.6692,
859.3791, ,51.1611,
859.8312, ,50.6838,
861.5389, ,50.2066,
864.5023, ,49.7295,
865.3561, ,49.2526,
867.0638, ,48.8031,
868.3195, ,48.3538,
869.492,72.5, ,
869.6254, ,47.9048,
872.5888, ,47.456,
873.8947, ,47.0245,
874.7485, ,46.5933,
877.3101, ,46.1625,
879.4196, ,45.732,
882.383, ,45.2999,
884.0907, ,44.8682,
886.6523, ,44.4371,
888.812, ,44.0065,
892.6293, ,43.5424,
893.86,70, ,
895.1908, ,43.0791,
896.8985, ,42.6166,
897.7524, ,42.155,
899.4601, ,41.692,
900.314, ,41.2299,
901.1678, ,40.7688,
907.9986, ,40.3088,
912.2679, ,39.8404,
914.3774, ,39.3732,
916.4869, ,38.9073,
919.5005, ,38.4427,
921.208,67.5, ,
921.6101, ,37.9621,
922.0621, ,37.483,
925.0255, ,37.0056,
927.587, ,36.5298,
929.2948, ,36.0298,
931.0024, ,35.5319,
933.564, ,35.036,
937.8333, ,34.5422,
938.2351, ,34.0169,
940.7967, ,33.4941,
944.2121, ,32.974,
944.262,65, ,
945.518, ,32.4566,
947.1755, ,31.9024,
948.0293, ,31.3515,
948.8832, ,30.8041,
949.7371, ,30.2601,
950.5909, ,29.6791,
952.7506, ,29.1023,
954.8601, ,28.5299,
955.3122, ,27.9619,
957.8738, ,27.3638,
959.1294, ,26.7709,
959.8326, ,26.1833,
960.4353, ,25.6011,
962.143, ,25.0009,
964.6544, ,24.4067,
966.8141, ,23.8186,
968.5219, ,23.2367,
969.26,62.5, ,
969.7775, ,22.9903,
972.3391, ,22.745,
973.1929, ,22.5008,
976.2065, ,22.2578,
977.9142, ,22.016,
980.8776, ,21.7753,
982.9871, ,21.5359,
986.0007, ,21.2976,
989.818, ,20.8593,
989.818, ,20.4252,
990.66,60, ,
992.8315, ,19.9952,
994.0872, ,19.5694,
997.0506, ,19.1329,
1001.7719, ,18.7009,
1002.6257, ,18.2735,
1003.4796, ,17.8507,
1005.1873, ,17.4022,
1006.0412, ,16.9591,
1009.0045, ,16.5214,
1012.0182, ,16.0891,
1012.8218, ,15.6317,
1014.06,57.5, ,
1014.5295, ,15.1806,
1017.5431, ,14.7358,
1018.397, ,14.2973,
1018.7988, ,13.8353,
1020.5064, ,13.3805,
1022.2142, ,12.9331,
1023.068, ,12.4931,
1025.2277, ,12.0346,
1027.5885, ,11.5845,
1029.4468, ,11.1427,
1033.3143, ,10.7092,
1036.2777, ,10.2666,
1038.4374, ,9.8331,
1040.008,55, ,
1040.999, ,9.4088,
1041.8528, ,8.9936,
1043.5605, ,8.5803,
1047.3778, ,8.1766,
1050.3412, ,7.7824,
1051.6471, ,7.3978,
1053.2041, ,7.0235,
1057.5235, ,6.6588,
1058.8797, ,6.3036,
1059.7335, ,5.9581,
1061.4413, ,5.6265,
1061.86,52.5, ,
1063.5508, ,5.3044,
1065.7105, ,4.9916,
1066.9662, ,4.6882,
1069.9798, ,4.3992,
1071.6875, ,4.1193,
1072.5414, ,3.8485,
1074.6508, ,3.5868,
1077.2124, ,3.3382,
1078.5183, ,3.0985,
1079.774, ,2.8677,
1081.8835, ,2.6457,
1082.7374, ,2.4355,
1083.1895, ,2.2339,
1084.4451, ,2.041,
1086.06,50, ,
1087.8605, ,1.8567,
1090.0202, ,1.683,
1090.8741, ,1.5177,
1092.1297, ,1.3609,
1092.5818, ,1.2126,
1094.6913, ,1.0739,
1100.2163, ,0.9436,
1101.0701, ,0.8217,
1103.2299, ,0.7082,
1104.0837, ,0.6035,
1104.9376, ,0.5072,
1106.46,47.5, ,
1107.4991, ,0.4192,
1110.0607, ,0.3396,
1113.0241, ,0.2685,
1115.9875, ,0.2056,
1116.8413, ,0.1512,
1117.6952, ,0.105,
1119.0011, ,0.0672,
1121.5626, ,0.0378,
1124.1242, ,0.0167,
1124.62,45, ,
1126.2337, ,0.0042,
1127.9414, ,0,
1129.6492, ,0.0044,
1140.1968, ,0.0167,
1144.1646, ,0.0378,
1144.408,42.5, ,
1151.3973, ,0.0672,
1159.4838, ,0.105,
1161.36,40, ,
1164.1549, ,0.1512,
1165.8626, ,0.179,
1168.8762, ,0.24,
1170.5839, ,0.3099,
1172.6935, ,0.3888,
1175.255, ,0.4079,
1176.5609, ,0.4275,
1177.4148, ,0.4476,
1179.82,37.5, ,
1183.3415, ,0.4681,
1184.6474, ,0.4891,
1187.209, ,0.5106,
1192.1312, ,0.5325,
1193.5877, ,0.5549,
1196.24,35, ,
1199.9665, ,0.5819,
1201.6743, ,0.6096,
1202.1263, ,0.638,
1203.3819, ,0.667,
1206.3956, ,0.779,
1209.3589, ,0.8997,
1212.3223, ,1.0292,
1213.78,32.5, ,
1217.0436, ,1.1674,
1217.4454, ,1.312,
1218.7513, ,1.465,
1220.007, ,1.6266,
1222.5686, ,1.7966,
1226.8379, ,1.9762,
1228.5455, ,2.1644,
1229.44,30, ,
1229.8012, ,2.3612,
1232.3628, ,2.5666,
1236.6321, ,2.7833,
1237.285, ,3.0088,
1238.3398, ,3.2431,
1240.4995, ,3.4863,
1243.0611, ,3.7433,
1246.12,27.5, ,
1248.9878, ,4.0094,
1250.2937, ,4.2848,
1250.6955, ,4.5693,
1256.6725, ,4.8711,
1258.3802, ,5.1826,
1262.1975, ,5.5038,
1262.6495, ,5.8346,
1262.66,25, ,
1265.6129, ,6.1715,
1267.7726, ,6.5179,
1269.0283, ,6.8736,
1270.3342, ,7.2388,
1271.188, ,7.5854,
1274.1514, ,7.9402,
1275.4573, ,8.3029,
1278.4207, ,8.6737,
1278.56,22.5, ,
1281.384, ,9.0321,
1283.5438, ,9.3976,
1286.4067, ,9.7703,
1289.0687, ,10.1501,
1292.0824, ,10.5213,
1295.0457, ,10.899,
1295.688,20, ,
1295.8996, ,11.2833,
1298.0091, ,11.674,
1300.5706, ,12.0583,
1301.8766, ,12.4486,
1303.5843, ,12.8449,
1304.4381, ,13.2473,
1306.5476, ,13.6445,
1306.9997, ,14.0474,
1309.5613, ,14.4559,
1310.4151, ,14.87,
1310.68,17.5, ,
1312.0726, ,15.28,
1312.9264, ,15.6953,
1314.6341, ,16.1159,
1317.1957, ,16.5417,
1318.0495, ,16.964,
1323.1727, ,17.3914,
1325.3324, ,17.8237,
1326.82,15, ,
1327.894, ,18.261,
1331.7112, ,18.6954,
1333.8208, ,19.1345,
1334.2728, ,19.5783,
1334.6746, ,20.0267,
1335.5284, ,20.4727,
1337.2362, ,20.9232,
1337.6882, ,21.378,
1341.1036, ,21.8373,
1342.8113, ,22.2945,
1344,12.5, ,
1351.7517, ,22.7558,
1354.715, ,23.2214,
1356.4228, ,23.6911,
1358.1304, ,24.159,
1359.4364, ,24.6309,
1360.692, ,25.1067,
1361.9477, ,25.5865,
1362.484,10, ,
1364.1075, ,26.0648,
1368.3767, ,26.5468,
1370.0844, ,27.0326,
1372.646, ,27.522,
1373.0478, ,28.0103,
1376.0614, ,28.5021,
1378.5727, ,28.9974,
1379.3261, ,29.4963,
1381.5864, ,29.9943,
1382.22,7.5, ,
1384.5498, ,30.4956,
1387.5633, ,31.0003,
1389.6728, ,31.5083,
1390.5267, ,32.0159,
1392.2344, ,32.5267,
1393.2892, ,33.0406,
1396.0516, ,33.5576,
1397.3575, ,34.075,
1399.7,5, ,
1399.9191, ,34.5954,
1402.0287, ,35.1187,
1405.8961, ,35.6449,
1406.75, ,36.1726,
1407.1518, ,36.703,
1409.3115, ,37.2362,
1411.0192, ,37.7721,
1413.9826, ,38.3112,
1418.44,2.5, ,
1421.6673, ,38.8529,
1423.7768, ,39.3971,
1426.3383, ,39.9438,
1427.6442, ,40.4966,
1428.0461, ,41.0517,
1429.7538, ,41.6093,
1432.3154, ,42.1692,
1434.8769, ,42.7397,
1437.4384, ,43.3125,
1438.66,0, ,
1440,0,43.8874,
