Time (min),clk_ANIMO,clk_ODE,
664.5497, ,99.74,
665.4036, ,99.794,
667.5633, ,99.8418,
673.9421, ,99.8833,
675.248, ,99.9184,
682.0789, ,99.947,
683.3345, ,99.9694,
684.5902, ,99.9857,
686.2979, ,99.9959,
691.0192, ,100,
693.9825, ,99.9981,
694.8365, ,99.9903,
696.5441, ,99.9765,
699.5075, ,99.957,
702.5212, ,99.9317,
706.3384, ,99.9006,
708.046, ,99.8637,
711.0597, ,99.8214,
713.6212, ,99.7734,
714.8769, ,99.7197,
716.9864, ,99.6605,
718.6941, ,99.596,
719.548, ,99.526,
722.5616, ,99.4505,
723.2648, ,99.3695,
728.9404, ,99.2835,
731.502, ,99.1921,
733.511, ,99.0954,
734.0635, ,98.9932,
734.9174, ,98.8863,
736.173, ,98.7741,
736.625, ,98.6566,
737.4789, ,98.534,
739.1866, ,98.4067,
742.15, ,98.2742,
744.1591, ,98.1366,
746.0175, ,97.994,
747.2731, ,97.8469,
750.2365, ,97.6947,
751.66,28.5714, ,
753.2501, ,97.5376,
754.8071, ,97.3756,
756.2135, ,97.3658,
758.775, ,97.356,
761.7886, ,97.3462,
762.1904, ,97.3364,
763.0443, ,97.3348,
764.752, ,97.3332,
765.4552, ,97.3316,
767.3136, ,97.33,
769.8751, ,97.329,
771.5829, ,97.3279,
773.6924, ,97.3268,
778.8155, ,97.3258,
781.3771, ,97.3247,
781.7789, ,97.3236,
782.6327, ,97.3225,
784.3405, ,97.3215,
790.3174, ,97.3204,
793.331, ,97.3193,
797.1483, ,97.3182,
798.856, ,97.3171,
802.6732, ,97.3116,
805.6868, ,97.3062,
807.3945, ,97.3007,
808.6501, ,97.2952,
809.956, ,97.2678,
811.6638, ,97.2402,
812.0656, ,97.2124,
813.6226, ,97.1846,
814.6272, ,97.158,
815.0289, ,97.1313,
815.8828, ,97.1044,
816.7367, ,97.0775,
818.4444, ,96.9409,
825.2752, ,96.8014,
826.9829, ,96.6589,
831.2522, ,96.5135,
833.3617, ,96.2889,
835.5215, ,96.0578,
840.1925, ,95.8201,
841.4984, ,95.5759,
844.06, ,95.3408,
846.6216, ,95.1001,
848.2791, ,94.8538,
849.585, ,94.602,
850.4388, ,94.3591,
852.5484, ,94.1114,
856.4157, ,93.8588,
859.3791, ,93.6015,
859.8312, ,93.3554,
861.5389, ,93.1051,
864.5023, ,92.8507,
865.3561, ,92.5922,
867.0638, ,92.3448,
868.3195, ,92.0938,
869.6254, ,91.8392,
872.5888, ,91.5811,
873.8947, ,91.3294,
874.7485, ,91.0745,
877.3101, ,90.8164,
878.06,14.2857, ,
879.4196, ,90.5552,
882.383, ,90.2894,
884.0907, ,90.0206,
886.6523, ,89.7486,
888.812, ,89.4735,
892.6293, ,89.1732,
895.1908, ,88.8694,
896.8985, ,88.5621,
897.7524, ,88.2514,
899.4601, ,87.9357,
900.314, ,87.6165,
901.1678, ,87.294,
907.9986, ,86.9682,
912.2679, ,86.6323,
914.3774, ,86.2929,
916.4869, ,85.9502,
919.5005, ,85.6043,
921.6101, ,85.2418,
922.0621, ,84.8759,
925.0255, ,84.5066,
927.587, ,84.134,
929.2948, ,83.7374,
931.0024, ,83.3372,
933.564, ,82.9334,
937.8333, ,82.5261,
938.2351, ,82.087,
940.7967, ,81.6441,
944.2121, ,81.1973,
945.518, ,80.7469,
947.1755, ,80.2577,
948.0293, ,79.7643,
948.8832, ,79.2669,
949.7371, ,78.7656,
950.5909, ,78.2222,
952.7506, ,77.6745,
954.8601, ,77.1226,
955.3122, ,76.5667,
957.8738, ,75.9721,
959.1294, ,75.3733,
959.8326, ,74.7703,
960.4353, ,74.1633,
962.143, ,73.5275,
964.6544, ,72.8876,
966.8141, ,72.2439,
968.5219, ,71.5965,
969.7775, ,71.3191,
972.3391, ,71.041,
973.1929, ,70.7624,
976.2065, ,70.4831,
977.9142, ,70.2032,
980.8776, ,69.9228,
982.9871, ,69.6418,
986.0007, ,69.3602,
989.818, ,68.8373,
989.818, ,68.3126,
992.8315, ,67.7862,
994.0872, ,67.2581,
997.0506, ,66.7097,
1001.7719, ,66.1597,
1002.6257, ,65.6082,
1003.4796, ,65.0553,
1005.1873, ,64.4607,
1006.0412, ,63.8647,
1009.0045, ,63.2674,
1012.0182, ,62.6689,
1012.8218, ,62.0262,
1014.5295, ,61.3823,
1017.5431, ,60.7374,
1018.397, ,60.0915,
1018.7988, ,59.3998,
1020.5064, ,58.7074,
1022.2142, ,58.0143,
1023.068, ,57.3208,
1025.2277, ,56.5852,
1027.5885, ,55.8495,
1029.4468, ,55.1136,
1033.3143, ,54.3779,
1036.2777, ,53.6119,
1038.4374, ,52.8462,
1040.999, ,52.0813,
1041.8528, ,51.3171,
1043.5605, ,50.5401,
1047.3778, ,49.7643,
1050.3412, ,48.9899,
1051.6471, ,48.217,
1053.2041, ,47.4473,
1057.5235, ,46.6795,
1058.8797, ,45.9137,
1059.7335, ,45.1502,
1061.4413, ,44.3991,
1063.5508, ,43.6505,
1065.7105, ,42.9045,
1066.9662, ,42.1612,
1069.9798, ,41.4335,
1071.6875, ,40.7087,
1072.5414, ,39.9869,
1074.6508, ,39.2683,
1077.2124, ,38.5648,
1078.5183, ,37.8645,
1079.774, ,37.1677,
1081.8835, ,36.4745,
1082.7374, ,35.7945,
1083.1895, ,35.1181,
1084.4451, ,34.4456,
1086.26,0, ,
1087.8605, ,33.777,
1090.0202, ,33.1198,
1090.8741, ,32.4666,
1092.1297, ,31.8175,
1092.5818, ,31.1726,
1094.6913, ,30.5372,
1100.2163, ,29.9062,
1101.0701, ,29.2796,
1103.2299, ,28.6575,
1104.0837, ,28.0431,
1104.9376, ,27.4334,
1107.4991, ,26.8284,
1110.0607, ,26.2282,
1113.0241, ,25.634,
1115.9875, ,25.0447,
1116.8413, ,24.4605,
1117.6952, ,23.8815,
1119.0011, ,23.3066,
1121.5626, ,22.7369,
1124.1242, ,22.1727,
1126.2337, ,21.614,
1127.9414, ,21.0574,
1129.6492, ,20.5065,
1136.8818, ,20.1326,
1140.1968, ,19.7591,
1142.8587, ,19.3885,
1147.128, ,19.0211,
1151.3973, ,18.6567,
1156.5204, ,18.2982,
1162.4472, ,17.9427,
1165.0088, ,17.5904,
1165.8626, ,17.6073,
1168.8762, ,17.0853,
1170.5839, ,16.5699,
1172.6935, ,16.061,
1175.255, ,15.9465,
1176.5609, ,15.8323,
1177.4148, ,15.7184,
1183.3415, ,15.605,
1184.6474, ,15.4918,
1187.209, ,15.379,
1192.1312, ,15.2665,
1193.5877, ,15.1544,
1199.9665, ,15.0223,
1201.6743, ,14.8906,
1202.1263, ,14.7595,
1203.3819, ,14.6288,
1206.3956, ,14.1533,
1209.3589, ,13.6846,
1212.3223, ,13.2226,
1217.0436, ,12.7675,
1217.4454, ,12.3264,
1218.7513, ,11.892,
1220.007, ,11.4644,
1222.5686, ,11.0437,
1226.8379, ,10.6275,
1228.5455, ,10.2185,
1229.8012, ,9.8166,
1232.3628, ,9.4218,
1236.6321, ,9.0297,
1237.285, ,8.645,
1238.3398, ,8.2679,
1240.4995, ,7.8985,
1243.0611, ,7.5297,
1248.9878, ,7.1691,
1250.2937, ,6.8165,
1250.6955, ,6.4721,
1256.6725, ,6.1268,
1258.3802, ,5.7903,
1262.1975, ,5.4626,
1262.6495, ,5.1438,
1265.6129, ,4.8371,
1267.7726, ,4.5393,
1269.0283, ,4.2504,
1270.3342, ,3.9704,
1271.188, ,3.7191,
1274.1514, ,3.4755,
1275.4573, ,3.2398,
1278.4207, ,3.012,
1281.384, ,2.8036,
1283.5438, ,2.6024,
1286.4067, ,2.4084,
1289.0687, ,2.2216,
1292.0824, ,2.0491,
1295.0457, ,1.8834,
1295.8996, ,1.7244,
1298.0091, ,1.5722,
1300.5706, ,1.4314,
1301.8766, ,1.2971,
1303.5843, ,1.1692,
1304.4381, ,1.0477,
1306.5476, ,0.9358,
1306.9997, ,0.8301,
1309.5613, ,0.7305,
1310.4151, ,0.6373,
1312.0726, ,0.5522,
1312.9264, ,0.4731,
1314.6341, ,0.4,
1317.1957, ,0.333,
1318.0495, ,0.2732,
1323.1727, ,0.2192,
1325.3324, ,0.1712,
1327.894, ,0.129,
1331.7112, ,0.0933,
1333.8208, ,0.0633,
1334.2728, ,0.0391,
1334.6746, ,0.0207,
1335.5284, ,0.0082,
1337.2362, ,0.0013,
1337.6882, ,0,
1341.1036, ,0.0044,
1342.8113, ,0.0143,
1351.7517, ,0.0297,
1354.715, ,0.0506,
1356.4228, ,0.0771,
1358.1304, ,0.1087,
1359.4364, ,0.1458,
1360.692, ,0.1884,
1361.9477, ,0.2364,
1364.1075, ,0.2892,
1368.3767, ,0.3475,
1370.0844, ,0.4111,
1372.646, ,0.4801,
1373.0478, ,0.5538,
1376.0614, ,0.6328,
1378.5727, ,0.7171,
1379.3261, ,0.8067,
1381.5864, ,0.9009,
1384.5498, ,1.0003,
1387.5633, ,1.105,
1389.6728, ,1.215,
1390.5267, ,1.3294,
1392.2344, ,1.4491,
1393.2892, ,1.574,
