Time (min),PER/TIM-p_ANIMO,PER/TIM_ODE,
624.519, ,90.285,
626.2267, ,89.9259,
628.7883, ,89.5749,
629.592, ,89.2197,
630.66,95.6522, ,
631.2996, ,88.8605,
635.5689, ,88.4973,
640.893, ,88.1404,
642.3997, ,87.7799,
643.7056, ,87.4159,
645.4134, ,87.0485,
646.2672, ,86.6861,
647.5228, ,86.3205,
647.9247, ,85.952,
653.9016, ,85.5806,
656.9153, ,85.2132,
662.4402, ,84.8431,
663.7461, ,84.4705,
664.5497, ,84.0953,
665.4036, ,83.7235,
667.5633, ,83.3493,
673.9421, ,82.9729,
675.248, ,82.5943,
682.0789, ,82.2186,
683.3345, ,81.8408,
684.5902, ,81.4611,
686.2979, ,81.0796,
691.0192, ,80.7004,
693.9825, ,80.3195,
694.8365, ,79.9369,
696.5441, ,79.5528,
699.5075, ,79.1706,
702.5212, ,78.787,
706.3384, ,78.4021,
707.46,91.3043, ,
708.046, ,78.0157,
711.0597, ,77.6311,
713.6212, ,77.2453,
714.8769, ,76.8583,
716.9864, ,76.4703,
718.6941, ,76.0837,
719.548, ,75.6961,
722.5616, ,75.3075,
723.2648, ,74.9181,
728.9404, ,74.53,
731.502, ,74.141,
733.511, ,73.7514,
734.0635, ,73.361,
734.9174, ,72.9718,
736.173, ,72.582,
736.625, ,72.1917,
737.4789, ,71.8008,
739.1866, ,71.411,
742.15, ,71.0209,
744.1591, ,70.6303,
746.0175, ,70.2393,
747.2731, ,69.8496,
750.2365, ,69.4595,
752.26,86.9565, ,
753.2501, ,69.0692,
754.8071, ,68.6787,
756.2135, ,68.6555,
758.775, ,68.6324,
761.7886, ,68.6093,
762.1904, ,68.5861,
763.0443, ,68.5823,
764.752, ,68.5786,
765.4552, ,68.5748,
767.3136, ,68.571,
769.8751, ,68.5685,
771.5829, ,68.566,
773.6924, ,68.5635,
778.8155, ,68.561,
781.3771, ,68.5584,
781.7789, ,68.5559,
782.6327, ,68.5534,
784.3405, ,68.5509,
790.3174, ,68.5483,
793.331, ,68.5458,
797.1483, ,68.5432,
798.856, ,68.5406,
799.86,82.6087, ,
802.6732, ,68.5278,
805.6868, ,68.515,
807.3945, ,68.5021,
808.6501, ,68.4893,
809.956, ,68.4252,
811.6638, ,68.361,
812.0656, ,68.2967,
813.6226, ,68.2322,
814.6272, ,68.1709,
815.0289, ,68.1094,
815.8828, ,68.0477,
816.7367, ,67.986,
818.4444, ,67.6754,
825.2752, ,67.362,
826.9829, ,67.0457,
831.2522, ,66.7268,
833.3617, ,66.2411,
835.5215, ,65.7498,
839.46,78.2609, ,
840.1925, ,65.2532,
841.4984, ,64.7514,
844.06, ,64.276,
846.6216, ,63.7966,
848.2791, ,63.3134,
849.585, ,62.8268,
850.4388, ,62.3641,
852.5484, ,61.8986,
856.4157, ,61.4305,
859.3791, ,60.96,
859.8312, ,60.5159,
861.5389, ,60.07,
864.5023, ,59.6223,
865.3561, ,59.173,
867.0638, ,58.748,
868.3195, ,58.3217,
869.6254, ,57.8944,
871.18,73.913, ,
872.5888, ,57.466,
873.8947, ,57.0529,
874.7485, ,56.639,
877.3101, ,56.2244,
879.4196, ,55.8091,
882.383, ,55.3913,
884.0907, ,54.9729,
886.6523, ,54.5542,
888.812, ,54.1351,
892.6293, ,53.6826,
895.1908, ,53.2298,
896.8985, ,52.777,
897.7524, ,52.3241,
899.4601, ,51.869,
900.314, ,51.4141,
901.1678, ,50.9594,
904.362,69.5652, ,
907.9986, ,50.505,
912.2679, ,50.0416,
914.3774, ,49.5786,
916.4869, ,49.1162,
919.5005, ,48.6544,
921.6101, ,48.176,
922.0621, ,47.6984,
925.0255, ,47.2216,
927.587, ,46.7459,
929.2948, ,46.2453,
931.0024, ,45.746,
933.564, ,45.248,
937.26,65.2174, ,
937.8333, ,44.7514,
938.2351, ,44.2223,
940.7967, ,43.6949,
944.2121, ,43.1694,
945.518, ,42.6459,
947.1755, ,42.0842,
948.0293, ,41.5249,
948.8832, ,40.9682,
949.7371, ,40.4141,
950.5909, ,39.8211,
952.7506, ,39.2314,
954.8601, ,38.645,
955.3122, ,38.0619,
957.8738, ,37.4468,
959.1294, ,36.8356,
959.8326, ,36.2285,
960.4353, ,35.6255,
962.143, ,35.0025,
964.6544, ,34.3841,
965.86,60.8696, ,
966.8141, ,33.7705,
968.5219, ,33.1617,
969.7775, ,32.9033,
972.3391, ,32.6458,
973.1929, ,32.3892,
976.2065, ,32.1335,
977.9142, ,31.8788,
