Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data,
0.4295, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.4298, , , , , , , , , ,91.6667, , , , , , , , , , , , , , , , , , , , , ,
0.4306, , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , ,
0.4308, , , , , , , , , , , , , ,72.0588, , , , , , , , , ,88.2353, , , , , , , ,
0.4312, , , , , , , , , , , , , , , , , , , , , , , , ,0, , , ,71.6981, , ,
0.4313, , , , , , , , , , , , , ,70.5882, , , , , , , , , , , , , , , , , ,
0.4317, , , , , , , , ,60.8696, , , , , ,46.1538, , , , , , , , , , , , , , , , ,
0.4319, , , , , ,29.7872, , , , , , , ,72.0588, , , , , , , , , , , , , , ,73.5849, , ,
0.4324, , , , , , , , , , , , ,87.7778, , , , ,94.1176, , , , , , , , , , , , , ,
0.4327, , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.0702, , , ,
0.4328, , ,91.5754,28.1368,9.8099, , ,40.3825, , ,95.4618,35.7923, , , ,94.3809,78.2529, , , ,63.2344,96.5556,91.2904, , ,99.6803,93.9525, , ,99.87,64.4924,
0.4329, , , , , , , , , ,92.8571, , , , , , , , , , , , , , , , , , , , , ,
0.4332, , , , , , , , , , , , ,88.8889, , , , , , , , , , , , , , , , , , ,
0.4334, , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.3158, , , ,
0.4339, , , , , , , , , , , , ,87.7778, , , , , , , , , , , , , , , , , , ,
0.4343, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.435, , , , , , , , , , , , , , , , , , , ,15, , , , , , , , , , , ,
0.4356, , , , , , , , , ,91.6667, , , , , , , , , , , , , , , , , , , , , ,
0.4359, , , , , , , , , , , , , ,73.5294, , , , , , , , , , , , , , ,71.6981, , ,
0.4363, , , , , , , , , ,92.8571, , , , , , , , , , , , , , , , , , , , , ,
0.4366, , , , , , , , , , , , , ,72.0588, , , , , , , , , , , , , , ,73.5849, , ,
0.4369, , , , , , , , , , , , , , ,47.6923, , ,94.1176, , , , , , , , , , , , , ,
0.4379, ,94.4444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4383, , , , , ,28.7234, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4386, , , , , , , , , , , , ,88.8889, , , , , , , , , , , , , , , , , , ,
0.439, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.4393, , , , , , , , , , , , ,88.8889, , , , , , , , , , , , , , , , , , ,
0.4394, , , , , , , , , , , , , ,73.5294, , , , , , , , , , , , , , , , , ,
0.4397, , , , , , , , , ,92.8571, , , , , , , , , , , , , , , , , , , , , ,
0.44, ,88.8889, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4405, , , , , , , , , ,92.8571, , , , , , , , , , , , , , , , , , , , , ,
0.4407, , , , , , , , , , , , , , ,46.1538, , , , , , , , , , , , , , , , ,
0.4411, , , , , , , , ,62.3188, , , , , , , , , , , , , , , , , , , , , , ,
0.4414, , , , , , , , , , , , , , ,47.6923, , ,94.1176, , , , , , , , , , , , , ,
0.4418, ,94.4444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4434, , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.0702, , , ,
0.4435, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.4438, , , , , , , , , ,92.8571, , , , , , , , , , , , , , , , , , , , , ,
0.4445, , , , , , , , , ,94.0476, , ,90, , , , , , , , , , , , , , , , , , ,
0.4449, , , , , ,27.6596, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4452, , , , , , , , , , , , ,88.8889, , , , , , , , , , , , , , , , , , ,
0.4457, , , , , , , , , , , , , , , , , ,94.1176, , , , , , , , , , , , , ,
0.446, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,75.4717, , ,
0.4464, , , , , , , , , ,92.8571, , , , , , , , , , , , , , , , , , , , , ,
0.4466, , , , , , , , , , , , , ,75, , , , , , , , , , , , , , , , , ,
0.447, , , , , , , , , ,94.0476, , , , ,49.2308, , , , , , , , , , , , , , , , ,
0.4484, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.449, , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , ,
0.4491, , , , , , , , , , , , , ,73.5294, , , , , , , , , ,94.1176, , , , , , , ,
0.4498, , , , , , , , , , , , , ,75, , , , , , , , , , , , , , , , , ,
0.4501, , , , , , , , ,63.7681, , , , , , , , ,94.1176, , , , , , , , , , , , , ,
0.4511, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.4513, , , , , ,26.5957, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4514, , , , , , , , , , , , , , , , , , , , , , , ,88.2353, , , , , , , ,
0.4522, , , , , , , , , , , , , , ,50.7692, , , , , , , , , , , , , , , , ,
0.4526, , , , , , , , , , , , ,88.8889, , , , , , , , , , , , , , , , , , ,
0.4527, , ,91.3235,28.6034,10.1074, , ,39.9805, , ,95.7692,36.3864, , , ,94.6244,78.713, , , ,63.8625,96.3633,91.6178, , ,99.7388,94.1966, , ,99.9071,65.03,
0.4529, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.4532, , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , ,
0.4537, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.8246, , , ,
0.4539, , , , , , , , , , , , ,88.8889,76.4706, , , , , , , , , , , , , , , , , ,
0.4545, , , , , , , , , , , , , , , , , ,94.1176, , , , , , , , , , , , , ,
0.4547, , , , , , , , , , , , ,90,75, , , , , ,10, , , , , , , , , , , ,
0.4551, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,77.3585, , ,
0.4552, , , , , , , , , , , , ,91.1111, ,49.2308, , , , , , , , , , , , , , , , ,
0.4557, , , , , , , , , ,95.2381, , , , , , , , , , , , , , , , , , , , , ,
0.4558, , , , , , , , , , , , ,90, , , , , , , , , , , , , , , ,75.4717, , ,
0.4564, , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , ,
0.4572, , , , , , , , , , , , , , ,50.7692, , , , , , , , , , , , , , , , ,
0.4575, , , , , , , , , , , , , ,76.4706, , , ,88.2353, , , , , , , , , , , , , ,
0.4576, , , , , , , , , ,95.2381, , , , , , , , , , , , , , , , , , , , , ,
0.4577, ,100, , , , , , , , , , ,88.8889, , , , , , , , , , ,94.1176, , , , , , , ,
0.4581, , , , , ,25.5319, , , , , , , , , , , ,94.1176, , , , , , , , , , , , , ,
0.4582, , , , , , , , , ,94.0476, , , , , , , , , , , , , , , , , , , , , ,
0.4589, , , , , , , , , ,95.2381, , , , , , , , , , , , , , , , , , , , , ,
0.4592, , , , , , , , ,65.2174, , , , , , , , , , , , , , , , , , , , , , ,
0.4598, , , , , , , , , , , , , , , , , , , ,15, , , , , , , , , , , ,
0.46, , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , ,
0.4603, ,94.4444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4609, , ,91.0643,29.0816,10.4149, , ,39.5704, , ,96.0715,36.9949, , , ,94.8671,79.1782, , , ,64.5006,96.163,91.9452, , ,99.7922,94.44, , ,99.9386,65.576,
0.462, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.4623, , , , , , , , , , , , , , ,52.3077, , , , , , , , , , , , , , , , ,
0.4625, , , , , , , , , , , , , , , , , , , , , , , ,88.2353, , , , , , , ,
0.4627, , , , , , , , , , , , , , , , , ,94.1176, , , , , , , , , , , , , ,
0.463, , , , , , , , ,63.7681, , , , , , , , , , , , , , , , , , , , , , ,
0.4634, , ,90.8025,29.5626,10.7268, , ,39.1599, , ,96.3629,37.6067, , , ,95.1044,79.6395, , , ,65.1367,95.9583,92.2663, , ,99.8395,94.6781, , ,99.9635,66.1202,
0.4635, , , , , , , , ,65.2174, , , , , , , , , , , , , , , , , , , , , , ,
0.4638, , , , , , , , , , , , ,88.8889, , , , , , , , , , , , , , , , , , ,
0.4639, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.4642, , , , , , , , , , , , , , , , , , , , , , , , , , , ,31.5789,77.3585, , ,
0.4643, , , , , , , , , , , , ,90,77.9412, , , , , , , , , , , , , , , , , ,
0.4649, , , , , , , , , , , , ,88.8889, , , , , , , , , , , , , , , , , , ,
0.4651, , ,90.5382,30.0464,11.0431, , ,38.749, , ,96.6433,38.2216, , , ,95.3362,80.097, , , ,65.7705,95.7494,92.5812, , ,99.8807,94.9109, , ,99.982,66.6625,
0.4653, , , , , ,24.4681, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4655, , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , ,
0.4658, , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , ,
0.4662, , , , , , , , , , , , ,91.1111, , , , , , , , , , , , , , , , , , ,
0.4663, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.4665, , , , , , , , , , , , , ,76.4706, , , , , , , , , , , , , , , , , ,
0.4668, , ,90.2713,30.5328,11.3638, , ,38.3377, , ,96.9125,38.8395, , , ,95.5625,80.5506, , , ,66.402,95.5362,92.8897, , ,99.9157,95.1383, , ,99.9942,67.2026,
0.4668, , , , , , , , , , , , ,90, , , , ,94.1176, , , , , ,94.1176, , , , , , , ,
0.4672, , , , , , , , , , , , , , ,53.8462, , , , , , , , , , , , ,29.8246, , , ,
0.4674, , , , , , , , , ,96.4286, , , , , , , , , , , , , , , , , , , , , ,
0.4681, , , , , , , , , ,95.2381, , , ,77.9412, , , , , , , , , , , , , , , , , ,
0.4683, , , , , , , , ,66.6667, , , , , , , , , , , , , , , , , , , , , , ,
0.4689, , ,89.9967,31.0311,11.6949, , ,37.9182, , ,97.1755,39.4721, , , ,95.7874,81.0086, , , ,67.0429,95.3147,93.1975, , ,99.9451,95.3645, , ,100,67.7509,
0.4692, , , , , , , , , , , , , , ,52.3077, , , , , , , , , , , , , , , , ,
0.4708, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.471, , ,89.7194,31.5321,12.0306, , ,37.4983, , ,97.4268,40.1075, , , ,96.0066,81.4625, , , ,67.681,95.0889,93.4987, , ,99.9682,95.5852, , ,99.9993,68.2969,
0.4711, , , , , , , , , , , , ,91.1111, , , , , , , , , , , , , , , , , , ,
0.4714, , , , , , , , , ,96.4286, , , , , , , ,94.1176, , , , , , , , , , , , , ,
0.4716, , , , , , , , ,65.2174, , , , ,77.9412, , , , , , , , , , , , , , , , , ,
0.472, , , , , , , , , , , , , , ,53.8462, , , , , , , , , , , , , , , , ,
0.4721, , , , , , , , , ,96.4286, , , , , , , , , , , , , , , , , , , , , ,
0.4722, , , , , , , , ,66.6667, , , , , , , , , , , , , , , , , , , , , , ,
0.4731, , , , , ,23.4043, , , , , , , , , , , , , , , , , , , , , , ,79.2453, , ,
0.4732, ,100, , , , , , , , , , , , , , , ,88.2353, , , , , ,88.2353, , , , , , , ,
0.4734, , , , , , , , , ,96.4286, , , , , , , , , , , , , , , , , , , , , ,
0.474, , , , , , , , , ,95.2381, , , , , , , , , , , , , , , , , ,31.5789, , , ,
0.4747, , , , , , , , , ,96.4286, , ,90, , , , , , , , , , , , , , , , , , ,
0.475, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.4752, , , , , , , , , , , , , ,79.4118, , , , , , , , , , , , , , , , , ,
0.4754, , , , , , , , , , , , ,91.1111, , , , , , , , , , , , , , , , , , ,
0.4757, , , , , , , , , , , , , , , , , ,88.2353, , , , , ,94.1176, , , , , , , ,
0.476, , , , , , , , , , , , ,90, , , , , , , , , , , ,10, , , ,77.3585, , ,
0.4765, , , , , , , , , , , , ,91.1111,77.9412,55.3846, , , , , , , , , , , , , , , , ,
0.477, , ,89.4395,32.0357,12.3706, , ,37.0781, , ,97.6664,40.7458, , , ,96.22,81.912, , , ,68.3162,94.8589,93.7932, , ,99.985,95.8003, , ,99.9921,68.8404,
0.4773, , , , , , , , ,68.1159, , , ,92.2222,76.4706, , , , , , , , , , , , , , , , , ,
0.478, , , , , , , , , , , , ,91.1111, , , , , , , , , , , , , , , , , , ,
0.4788, , , , , , , , , , , , , ,77.9412, , , , , , , , , , , , , , , , , ,
0.4793, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.48, , , , , , , , ,66.6667, , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.4811, , , , , ,22.3404, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4816, , , , , , , , , , , , , , ,56.9231, , , , , , , , , , , , , , , , ,
0.4817, , , , , , , , ,68.1159, , , , , , , , , , , , , , , , , , , , , , ,
0.482, , , , , , , , , , , , ,92.2222, , , , , , , , , , , , , , , ,79.2453, , ,
0.4823, , , , , , , , , , , , , ,79.4118,55.3846, , , , , , , , , , , , , , , , ,
0.4827, ,94.4444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.483, , , , , , , , , , , , , ,77.9412, , , , , , , , , , , , , , , , , ,
0.4833, , , , , , , , , ,97.619, , , , , , , , , ,10, , , , , , , , , , , ,
0.4835, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.484, , , , , , , , , , , , ,92.2222, , , , , , , , , , , , , , , , , , ,
0.484, , , , , , , , , ,96.4286, , , , , , , ,88.2353, , , , , , , , , ,33.3333, , , ,
0.4855, , ,89.1569,32.5418,12.7152, , ,36.6574, , ,97.8944,41.3867, , , ,96.4276,82.3571, , , ,68.9484,94.6248,94.081, , ,99.9956,96.01, , ,99.9784,69.3816,
0.4858, , , , , , , , , , , , ,91.1111,79.4118, , , , , , , , , , ,0, , , , , , ,
0.4862, , , , , , , , ,69.5652, , , , , , , , , , , , , , , , , , , , , , ,
0.4864, , , , , , , , , , , , ,92.2222, ,56.9231, , , , , , , , , , , , , , , , ,
0.4871, , , , , , , , , , , , ,91.1111, , , , , , , , , , , , , , , , , , ,
0.4873, , , , , , , , , ,96.4286, , , , , , , , , , , , , , , , , , , , , ,
0.4878, , , , , , , , , , , , ,92.2222, , , , ,82.3529, , , , , , , , , , , , , ,
0.4879, , , , , , , , , ,97.619, , , , , , , , , , , , , , , , , , , , , ,
0.4881, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.4883, ,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4885, , , , , , , , ,68.1159, , , ,93.3333, , , , ,88.2353, , , , , , , , , , , , , ,
0.4889, , , , , ,21.2766, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.4892, , , , , , , , , , , , ,92.2222, , , , , , ,15, , , , , , , , , , , ,
0.4898, , , , , , , , , ,96.4286, , , , , , , , , , , , , , , , , , , , , ,
0.4905, , , , , , , , , ,97.619, , , , , , , , , , , , , , , , , , , , , ,
0.4906, , , , , , , , ,69.5652, , , , , , , , , , , , , , , , , , , , , , ,
0.4907, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81.1321, , ,
0.4911, , , , , , , , , , , , , , ,58.4615, , , , , , , , , , , , , , , , ,
0.4913, , , , , , , , , ,96.4286, , , , , , , , , , , , , , , , , , , , , ,
0.492, , , , , , , , , ,97.619, , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.4927, , , , , , , , , , , , , ,80.8824, , , ,88.2353, , , , , , , , , , , , , ,
0.4932, , , , , , , , , , , , ,93.3333, , , , , , , , , , , , , , , , , , ,
0.4938, , , , , , , , , , , , , , , , , , , , , , , , , , , ,35.0877, , , ,
0.4944, , , , , , , , , , , , , , , , , , , , , , , ,88.2353, , , , , , , ,
0.4945, , , , , , , , , , , , , ,79.4118, , , , , , , , , , , , , , , , , ,
0.4949, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,79.2453, , ,
0.4951, , , , , , , , ,71.0145,96.4286, , ,93.3333, , , , , , , , , , , , , , , , , , ,
0.4958, , , , , , , , , ,97.619, , , , , , , , , , , , , , , , , , , , , ,
0.496, , , , , , , , , , , , , ,80.8824, , , ,82.3529, , , , , , , , , , , , , ,
0.4965, , , , , , , , , ,96.4286, , , , , , , , , , , , , , , , , , , , , ,
0.4967, , , , , , , , ,69.5652, , , ,92.2222, , , , ,88.2353, , , , , , ,0, , , , , , ,
0.4972, , , , , , , , , ,97.619, , , , , , , , , , , , , , , , , , , , , ,
0.4973, , , , , ,20.2128, , , , , , ,93.3333, , , , , , , , , , , , , , , , , , ,
0.498, , , , , , , , , , , , ,92.2222, , , , , , , , , , , , , , , , , , ,
0.4988, , , , , , , , , , , , ,93.3333, , , , , , , , , , , , , , , , , , ,
0.499, , ,88.8662,33.0601,13.0707, , ,36.2285, , ,98.1147,42.0423, , , ,96.6333,82.8062, , , ,69.5892,94.382,94.3674, , ,100,96.2179, , ,99.9579,69.9303,
0.4994, , , , , , , , , , , , , , , , , , , , , , , , , , , ,33.3333,81.1321, , ,
0.4996, , , , , , , , ,71.0145, , , , , , , , , , , , , , , , , , , , , , ,
0.4999, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.5003, , , , , , , , , ,96.4286, , , , , , , , , , , , , , , , , , , , , ,
0.5006, , , , , , , , , , , , , , ,60, , , , , , , , , , , , , , , , ,
0.5008, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.5013, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.5018, , , , , , , , , ,97.619, , , , , , , , , , , , , , , , , , , , , ,
0.502, , , , , , , , , , , , , , , , , , , , , , , ,94.1176, , , , , , , ,
0.5024, , , , , , , , , ,97.619, , , , , , , , , , , , , , , , , , , , , ,
0.503, , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , , , , , ,
0.5037, , , , , , , , , , , , , , , , , , , , , , , , , , , ,35.0877, , , ,
0.504, ,94.4444, , , , , , ,71.0145, , , ,94.4444, , , , ,82.3529, , , , , , , , , , , , , ,
0.5041, , ,88.5728,33.581,13.4309, , ,35.7991, , ,98.3229,42.7005, , , ,96.8329,83.2506, , , ,70.2265,94.135,94.6468, , ,99.998,96.4202, , ,99.9307,70.4764,
0.5043, , , , , , , , , , , , , , , , , , , , , , , ,88.2353, , , , , , , ,
0.505, , , , , , , , , , , , , ,80.8824,61.5385, , , , , , , , , , , , , , , , ,
0.5056, , , , , , , , , ,96.4286, , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.5057, , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , , , , , ,
0.5058, , , , , ,19.1489, , , , , , ,93.3333, , , , , , , , , , , , , , , , , , ,
0.5063, , , , , , , , , ,97.619, , ,94.4444, , , , , , , , , , , , , , , , , , ,
0.5079, , , , , , , , , , , , ,93.3333, , , , ,82.3529, , , , , , , , , , ,83.0189, , ,
0.5085, , , , , , , , ,72.4638, , , ,94.4444, , , , , , , , , , , ,0, , , , , , ,
0.5098, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.5101, , ,88.2766,34.1042,13.7955, , ,35.3695, , ,98.5188,43.361, , , ,97.0266,83.6903, , , ,70.8601,93.8838,94.9192, , ,99.9895,96.6167, , ,99.897,71.0196,
0.5104, , , , , , , , , , , , , , , , , , , , , , , ,94.1176, , , , , , , ,
0.5111, , , , , , , , , , , , , , , , , , ,100, , , , , , , , , , , , ,
0.5118, , ,87.9777,34.6299,14.1646, , ,34.9395, , ,98.7025,44.0238, , , ,97.2142,84.1252, , , ,71.4899,93.6286,95.1845, , ,99.9748,96.8076, , ,99.8568,71.5599,
0.5119, , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , ,
0.5122, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.513, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.5133, , , , , , , , , , , , , ,83.8235, , , , , , , , , , , , , ,36.8421, , , ,
0.514, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.5145, , , , , , , , , , , , , , ,63.0769, , , , , , , , ,88.2353, , , , , , , ,
0.5146, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81.1321, , ,
0.5148, , , , , , , , , , , , , , , , , , , ,15, , , , , , , , , , , ,
0.5152, , , , , ,18.0851, , , , , , ,95.5556, , , , , , , , , , , , , , , , , , ,
0.5158, , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , , , , , ,
0.516, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.5164, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83.0189, , ,
0.5165, , , , , , , , , , , , , ,83.8235, , , , , , , , , , , , , , , , , ,
0.517, , , , , , , , , , , , ,94.4444, , , , , , , , , , , , , , , , , , ,
0.5173, ,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.5174, , , , , , , , ,73.913, , , , , , , , , , , , , , , , , , , , , , ,
0.5175, , , , , , , , , , , , ,95.5556, , , , , , , , , , , , , , , , , , ,
0.5177, , ,87.6702,35.168,14.5453, , ,34.5009, , ,98.8772,44.7015, , , ,97.3991,84.5634, , , ,72.1277,93.3644,95.4477, , ,99.9532,96.9963, , ,99.8091,72.1075,
0.518, , , , , , , , , , , , , , , , , ,88.2353, , , , , , , , , , , , , ,
0.5182, , , , , , , , , , , , ,94.4444, , , , , , , , , , , , , , , , , , ,
0.5188, , , , , , , , , , , , , , , , , , , , , , , ,94.1176, , , , , , , ,
0.519, , , , , , , , , , , , , ,82.3529,64.6154, , , , , , , , , , , , , , , , ,
0.5194, , ,87.3599,35.7085,14.9307, , ,34.0619, , ,99.0392,45.3812, , , ,97.5778,84.9965, , , ,72.7611,93.096,95.7035, , ,99.9251,97.1791, , ,99.7547,72.6519,
0.5196, , , , , , , , , , , , , ,83.8235, , , , , , , , , , , , , , , , , ,
0.52, , , , , , , , , ,98.8095, , , , , , , , , , , , , , , , , , , , , ,
0.5202, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.5203, , , , , , , , , , , , ,95.5556,82.3529, , , , , , , , , , , , , , , , , ,
0.5205, , , , , , , , ,72.4638, , , , , , , , , , , , , , , , , , , , , , ,
0.5208, , , , , , , , , ,97.619, , , , , , , , , , , , , , , , , , , , , ,
0.5212, , , , , , , , ,73.913, , , , , , , , , , , , , , , ,0, , , , , , ,
0.5221, , , , , , , , , , , , , , ,63.0769, , , , , , , , , , , , , , , , ,
0.5228, , , , , , , , , , , , , , , , , , , , , , , , , , , ,38.5965, , , ,
0.5235, , , , , , , , , , , , , ,83.8235, , , , , , , , , , , , , , , , , ,
0.5236, , , , , , , , , , , , , , ,64.6154, , , , , , , , , , , , , , , , ,
0.5241, , , , , , , , , , , , , , , , , ,76.4706, , , , , , , , , , , , , ,
0.5243, ,94.4444, , , , , , , , , , ,94.4444, , , , , , , , , , ,88.2353, , , , , , , ,
0.5248, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,84.9057, , ,
0.5249, , , , , , , , , ,98.8095, , , , , , , , , , , , , , , , , , , , , ,
0.5253, , , , , ,17.0213, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.5256, , , , , , , , , ,98.8095, , , , , , , , , , , , , , , , , , , , , ,
0.5259, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.5262, , , , , , , , , , , , , ,83.8235, , , , , , , , , , , , , , , , , ,
0.5263, , , , , , , , ,75.3623,97.619, , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.527, , , , , , , , , ,97.619, , ,95.5556, , , , , , , , , , , , , , , , , , ,
0.5273, , , , , , , , , , , , , , , , , , , , , , , ,94.1176, , , , , , , ,
0.5276, , , , , , , , , , , , ,94.4444, , , , , , , , , , , , , , , , , , ,
0.5279, , , , , , , , , , , , , , , , , ,76.4706, , , , , , , , , , , , , ,
0.5281, , , , , , , , , , , , , , ,66.1538, , , , , , , , , , , , , ,83.0189, , ,
0.5283, , , , , , , , ,73.913, , , , , , , , , , , , , , , , , , , , , , ,
0.5288, , , , , , , , , ,97.619, , , , , , , , , , , , , , , , , , ,84.9057, , ,
0.5292, , , , , , , , , , , , ,94.4444, , , , , , , , , , , , , , , , , , ,
0.5295, , , , , , , , , ,98.8095, , , , , , , , , , , , , , , , , , , , , ,
0.5302, , , , , , , , , , , , , ,85.2941, , , , , , , , , , , , , ,36.8421, , , ,
0.5305, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.5307, , , , , , , , ,75.3623, , , , , , , , , , , , , , , , , , , , , , ,
0.5308, , , , , , , , , , , , , ,83.8235, , , , , , , , , , , , , , , , , ,
0.5312, ,100, , , , , , , , , , , , , , , ,76.4706, , , , , , , , , , , , , ,
0.5314, , , , , , , , , , , , ,95.5556, , , , , , , , , , , , , , , , , , ,
0.532, , , , , , , , , ,98.8095, , , , , , , , , , , , , , , , , ,38.5965, , , ,
0.5327, , , , , , , , , ,97.619, , , , ,67.6923, , , , , , , , , , , , , , , , ,
0.5333, , , , , , , , , ,98.8095, , , , , , , , , , , , , , , , , , , , , ,
0.5337, , , , , , , , , , , , , ,85.2941, , , , , , , , , , , , , , , , , ,
0.534, , , , , , , , , ,97.619, , , , , , , , , , , , , ,88.2353, , , , , , , ,
0.5344, , , , , , , , , , , , , , , , , ,82.3529, , , , , , ,0, , , , , , ,
0.5347, , , , , , , , , ,98.8095, , , , ,66.1538, , , , , , , , , , , , , , , , ,
0.5351, , , , , , , , ,76.8116, , , , , , , , ,76.4706, , , , , , , , , , , , , ,
0.5352, , , , , , , , , , , , ,95.5556, , , , , , , , , , , , , , , , , , ,
0.5358, , , , , , , , ,75.3623, , , , , , , , , , , , , , ,94.1176, , , , , , , ,
0.5364, , , , , ,15.9574, , , , , , , ,85.2941, , , , , , , , , , , , , , ,83.0189, , ,
0.5364, , ,87.0467,36.2512,15.3206, , ,33.6227, , ,99.1885,46.0628, , , ,97.7502,85.4244, , , ,73.3901,92.8235,95.9519, , ,99.8904,97.356, , ,99.6937,73.193,
0.5371, , , , , , , , , , , , , , ,67.6923, , , , , , , , , , , , , ,84.9057, , ,
0.5379, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.5381, , , , , , , , , ,98.8095, , ,96.6667, , , , , , , , , , , , , , , , , , ,
0.5381, , ,86.7307,36.7962,15.7149, , ,33.1832, , ,99.3252,46.7461, , , ,97.9163,85.847, , , ,74.0144,92.547,96.1929, , ,99.8493,97.527, , ,99.6261,73.7307,
0.5386, , , , , , , , , , , , , , , , , ,82.3529, , , , , , , , , , , , , ,
0.5388, , , , , , , , , , , , ,95.5556, , , , , , , , , , , , , , , , , , ,
0.5393, , , , , , , , ,76.8116, , , , , , , , ,76.4706, , , , , , , , , , , , , ,
0.5403, , , , , , , , , , , , , ,86.7647, , , , , , , , , , , , , , , , , ,
0.5409, , , , , , , , , , , , , ,85.2941, , , , , , , , , , , , , , , , , ,
0.5413, , , , , , , , , , , , , , ,69.2308, , , , , , , , , , , , ,40.3509,86.7925, , ,
0.5415, , ,86.4056,37.354,16.1217, , ,32.7347, , ,99.4514,47.4445, , , ,98.0791,86.2725, , , ,74.646,92.261,96.4311, , ,99.8008,97.6954, , ,99.5505,74.2754,
0.5425, , , , , , , , , , , , ,96.6667, , , , ,82.3529, , , , , , , , , , , , , ,
