Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data,
0.0507, , , , , , , , , ,32.1429, , , , , , , , , , , , , , , , , , , , , ,
0.0513, , , , , , , , , ,33.3333, , , , , , , , , , , , , , , , , ,0, , , ,
0.0517, , , , , , ,57, , , , , , , , , , , , ,10, , , , , , , , , , , ,
0.0541, , , , , , , , , , , , , , , , , ,47.0588, , , , , , , , , , , , , ,
0.0551, , , , , , , , , ,33.3333, , , , , , , , , , , , , , , , , , , , , ,
0.0553, , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , ,
0.0556, , , , , , , , ,11.5942, , , , , , , , , , , , , , , , , , , , , , ,
0.0558, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24.5283, , ,
0.056, , , , , , ,56, , , , , , , ,1.5385, , , , , , , , , , , , , , , , ,
0.0563, , , , , , , , , , , , ,40, , , , , , , , , , , , , , , , , , ,
0.057, , , , , , , , , , , , ,38.8889, , , , , , , , , , , , , , , , , , ,
0.058, , , , , ,95.7447, , , ,34.5238, , ,40, , , , , , , , , , , , , , , , , , ,
0.0596, , , , , , , , , , , , ,38.8889, , , , , , , , , , , , , , , , , , ,
0.0602, , , , , , ,55, , , , , ,41.1111, , , , , , , , , , , , , , , , , , ,
0.0609, , , , , , , , , , , , ,40, , , , , , ,5, , , , , , , , , , , ,
0.0611, , , , , , , , , ,35.7143, , , , , , , ,41.1765, , , , , , , , , , , , , ,
0.0618, ,94.4444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.062, , ,99.6603,6.1812,0.0497, , ,63.9522, , ,61.396,8.1165, , , ,70.5058,46.2578, , , ,26.4333,97.1694,62.3075, , ,84.251,70.0416, , ,84.8158,31.4143,
0.062, , , , , ,95.7447, , , , , , , ,23.5294, , , , , , , , , , , , , , , , , ,
0.0641, , , , , ,95.7447, , , , , , , , , , , ,47.0588, , , , , , , , , , , , , ,
0.0643, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , ,
0.0647, , , , , , , , , , , , , , , , , , , , , , , ,35.2941, , , , , , , ,
0.0654, , , , , , , , , ,34.5238, , , , , , , , , , , , , , , , , , , , , ,
0.066, , , , , ,94.6809, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.0664, , , , , , , , , , , , ,41.1111, , , , , , , , , , , , , , , , , , ,
0.0665, , , , , ,95.7447, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.067, , , , , , , , , , , , ,41.1111, , , , , , , , , , , , , , , , , , ,
0.0672, , , , , , , , , ,35.7143, , , , , , , , , , , , , , , , , , , , , ,
0.0672, , , , , , , , ,13.0435, , , , , , , , , , , , , , , , , , ,1.7544, , , ,
0.0679, , ,99.7409,6.45,0.0765, , ,63.542, , ,62.1653,8.445, , , ,71.0662,46.8596, , , ,27.0098,97.3796,62.9401, , ,84.7261,70.6007, , ,85.3007,31.9745,
0.0679, , , , , ,94.6809, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.0681, ,88.8889, , , ,95.7447,53, , , , , , , , , , , , , , , , , , , , , , , , ,
0.0697, , , , , ,94.6809, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.0699, , , , , , , , , ,36.9048, , , ,25, , , , , , , , , , , , , , , , , ,
0.0703, , , , , ,95.7447, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.0707, , , , , , , , , ,35.7143, , , , , , , , , , , , , , , , , , , , , ,
0.0715, , , , , ,94.6809, , , , , , ,42.2222, ,3.0769, , , , , , , , , ,0, , , , , , ,
0.073, , , , , , , , , ,36.9048, , , , , , , , , , , , , , , , , , , , , ,
0.0731, , , , , , ,52, ,11.5942, , , , , , , , ,52.9412, , , , , , , , , , , , , ,
0.0736, , , , , , , , , , , , ,42.2222, , , , , , , , , , , , , , , , , , ,
0.075, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.4151, , ,
0.0758, , , , , , , , , ,38.0952, , ,42.2222, , , , , , , , , , , , , , , , , , ,
0.0764, , ,99.8147,6.738,0.1108, , ,63.1104, , ,62.9732,8.7973, , , ,71.6521,47.4926, , , ,27.6208,97.5933,63.6024, , ,85.2192,71.1849, , ,85.8038,32.566,
0.0771, , , , , , ,51, , , , , ,42.2222, , , , , , , , , , , , , , , , , , ,
0.0774, , , , , , , , , , , , , ,25, , , , , , , , , , , , , , , , , ,
0.0782, , , , , , , , ,13.0435,36.9048, , , , , , , ,47.0588, , , , , , , , , , ,24.5283, , ,
0.0788, , , , , , , , , , , , ,43.3333, , , , , , , , , , , , , , , , , , ,
0.0791,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.0792,90, , , , , , , , , , , ,42.2222, , , , , , , , , , , , , , , , , , ,
0.0806, , ,99.8769,7.0323,0.1515, , ,62.6772, , ,63.782,9.1578, , , ,72.2358,48.1276, , , ,28.2385,97.7999,64.2638, , ,85.7071,71.7669, , ,86.3013,33.1618,
0.0809, , , , , , , , , , , , ,43.3333, , , , , , , , , , , , , , , , , , ,
0.0814, , , , , , , , , ,38.0952, , , , , , , , , , , , , , , , , , , , , ,
0.0816, , , , , , ,50, , , , , ,42.2222, , , , , , , , , , , , , , , , , , ,
0.0821, , , , , , , , , , , , ,43.3333, ,1.5385, , , , , , , , , , , , , , , , ,
0.0827, , , , , , , , , , , , ,44.4444, , , , , , , , , , , , , , , , , , ,
0.0832, , , , , , , , , , , , , , , , , , , , , , , ,41.1765, , , , , , , ,
0.0834, , , , , , , , , , , , ,43.3333, , , , , , , , , , , , , , , , , , ,
0.0841, , , , , , , , , ,39.2857, , , , , , , , , , , , , , , , , , , , , ,
0.0842, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.4151, , ,
0.0848, , , , , , , , , , , , , ,26.4706, , , , , , , , , , , , , , , , , ,
0.0857, , , , , , ,49, , , , , , , ,3.0769, , , , , , , , , , , , , , , , ,
0.0857, , ,99.927,7.333,0.1985, , ,62.2425, , ,64.5914,9.5264, , , ,72.8173,48.7645, , , ,28.8628,97.9991,64.9239, , ,86.1895,72.3465, , ,86.7929,33.7617,
0.0862, , , , , , , , , ,39.2857, , , , , , , , , , , , , , , , , , , , , ,
0.0876, , , , , , , , , , , , ,44.4444, , , , , , , , , , , , , , , , , , ,
0.0896, , , , , , ,48, ,14.4928,40.4762, , , , , , , , , , , , , ,35.2941, , , , , , , ,
0.091, ,94.4444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.0912, , , , , , , , , , , , , , , , , ,52.9412, , , , , , , , , , , , , ,
