t,CLK,CLK/CYC,per,PER,tim,TIM,PER/TIM,cwo,CWO,pdp1,PDP1,vri,VRI,clk,CRY
1087.847552,43.86304202,23.24871057,18.1773538,10.67052114,16.91995172,10.64344401,11.56891136,0.628032072,1.0896449,14.045539,17.31132958,5.854450969,6.412388159,15.9086989,74.0966766
1087.860903,43.84661677,23.28565603,18.22812456,10.67715446,16.94682927,10.65866788,11.56642671,0.629386943,1.089138737,14.05522508,17.31373224,5.862865709,6.411501632,15.90341738,74.08595331
1087.874254,43.83021064,23.32256343,18.27893566,10.68385577,16.97379679,10.67397635,11.5639887,0.63075062,1.08863418,14.06495515,17.31619148,5.871309038,6.41063013,15.89815176,74.07511336
1087.887604,43.81382376,23.35943246,18.3297859,10.69062512,17.0008541,10.68936942,11.56159747,0.632123134,1.088131233,14.07472915,17.31870731,5.879780912,6.409773669,15.89290207,74.06415698
1087.900955,43.79745629,23.39626285,18.38067411,10.69746252,17.02800104,10.70484708,11.55924328,0.633504513,1.087629897,14.08454703,17.32127975,5.888281284,6.408932265,15.88766834,74.05308436
1087.914306,43.78110835,23.43305433,18.43159912,10.70436801,17.05523742,10.72040934,11.55691448,0.634894789,1.087130176,14.09440871,17.3239088,5.896810108,6.408105935,15.88245063,74.04189573
1087.927657,43.7647801,23.46980662,18.48255974,10.71134162,17.08256308,10.73605619,11.55460945,0.636293991,1.086632072,14.10431413,17.32659448,5.905367335,6.407294693,15.87724896,74.03059129
1087.941008,43.74847169,23.50651946,18.5335548,10.71838338,17.10997783,10.75178762,11.55232799,0.637702149,1.086135587,14.11426324,17.3293368,5.913952918,6.406498557,15.87206338,74.01917125
1087.956798,43.72920893,23.54988975,18.59391132,10.72679991,17.14251699,10.77050291,11.54966077,0.63937923,1.085550473,14.12608671,17.33265337,5.924143929,6.405576457,15.86595103,74.00551542
1087.972589,43.70997436,23.59320405,18.65431243,10.73531185,17.17518022,10.78933649,11.54702739,0.641068934,1.084967633,14.13797109,17.33604922,5.934374456,6.404675536,15.8598613,73.99169851
1087.988379,43.69076819,23.63646191,18.71475619,10.74391924,17.20796723,10.80828834,11.54442809,0.64277131,1.084387073,14.14991629,17.33952435,5.944644418,6.40379582,15.85379426,73.97772086
1088.00417,43.67159067,23.6796629,18.77524065,10.75262212,17.2408777,10.82735845,11.54186309,0.644486409,1.083808796,14.16192219,17.34307879,5.954953731,6.402937336,15.84774997,73.9635828
1088.062133,43.60144345,23.83775012,18.9975838,10.7853877,17.36273833,10.89837409,11.53274537,0.650892088,1.081705726,14.20651198,17.3568066,5.993132985,6.399968457,15.82575872,73.91031524
1088.120096,43.5316969,23.99504431,19.22035377,10.81944201,17.48624238,10.97098126,11.52410454,0.657472485,1.079633736,14.25191303,17.37160427,6.031837,6.397287313,15.80407802,73.85490699
1088.17806,43.46236239,24.15152496,19.4434557,10.85478629,17.61137319,11.04517785,11.51595227,0.664230221,1.077593072,14.2981199,17.38747268,6.071061244,6.394895195,15.78271097,73.79737399
1088.236023,43.39345121,24.30717203,19.66679545,10.89142144,17.73811344,11.12096122,11.50830035,0.671167969,1.075583986,14.34512709,17.40441269,6.11080097,6.392793384,15.76166065,73.73773185
1088.293072,43.32605187,24.45952956,19.88675183,10.92873935,17.86440731,11.19709475,11.50126932,0.678174632,1.073637695,14.39216834,17.42213246,6.150412002,6.391009458,15.7412548,73.67698645
1088.350121,43.25908392,24.61104251,20.10676051,10.96730834,17.9922248,11.27475853,11.49474597,0.685360942,1.071722495,14.4399739,17.44089176,6.190512633,6.389509191,15.72116161,73.61422705
1088.407169,43.1925578,24.7616932,20.32673495,11.00712818,18.12154733,11.35394828,11.48874187,0.692729582,1.069838646,14.48853818,17.46069123,6.231097718,6.388293781,15.70138393,73.54946769
1088.464218,43.12648383,24.91146441,20.54658985,11.04819829,18.25235563,11.4346591,11.48326872,0.700283275,1.067986413,14.53785549,17.48153149,6.272161903,6.387364417,15.68192459,73.48272213
1088.521598,43.06049221,25.06120209,20.76751728,11.09076739,18.38540283,11.51736783,11.47831126,0.708070339,1.066155583,14.58821319,17.50354331,6.31394243,6.386719388,15.6626761,73.41359872
1088.578978,42.99497864,25.2100166,20.98815521,11.13459904,18.51991191,11.60160351,11.47391499,0.716050268,1.064357299,14.6393208,17.52660911,6.356196131,6.38636612,15.64375534,73.34249315
1088.636358,42.92995328,25.35789191,21.20842166,11.17969153,18.65586118,11.68735919,11.47009211,0.724225957,1.062591852,14.69117219,17.5507293,6.398916906,6.386305788,15.62516513,73.26941869
1088.693739,42.86542624,25.50481253,21.42823638,11.22604276,18.79322822,11.77462723,11.46685494,0.732600338,1.060859542,14.74376112,17.57590423,6.442098434,6.386539552,15.60690824,73.19438843
1088.751824,42.80062391,25.6525511,21.65021239,11.27424315,18.93370387,11.86449962,11.46418724,0.74128305,1.059140006,14.79774104,17.60246312,6.486273252,6.387076904,15.5887693,73.11645722
1088.809909,42.73635269,25.79928099,21.87156605,11.32372787,19.07558398,11.95590387,11.46214542,0.750175533,1.057455066,14.85246348,17.63010334,6.530906499,6.387917977,15.57097762,73.03654819
1088.867995,42.67262275,25.94498773,22.09222039,11.37449352,19.21884311,12.04882983,11.46074255,0.759280941,1.055805057,14.9079216,17.65882498,6.575990925,6.389063926,15.553536,72.95467432
1088.92608,42.60944414,26.0896574,22.31210061,11.42653629,19.36345515,12.14326663,11.45999178,0.76860246,1.054190322,14.96410843,17.68862809,6.621519051,6.390515892,15.53644726,72.87084839
1088.985299,42.5456105,26.23606875,22.53539963,11.48090504,19.51225416,12.24108957,11.45991139,0.7783317,1.052580753,15.02213455,17.72012604,6.668384418,6.392312386,15.51939118,72.78339016
1089.044518,42.4823707,26.38137466,22.75774441,11.53659193,19.66240229,12.34045761,11.46053665,0.788292358,1.051008594,15.08090308,17.7527478,6.715694535,6.394429285,15.50270768,72.6939293
1089.103737,42.41973508,26.52556214,22.97906327,11.59359159,19.81386958,12.44135673,11.46188177,0.798487904,1.049474237,15.14040623,17.78649307,6.763440736,6.396867732,15.48639965,72.60247888
1089.162956,42.35771388,26.66861877,23.19928714,11.65189819,19.96662537,12.5437721,11.46396098,0.808921836,1.04797808,15.20063609,17.82136142,6.811614111,6.399628844,15.47046997,72.50905182
1089.223803,42.29463812,26.81441826,23.4243554,11.71316262,20.12489012,12.65056609,11.46687706,0.819894647,1.046481012,15.26327038,17.85835769,6.861547286,6.402803113,15.4544994,72.41101065
1089.28465,42.23223262,26.95899922,23.64812844,11.77579292,20.28444722,12.75892637,11.47059886,0.831126692,1.045025163,15.32665451,17.89653833,6.911911587,6.406320343,15.43893433,72.31090993
1089.345497,42.17050815,27.10235011,23.87054021,11.83978127,20.44526107,12.86883415,11.47514205,0.84262183,1.043611002,15.39077945,17.93590244,6.962696557,6.410181657,15.4237778,72.20876328
1089.406344,42.1094754,27.24446006,24.09152758,11.90511937,20.60729536,12.98026963,11.4805223,0.854383937,1.042239005,15.45563601,17.97644896,7.013891479,6.414388146,15.40903281,72.10458424
1089.466566,42.04976106,27.38387824,24.30878332,11.97110665,20.76883047,13.09204431,11.48668694,0.8662919,1.040923102,15.52053758,18.01774204,7.064953389,6.418892336,15.39484745,71.99948737
1089.526788,41.9907448,27.52206148,24.52452955,12.03839841,20.93148816,13.20527436,11.49370224,0.878468955,1.039649468,15.58613751,18.06019084,7.116395244,6.423736673,15.38107103,71.89242574
1089.58701,41.93243665,27.65900107,24.73871376,12.10698514,21.09523119,13.31993812,11.50158347,0.890918877,1.038418602,15.65242648,18.10379383,7.168205931,6.428922109,15.36770637,71.78341221
1089.647232,41.87484659,27.79468886,24.95128617,12.17685682,21.26002172,13.43601298,11.51034596,0.903645437,1.037231011,15.71939503,18.14854933,7.220374108,6.434449561,15.35475631,71.6724596
