Time (min),clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
1088.120096,13.6845989191,32.6560489748,62.7174189453,41.6098237227,3.7427630125,19.4116413303,9.3728088127,0.596394936,5.1878243949,8.5145047022,10.992514612,0.8997229684,19.252769877,0.3263741933,98.0526337309
1088.17806,13.2226490258,32.0037101018,63.3243348328,42.4381171657,4.0195392448,19.9799286031,9.7763212188,0.5206551951,5.4166151848,8.2065508935,11.4181974766,1.0291922004,19.8168336216,0.255279734,97.8928657002
1088.236023,12.7675467501,31.3553541605,63.92801765,43.2672935447,4.3064241039,20.5555252211,10.188463205,0.449564022,5.6515004843,7.9033624776,11.8512533251,1.1674045408,20.3883102486,0.1928132852,97.7272406285
1088.293072,12.3263777431,30.7212224779,64.5189418668,44.0839087451,4.5986555634,21.1290945839,10.6025095093,0.3842413095,5.888718979,7.6096503691,12.2846229529,1.3119788877,20.9579361931,0.1397944732,97.5585518251
1088.350121,11.8919683615,30.0911495599,65.1065903493,44.9007181158,4.9006840595,21.7095835363,11.0248779596,0.323635265,6.132019626,7.3206301608,12.7250338209,1.4650346862,21.5346028099,0.0952060911,97.3842701825
1088.407169,11.4643802215,29.4652336323,65.6908945251,45.7174003662,5.2125077913,22.2969076965,11.4555452796,0.2678533811,6.3814932612,7.0363410889,13.172434431,1.626577158,22.1182361113,0.059083744,97.2044346897
1088.464218,11.0436745069,28.8435717915,66.2717876058,46.5336388096,5.5341222168,22.8909795488,11.8944848209,0.2170043584,6.6372320749,6.7568231443,13.6267723637,1.7966113616,22.7087591042,0.0314627691,97.0190835577
1088.521598,10.6275273129,28.2226847467,66.8525506391,47.353859153,5.8674750283,23.4952194674,12.3442898409,0.1709464217,6.9008719275,6.4805350971,14.0906949361,1.9762042402,23.3095834441,0.0122923152,96.8271291822
1088.578978,10.2184655536,27.6062954707,67.4297331241,48.1730046919,6.2107146966,24.1060985806,12.8023990602,0.1301022948,7.1710414426,6.2091585222,14.561526088,2.1643964668,23.9172122568,0.001793085,96.6296703866
1088.636358,9.8165501967,26.9944995547,68.0032728877,48.9907710655,6.5638278308,24.7235183823,13.2687746817,0.0945853234,7.4478386338,5.942737334,15.0392093465,2.3611913867,24.5315578212,0,96.4267440215
1088.693739,9.4218411288,26.3873921193,68.5731098514,49.8068603357,6.9267979862,25.3473770511,13.743375156,0.0645099681,7.7313627672,5.681316805,15.5236872254,2.5665918555,25.1525292383,0.0069475357,96.2183864376
1088.751824,9.0296821083,25.7776945976,69.146119264,50.6309736618,7.3042486611,25.9853536137,14.2321391859,0.039725349,8.0253257952,5.4218239829,16.0209796622,2.7832839557,25.7877846497,0.0229177972,96.0019729715
1088.809909,8.645030756,25.1729940637,69.7152164745,51.4527764366,7.6917567489,26.6297085954,14.7292341177,0.0207555507,8.3263908573,5.1675519958,16.5251125978,3.0087985508,26.4296324935,0.0479147372,95.7800671374
1088.867995,8.267947607,24.5733862027,70.2803453606,52.2719828997,8.0892956247,27.2803264592,15.2346047515,0.0077220017,8.6346647361,4.918551398,17.0360230184,3.2431363749,27.0779685113,0.0819726827,95.5527049805
1088.92608,7.898493629,23.9789655708,70.841451933,53.0883153467,8.4968354529,27.9370886254,15.7481919716,0.0007468739,8.9502552969,4.6748739512,17.5536467126,3.4862978361,27.7326851512,0.1251255447,95.3199219908
1088.985299,7.5297457514,23.3783820407,71.4093136745,53.9173405106,8.922589713,28.6128661066,16.2801944517,0,9.279649713,4.4319760984,18.0882149485,3.7432873767,28.4066319685,0.1785178814,95.077052174
1089.044518,7.1690529536,22.7833856982,71.9728879268,54.7428229407,9.3586661475,29.2947706777,16.8205998384,0.0058090606,9.6168790471,4.1947237375,18.6296226699,4.0094460034,29.0869745075,0.2414327501,94.8286210923
1089.103737,6.8164777165,22.194073828,72.5321243078,55.5644965163,9.8050227047,29.982666274,17.3693318851,0.0183060756,9.9620607799,3.9631760246,19.177798111,4.2847712685,29.7735881469,0.3139041211,94.574665041
1089.162956,6.472082305,21.6105427739,73.0869746459,56.3821048064,10.2616137307,30.6764136518,17.92630994,0.0376232506,10.3153133401,3.7373930214,19.7326684006,4.5692596637,30.4663447566,0.395965192,94.3152198985
1089.223803,6.1268028627,21.0170898139,73.6524632662,57.2176984921,10.7413671196,31.3951802223,18.5071007805,0.0647154769,10.6868102579,3.5114725404,20.3096896095,4.8711096073,31.184408148,0.490305412,94.0429614615
1089.28465,5.7902902217,20.4299430448,74.2132257736,58.0484835137,11.2318164501,32.1198160592,19.0964097677,0.0992933512,11.0670838358,3.2917723622,20.8936187532,5.1826227418,31.9086713414,0.594838535,93.764983694
1089.345497,5.4626101059,19.8492037968,74.7692174099,58.8742146525,11.7329004848,32.8501594835,19.6941347139,0.1415024577,11.4562647245,3.078363263,21.4843726422,5.503791724,32.63898396,0.709597937,93.4813244184
1089.406344,5.1438273747,19.2749726477,75.3203960152,59.6946575305,12.2445542274,33.5860455916,20.3001679381,0.1914883808,11.8544841504,2.8713170753,22.0818666133,5.8346079056,33.3751918881,0.8346160428,93.1920212349
1089.466566,4.837143694,18.7131458568,75.8611344928,60.5012462717,12.7612916101,34.319664651,20.9080458753,0.2487617827,12.2576416961,2.6727359562,22.679775241,6.1715152173,34.1094870389,0.968481911,92.9001692553
1089.526788,4.5393011865,18.1578870032,76.3970832107,61.3022307708,13.2882441975,35.0583819586,21.5238387294,0.3139383536,12.6699096555,2.4805335941,23.2841175416,6.5178519665,34.8492459839,1.1124570493,92.602861175
1089.58701,4.2503608198,17.6092904551,76.9282083869,62.0974160779,13.8253375183,35.8020283872,22.1474287043,0.3871599615,13.0914158357,2.2947852922,23.8948076542,6.8736056701,35.5943089129,1.2665697515,92.3001327062
1089.647232,3.970383994,17.0674501098,77.4544784113,62.8866173787,14.3724931071,36.5504320848,22.7786928372,0.4685690318,13.522287908,2.1155675613,24.511758428,7.2387626211,36.3445127222,1.430847271,91.9920194495
1089.703025,3.719052232,16.5715743183,77.9376807803,63.6122773158,14.8883108332,37.2478802772,23.3702619241,0.5514200083,13.9299360969,1.9554286049,25.0888395185,7.585438537,37.0439783326,1.5921350177,91.7017949194
1089.758817,3.4755130862,16.0816500144,78.4166693135,64.3325206839,15.4126266123,37.9491207964,23.9682046247,0.641533193,14.3458334335,1.8010259873,25.6711469778,7.9401588306,37.747579009,1.7621895093,91.407007088
1089.81461,3.23981412,15.5977496441,78.8914240752,65.0472240011,15.9453693402,38.6540109924,24.5724137476,0.7390214673,14.7700804366,1.6524252029,26.2586086718,8.3029089791,38.455177878,1.9410296181,91.1076839473
1089.870402,3.012002032,15.1199450889,79.3619266812,65.7562709138,16.4864656418,39.3624064895,25.1827788386,0.8439974336,15.2027770835,1.5096926515,26.8511515449,8.6736734805,39.1666359664,2.1286734141,90.8038534336
1089.923223,2.803632569,14.673268707,79.8034383529,66.4222450467,17.0063738977,40.0361734739,25.7662082385,0.9503846468,15.6203063194,1.3800305984,27.4167532517,9.0320625181,39.8436330719,2.3144522912,90.5120754605
1089.976044,2.6024129675,14.232179889,80.2411106226,67.0829643695,17.5336340815,40.7128262017,26.3549554911,1.0636790734,16.0455816348,1.2557476834,27.9867794674,9.397604489,40.523841441,2.5081509737,90.2163061608
1090.028865,2.408382143,13.7967382854,80.6749316996,67.7383472789,18.0681769683,41.3922383726,26.9489203663,1.1839753848,16.478685774,1.1369036663,28.5611659807,9.7702829935,41.2071381635,2.7097822415,89.9165691944
1090.081686,2.2215783626,13.3670027938,81.1048908793,68.3883175546,18.6099310624,42.0742825508,27.5480000235,1.3113679739,16.9197004997,1.0235593634,29.1398480272,10.15008049,41.8933988338,2.9193580421,89.6128882489
1090.132385,2.0491140855,12.9599575839,81.5139307853,69.0070116143,19.1366285986,42.7312747009,28.1277185158,1.4404025892,17.3505079067,0.9199998251,29.6992543897,10.5212941404,42.5547526583,3.1279942652,89.3177234979
1090.183083,1.8833759233,12.5582744145,81.9193966977,69.6205953592,19.6698348354,43.3904588279,28.7119584039,1.5761438332,17.7887477839,0.8216197728,30.2624989747,10.8990317521,43.2186086588,3.3439686082,89.0189682219
1090.233782,1.7243973865,12.162004374,82.3212819841,70.2290144366,20.209481096,44.0517198491,29.3006241889,1.7186738348,18.2344894686,0.7284756463,30.8295224536,11.283275049,43.8848533733,3.567289244,88.7166434427
