Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri
0.0758214087,,,,,,38.0952380952,42.2222222222,,,,,,,,,
0.0771472083,,,,51,,,42.2222222222,,,,,,,,,
0.0774458119,,,,,,,,25,,,,,,,,
0.0781624603,,,,,13.0434782609,36.9047619048,,,,47.0588235294,,,,,,24.5283018868
0.0787716115,,,,,,,43.3333333333,,,,,,,,,
0.0790702151,100,,,,,,,,,,,,,,,
0.0791657682,90,,,,,,42.2222222222,,,,,,,,,
0.0808976687,,,,,,,43.3333333333,,,,,,,,,
0.0813993226,,,,,,38.0952380952,,,,,,,,,,
0.081602373,,,,50,,,42.2222222222,,,,,,,,,
0.0821159711,,,,,,,43.3333333333,,1.5384615385,,,,,,,
0.0827490106,,,,,,,44.4444444444,,,,,,,,,
0.0832267762,,,,,,,,,,,,,41.1764705882,,,
0.0834298266,,,,,,,43.3333333333,,,,,,,,,
0.084134531,,,,,,39.2857142857,,,,,,,,,,
0.0842420282,,,,,,,,,,,,,,,,26.4150943396
0.0847795146,,,,,,,,26.4705882353,,,,,,,,
0.085663381,,,,49,,,,,3.0769230769,,,,,,,
0.086165035,,,,,,39.2857142857,,,,,,,,,,
0.0875863878,,,,,,,44.4444444444,,,,,,,,,
0.0896168918,,,,48,14.4927536232,40.4761904762,,,,,,,35.2941176471,,,
0.0909665798,,94.4444444444,,,,,,,,,,,,,,
0.0912293509,,,,,,,,,,52.9411764706,,,,,,
0.0914324013,,,,,,39.2857142857,,,,,,,,,,
0.0921490497,,,,,,40.4761904762,,27.9411764706,,,,,,,,
0.0928059775,,,,,,39.2857142857,,,,,,0,,,,
0.0932598549,,,,,,,,,,,,,,,,28.3018867925
0.0936659557,,,,,,,45.5555555556,,,,,,,,,
0.0939765034,,,,,,,,,,47.0588235294,,,,,,
0.0942751069,,,,47,,,,,,,,,,,,
0.0948962022,,,,,,40.4761904762,,,,,,,,,,
0.0952903589,,,,,,,,,,,,,,,3.5087719298,
0.0976194664,,,,,,41.6666666667,,,,,,,,,,
0.0983361149,,,,,,,,26.4705882353,,,,,,,,
0.0985391653,,,,46,,,,,,,,,,,,
0.0990288751,,,,,,,,27.9411764706,,,,,,,,
0.0992438696,,,,,,,46.6666666667,,,,,,,,,
0.09944692,,,,,,,,,4.6153846154,52.9411764706,,,,,,
0.0998530209,,,,,15.9420289855,,45.5555555556,,,,,,,,,
0.1003546748,,,,,,,46.6666666667,,,,,,41.1764705882,10,1.7543859649,
0.1016804745,,,93.6170212766,,,,,,,,,,,,,
0.101979078,,,,,,,,,,,,,,,,30.1886792453
0.1023851788,,88.8888888889,94.6808510638,,14.4927536232,,,,,,,,,,,
0.1025882292,,,,,,42.8571428571,46.6666666667,,,,,,,0,,
0.1027912796,,,,45,,,,,,,,,,,,
0.1030182183,,,93.6170212766,,,41.6666666667,,,,,,5,,,,
0.1045112359,,,94.6808510638,,,,,,,,,,,,,
0.1052278844,,,93.6170212766,,,42.8571428571,,,,,,,,,,
0.1054309348,,,,,,,47.7777777778,29.4117647059,,,,,,,,
0.1061356391,,,,,,,46.6666666667,,,,,,,,,
0.1068403435,,,,,,41.6666666667,,,,,,,,,,
0.1069358966,,,94.6808510638,,,,,,,,,,,,,
