Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri
1088.192,,,,,,,,,2.2222222222,,,,,,,
1088.37,,,,,,,,10.2564102564,,,,,,,,
1088.456,,,91.4893617021,,,,26.4150943396,,,,,,,,,9.6774193548
1088.81,,,,38,,,,,,,,,,,,
1090.152,,,,,,,26.4150943396,,,,,,,,,
1090.59,,,,37,,,,,,,,,,,,
1090.652,,81.8181818182,,,,,,,,,,,,,,
1090.818,88.8888888889,,,,,,,,,,,,,,,
1091.902,,,,,,,28.3018867925,,,,,,,,,
1092.114,,,92.5531914894,,,,,,,,,,,,,
1093.576,,,,,,,26.4150943396,,,27.2727272727,,,,,,
1094.444,88.8888888889,,,,,,,,,,,,,,,
1094.73,,,,36,,,,,,,,,,,,
1094.79,,72.7272727273,,,,,,,,,,,,,,
1095.37,,,,,,,28.3018867925,,,,,,,,,
1095.63,,,91.4893617021,,,15.3846153846,,,,,,,,,,
1095.912,,,,,,,,,,,,,,,,12.9032258065
1096.238,77.7777777778,,,,,,,,,,,,,,,
1096.5,,,,35,,,,,,,,,,,,
1098.398,,,,,0,,,,,,,,,,,
1099.73,,,,,,,,,,,,,27.2727272727,,,
1099.986,,,90.4255319149,,,,,,,,,,,,,
1100.318,,,,,,17.3076923077,,,,,,,,,,
1100.566,,,,34,,,,,,,,,,,,
1101.726,,,,,,,28.3018867925,,,,,,,,,
1102.014,,,,,,,,12.8205128205,4.4444444444,,,,,,,
1102.11,,,,,,15.3846153846,,,,,,,,,,
1102.348,,,,33,,,,,,,,,,,,
1103.616,,,91.4893617021,,,,,,,,,,,,,
1103.81,,,,,,17.3076923077,,,,,,,,,,
1106.43,,,,32,,,,,,,,,,,,
1107.15,,,90.4255319149,,2.6315789474,,30.1886792453,,,,,,,,,
1107.87,,,,,,,,,2.2222222222,,,,,,,
1108.05,,,,,,,,,,,,,,,5.5555555556,
1108.196,,,,31,,,,,,,,,,,,
1108.704,,,,,,,,,,,,9.0909090909,,,,
1110.4,,,,,,19.2307692308,,,,,,18.1818181818,,,,
1111.47,,,89.3617021277,,,,,,,,,,,,,
1111.66,,,,,,,,,,,,,,,11.1111111111,16.1290322581
1112.19,,,,30,,,,,,,,,,,,
1113.63,,,,,,,28.3018867925,,,,,,,,,
1113.792,,,,29,,,,,,,,,,,,
1114.518,,,,,,,,15.3846153846,,,,,,,,
1115.556,,,90.4255319149,,,,,,,,,,,,,
1117.23,,,,,,,30.1886792453,,,,,,,,,
1117.33,,,89.3617021277,,,,,,,,,,,,,
1117.95,,,,28,,,,,,,,,,,,
1118.67,,,,,,,,12.8205128205,,,,,,,,
1119.028,,,89.3617021277,,,,,,,,,,,,,
1119.48,,,,27,,,,,,,,,,,,
1120.828,,,89.3617021277,,,,,,,,,,,,,
1122.426,,,88.2978723404,,,,,,,,,,,,,
1123.968,,,,26,,,30.1886792453,,,36.3636363636,,,,,,
1124.778,,,,,,21.1538461538,,,,,,,,,,
1125.74,,,,25,,,32.0754716981,,,,,,,,,
1125.87,,,87.2340425532,,,,,,,,,,,,,
1126.378,,,,,,,,15.3846153846,,,,,,,,
1127.36,,63.6363636364,,,,,32.0754716981,,,,,,,,,
1128.118,,,,,,,,,0,,,,,,,
1129.056,,,,,,,32.0754716981,,,,,,,,,
1129.47,,,,,,,,,,,,9.0909090909,,,,
1130.024,,,,24,,,,,,,,,,,,
1130.316,,,,,5.2631578947,,,,,,,,,,,
1131.816,,,86.170212766,23,,,,,,,,,,,,
1132.084,,,,,,,,,2.2222222222,,,,,,,
1132.35,,,,,,,,,,,,,,,5.5555555556,
1133.79,,,,,,23.0769230769,,,,,,,,,,
1134.048,,,,,,,,,,27.2727272727,,,,,,
1135.23,,72.7272727273,,,,,,,,,,,,,,
1135.842,,,,,,,,,,36.3636363636,,,,,,
1135.974,,,,22,,,33.9622641509,,,,,,,,,
1137.62,,,,21,,,33.9622641509,17.9487179487,,27.2727272727,,18.1818181818,,,,
1138.056,,,,,,25,,,,,,,,,,
1139.586,,,85.1063829787,,,,,,,,,,,,,
