Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
0.1069,,,97.8723404255,,,,,,,,,,,,,18.8679245283,17.6072513013,37.9902349633,57.7692984838,35.0753329046,1.8952439093,15.1482967853,6.4637169869,1.3871728421,3.5703576609,11.137724066,7.8662901957,0.1790402743,15.0256139438,1.1979940873,99.1121462298
0.1129,,,96.8085106383,66,,,,,,,,,,,,,17.0853165969,37.2996643496,58.4086254378,35.8962609112,2.0949270915,15.6635112844,6.8032751757,1.2619909589,3.7564605427,10.7878120746,8.2370390235,0.2400122778,15.5360690579,1.0573970175,98.9989937913
0.1273,,,97.8723404255,,,,,,,,,,,,,,16.569875379,36.6122965086,59.045324218,36.7210137366,2.3048939986,16.1868156386,7.1517641788,1.1449629989,3.9481514127,10.4425270926,8.6157766939,0.309930547,16.0546397569,0.9253752344,98.8794197516
0.129,,,,,,28.5714285714,,,,,,,,,,,16.0610018032,35.9282505528,59.6792955727,37.5492189676,2.5251715688,16.7181502174,7.509189054,1.0361945038,4.1455124396,10.1019021692,9.0024569599,0.3888044647,16.5812760398,0.801969752,98.7534771231
0.1307,,,96.8085106383,,8.6956521739,,33.3333333333,,,,,,,,,,15.9464743001,35.7735340791,59.822736413,37.7375576418,2.5765840068,16.8398065054,7.5915228553,1.0126786134,4.1910859394,10.0252757468,9.0912845942,0.4079460466,16.7018723023,0.7751758336,98.7240232717
0.1426,,,,,,,34.4444444444,,,,,,,,,,15.8322892534,35.6189958979,59.9660307222,37.9260503527,2.6285286303,16.9618721229,7.6743166928,0.9895946445,4.2369566284,9.9488913819,9.1805180412,0.4275491792,16.8228803644,0.7488279871,98.6942449024
0.1451,,,,65,,,33.3333333333,,,,,,,,,,15.7184479605,35.4646376086,60.1091774143,38.1146928309,2.6810056742,17.0843463432,7.7575706208,0.9669439907,4.2831254545,9.8727493762,9.2701567479,0.447613944,16.9442995503,0.7229266881,98.6641425704
0.1511,,,,,,,34.4444444444,,,,,,,,,,15.60495107,35.3104604343,60.252175287,38.3034806211,2.73401553,17.207228349,7.8412846394,0.9447279526,4.3295934671,9.7968503335,9.3602001618,0.4681404226,17.0661292272,0.6974724122,98.6337169146
0.163,,,,,,,,19.1176470588,,,,,,,,,15.4917992303,35.1564658805,60.395023293,38.4924093797,2.7875582761,17.3305174134,7.9254586942,0.9228560396,4.3763616144,9.7211944045,9.4506478221,0.4891287781,17.1883687192,0.6724656347,98.6029684626
0.1672,,,,,,,33.3333333333,,,,,,,,,,15.3789937388,35.0026550761,60.5377203852,38.6814747627,2.8416342258,17.4542126737,8.0100928394,0.9012200157,4.4234309797,9.645782193,9.5414989919,0.5105790106,17.3110173648,0.647906861,98.571897853
