Time (min),AKT,Akt_data,Akt_data_StdDev,
0,20,14.0256,2.4072,
0.3522,23, , ,
0.7089,29, , ,
1.0633,37, , ,
1.4177,45, , ,
1.7744,53, , ,
2.1333,59, , ,
2.481,64, , ,
2.8377,68, , ,
3.1944,71, , ,
3.5443,72, , ,
3.901,73, , ,
4.2554,74, , ,
4.5737,75, , ,
5, ,45.0763,8.8672,
6.1878,76, , ,
8.8449,75, , ,
10.0052,74, , ,
10.7976,73, , ,
11.1475,72, , ,
12.1386,71, , ,
12.4749,70, , ,
13.2831,69, , ,
13.6082,68, , ,
14.3441,67, , ,
14.6083,66, , ,
14.9446,65, , ,
15, ,19.7385,5.3516,
15.2494,64, , ,
15.588,63, , ,
15.9447,62, , ,
16.5317,61, , ,
16.8861,60, , ,
17.1909,59, , ,
17.9697,58, , ,
18.3106,57, , ,
18.5973,56, , ,
18.9517,55, , ,
19.6899,54, , ,
19.8976,53, , ,
20.6922,52, , ,
21.0286,51, , ,
21.3627,50, , ,
22.1935,49, , ,
22.4079,48, , ,
23.2432,47, , ,
23.5525,46, , ,
24.2839,45, , ,
24.6316,44, , ,
25.4443,43, , ,
25.7152,42, , ,
26.6204,41, , ,
26.9365,40, , ,
27.8824,39, , ,
28.221,38, , ,
29.1962,37, , ,
29.9299,36, , ,
30, ,14.0539,1.3577,
30.2798,35, , ,
31.3115,34, , ,
31.8127,33, , ,
32.7337,32, , ,
33.56,31, , ,
34.2688,30, , ,
35.2892,29, , ,
36.1809,28, , ,
37.0659,27, , ,
37.9486,26, , ,
38.9667,25, , ,
40.0255,24, , ,
41.0955,23, , ,
42.1814,22, , ,
43.3079,21, , ,
44.396,20, , ,
45.6873,19, , ,
46.807,18, , ,
48.5249,17, , ,
49.7101,16, , ,
51.6426,15, , ,
52.9903,14, , ,
55.083,13, , ,
57.1102,12, , ,
59.0697,11, , ,
60, ,16.398,5.0253,
61.176,10, , ,
64.043,9, , ,
66.761,8, , ,
69.6642,7, , ,
73.2762,6, , ,
77.4977,5, , ,
82.9089,4, , ,
88.8981,3, , ,
90, ,15.5894,1.7056,
97.3411,2, , ,
110.2021,1, , ,
120, ,13.9319,2.8847,
135.4409,0, , ,
240, ,29.8881,9.0068,
480, ,23.1161,3.3289,
720, ,19.2014,1.5705,
960, ,19.578,2.2695,
1200, ,12.7284,1.3455,
1440,0,16.3137,3.7836,
