Time (min),Casp3,Casp3_data,Casp3_data_StdDev,
0,25,50.5213,2.2003,
5, ,44.5713,17.2777,
15, ,43.5872,17.9226,
30, ,49.0656,14.0698,
60, ,54.2839,19.9431,
90, ,58.8243,19.313,
102.3505,26, , ,
120, ,69.7819,10.5091,
143.7598,27, , ,
174.2925,28, , ,
198.9082,29, , ,
220.5712,30, , ,
240, ,71.9278,7.5222,
240.7081,31, , ,
258.881,32, , ,
276.038,33, , ,
292.3371,34, , ,
307.9364,35, , ,
322.7456,36, , ,
337.0356,37, , ,
350.8063,38, , ,
364.3874,39, , ,
377.2191,40, , ,
390.0417,41, , ,
402.7988,42, , ,
415.057,43, , ,
427.2611,44, , ,
439.3567,45, , ,
451.1747,46, , ,
462.9815,47, , ,
474.7882,48, , ,
480, ,74.0981,8.2616,
486.9358,49, , ,
498.2436,50, , ,
509.9149,51, , ,
521.6087,52, , ,
533.3477,53, , ,
545.1544,54, , ,
556.8257,55, , ,
568.5647,56, , ,
580.394,57, , ,
592.4852,58, , ,
604.3461,59, , ,
616.4688,60, , ,
628.7271,61, , ,
641.1207,62, , ,
653.6498,63, , ,
666.3596,64, , ,
679.2273,65, , ,
692.2982,66, , ,
705.5723,67, , ,
719.0722,68, , ,
720, ,76.1957,5.3031,
732.7978,69, , ,
747.2458,70, , ,
761.7953,71, , ,
776.2095,72, , ,
791.3121,73, , ,
806.776,74, , ,
822.6462,75, , ,
839.1395,76, , ,
856.1249,77, , ,
873.3948,78, , ,
891.6038,79, , ,
910.3139,80, , ,
929.8684,81, , ,
949.8834,82, , ,
960, ,72.2931,4.2885,
971.2664,83, , ,
993.5389,84, , ,
1017.0169,85, , ,
1041.6236,86, , ,
1068.1628,87, , ,
1096.1174,88, , ,
1126.316,89, , ,
1158.9301,90, , ,
1194.4812,91, , ,
1200, ,73.9339,3.0472,
1233.2853,92, , ,
1277.5865,93, , ,
1326.9715,94, , ,
1384.312,95, , ,
1440,95,74.2856,6.7422,
