Time (min),MEK,MEK_data,MEK_data_StdDev,
0,0,8.5995,2.2339,
0.9256,6, , ,
1.2845,16, , ,
1.6435,29, , ,
1.9821,41, , ,
2.3343,51, , ,
2.6864,60, , ,
3.0431,66, , ,
3.3862,70, , ,
3.7362,73, , ,
4.0928,75, , ,
4.4473,76, , ,
5, ,40.6152,2.7743,
5.7882,75, , ,
6.838,74, , ,
7.8742,73, , ,
8.1676,72, , ,
8.8449,71, , ,
9.1519,70, , ,
10.0707,69, , ,
10.4026,68, , ,
11.3372,67, , ,
11.6668,66, , ,
11.9851,65, , ,
12.3372,64, , ,
12.6397,63, , ,
12.9919,62, , ,
13.3396,61, , ,
13.6624,60, , ,
14.01,59, , ,
14.369,58, , ,
14.6083,57, , ,
14.9446,56, , ,
15, ,25.013,3.5561,
15.2494,55, , ,
15.588,53, , ,
15.9447,52, , ,
16.2382,50, , ,
16.5317,49, , ,
16.8861,48, , ,
17.1909,46, , ,
17.534,44, , ,
17.8929,43, , ,
18.2316,41, , ,
18.5882,38, , ,
18.8998,36, , ,
19.2497,34, , ,
19.4845,33, , ,
19.8389,32, , ,
20.1233,30, , ,
20.4191,29, , ,
20.7509,28, , ,
21.0534,27, , ,
21.4011,25, , ,
21.7104,22, , ,
22.0625,20, , ,
22.4079,18, , ,
22.7646,16, , ,
23.0694,15, , ,
23.4216,14, , ,
23.697,12, , ,
24.0333,11, , ,
24.381,10, , ,
24.6316,9, , ,
25.3246,8, , ,
25.661,7, , ,
25.9725,6, , ,
26.8078,5, , ,
27.1374,4, , ,
28.3316,3, , ,
29.3701,2, , ,
30, ,14.1852,3.5992,
31.149,1, , ,
34.2688,0, , ,
60, ,13.0817,2.4995,
90, ,11.1615,5.1572,
120, ,9.9757,2.113,
240, ,10.8648,2.0185,
480, ,10.5708,3.4953,
720, ,7.8546,0.81,
960, ,8.3707,2.2342,
1200, ,6.6525,0.1025,
1440,0,6.8799,0.5206,
