Time (min),FKHR,FKHR_data,FKHR_data_StdDev,
0,0,6.2735,4.1707,
0.3522,1, , ,
0.7089,2, , ,
1.0633,4, , ,
1.4177,6, , ,
1.7744,9, , ,
2.1333,11, , ,
2.481,14, , ,
2.8377,16, , ,
3.1944,19, , ,
3.5443,21, , ,
3.901,24, , ,
4.2554,26, , ,
4.5737,28, , ,
4.9078,30, , ,
5, ,30.4467,24.892,
5.2667,32, , ,
5.6212,33, , ,
5.9621,35, , ,
6.2962,36, , ,
6.6461,38, , ,
6.9576,39, , ,
7.3166,40, , ,
7.6642,41, , ,
8.0096,42, , ,
8.2399,43, , ,
8.9645,44, , ,
9.2919,45, , ,
9.6305,46, , ,
10.5606,47, , ,
11.3056,48, , ,
12.2763,49, , ,
14.1906,50, , ,
15, ,84.6565,7.9127,
17.2924,49, , ,
19.3355,48, , ,
21.0534,47, , ,
22.6134,46, , ,
23.9859,45, , ,
25.3856,44, , ,
26.6204,43, , ,
27.8824,42, , ,
29.1962,41, , ,
30, ,70.4343,27.7191,
30.5101,40, , ,
31.6456,39, , ,
32.7337,38, , ,
34.1266,37, , ,
35.2892,36, , ,
36.5354,35, , ,
37.7589,34, , ,
39.0615,33, , ,
40.3438,32, , ,
41.617,31, , ,
43.0437,30, , ,
44.396,29, , ,
45.6873,28, , ,
46.807,27, , ,
48.5249,26, , ,
49.7101,25, , ,
51.6426,24, , ,
52.9903,23, , ,
54.803,22, , ,
56.1327,21, , ,
57.7671,20, , ,
59.3271,19, , ,
60, ,13.4519,6.5607,
61.176,18, , ,
63.0903,17, , ,
64.955,16, , ,
66.761,15, , ,
69.0185,14, , ,
71.1812,13, , ,
73.2762,12, , ,
75.9174,11, , ,
78.3555,10, , ,
81.7621,9, , ,
84.6765,8, , ,
88.8981,7, , ,
90, ,8.3233,1.5207,
92.6455,6, , ,
97.3411,5, , ,
102.3505,4, , ,
110.2021,3, , ,
116.7104,2, , ,
120, ,9.9583,3.2536,
135.4409,1, , ,
145.3942,0, , ,
240, ,10.1247,5.3517,
480, ,6.7818,7.1033,
720, ,0,0,
960, ,0.2612,0.2734,
1200, ,0,0,
1440,0,0,0,
