Time (min),ERK,ERK_data,ERK_data_StdDev,
0,0,7.5005,1.1123,
1.2687,3, , ,
1.6231,6, , ,
1.9821,11, , ,
2.3343,17, , ,
2.6864,22, , ,
3.0431,28, , ,
3.3862,33, , ,
3.7362,37, , ,
4.0928,41, , ,
4.4473,44, , ,
4.8062,47, , ,
5, ,91.8045,2.3122,
5.1539,49, , ,
5.5038,50, , ,
5.8514,51, , ,
6.1878,52, , ,
6.5287,53, , ,
7.373,54, , ,
10.4026,53, , ,
12.2153,52, , ,
13.6082,51, , ,
14.6083,50, , ,
15, ,84.9979,6.8541,
15.4187,49, , ,
16.1005,48, , ,
16.8387,47, , ,
17.1909,46, , ,
17.9697,45, , ,
18.3106,44, , ,
18.5973,43, , ,
19.2994,42, , ,
19.6515,41, , ,
19.8976,40, , ,
20.1233,39, , ,
20.4191,38, , ,
21.0534,37, , ,
21.4011,36, , ,
21.7104,35, , ,
22.0625,33, , ,
22.4079,32, , ,
22.7646,31, , ,
23.0694,30, , ,
23.4216,28, , ,
23.697,27, , ,
24.0333,26, , ,
24.381,25, , ,
24.6316,24, , ,
24.8054,23, , ,
25.1598,22, , ,
25.4443,21, , ,
25.7152,20, , ,
25.9725,19, , ,
26.3179,18, , ,
26.6204,17, , ,
26.9365,16, , ,
27.1916,15, , ,
27.5325,14, , ,
28.221,13, , ,
28.5461,12, , ,
28.8892,11, , ,
29.1962,10, , ,
29.9818,9, , ,
30, ,59.7311,4.0854,
30.2798,8, , ,
31.149,7, , ,
31.4763,6, , ,
32.517,5, , ,
33.5013,4, , ,
34.2688,3, , ,
35.4789,2, , ,
37.1946,1, , ,
40.7005,0, , ,
60, ,34.4954,3.0255,
90, ,25.2855,1.2876,
120, ,11.1108,1.5279,
240, ,23.8194,5.9214,
480, ,25.3577,2.6527,
720, ,30.0164,6.691,
960, ,24.5906,2.7478,
1200, ,29.9672,9.9816,
1440,0,22.5548,5.1253,
