Time (min),JNK1,JNK1_data,JNK1_data_StdDev,
0,0,0.9459,0.2776,
1.6435,4, , ,
1.9821,8, , ,
2.3343,14, , ,
2.6864,21, , ,
3.0431,29, , ,
3.3862,37, , ,
3.7362,45, , ,
4.0928,52, , ,
4.4473,58, , ,
4.8062,63, , ,
5, ,29.231,7.7066,
5.1539,67, , ,
5.5038,71, , ,
5.8514,73, , ,
6.1878,75, , ,
6.5287,77, , ,
6.8831,78, , ,
7.233,79, , ,
7.5604,80, , ,
7.8742,81, , ,
9.0481,82, , ,
10.7976,83, , ,
11.7096,82, , ,
13.1341,81, , ,
14.6083,80, , ,
15, ,84.7428,0.9517,
15.5429,79, , ,
16.8861,78, , ,
17.7304,77, , ,
18.0555,76, , ,
19.0781,75, , ,
19.4122,74, , ,
20.1233,73, , ,
20.4191,72, , ,
21.155,71, , ,
21.4778,70, , ,
22.3673,68, , ,
23.0694,67, , ,
23.4216,66, , ,
23.697,65, , ,
24.0333,64, , ,
24.381,63, , ,
25.056,62, , ,
25.3856,60, , ,
25.7152,59, , ,
25.9725,58, , ,
26.8462,56, , ,
27.1916,55, , ,
27.5325,54, , ,
27.8824,53, , ,
28.221,52, , ,
28.5461,51, , ,
28.8892,49, , ,
29.1962,48, , ,
29.3701,47, , ,
30, ,39.809,2.6932,
30.2798,45, , ,
30.5101,44, , ,
30.8149,43, , ,
31.1738,42, , ,
31.4763,40, , ,
31.8127,39, , ,
32.1581,38, , ,
32.9392,37, , ,
33.2033,35, , ,
33.56,34, , ,
34.5962,33, , ,
34.8829,32, , ,
35.235,30, , ,
36.1335,28, , ,
36.4496,27, , ,
36.795,25, , ,
37.0659,24, , ,
37.3684,23, , ,
37.6889,22, , ,
37.9486,21, , ,
38.2714,20, , ,
38.61,19, , ,
38.9667,18, , ,
39.6801,17, , ,
40.0255,16, , ,
40.3438,15, , ,
40.7005,14, , ,
41.3867,13, , ,
41.617,12, , ,
42.4929,11, , ,
42.7977,10, , ,
43.7639,9, , ,
44.396,8, , ,
45.2267,7, , ,
46.3216,6, , ,
47.4097,5, , ,
48.5949,4, , ,
50.5635,3, , ,
52.4756,2, , ,
56.1327,1, , ,
60, ,3.0009,0.5365,
62.6343,0, , ,
90, ,2.2704,0.2642,
120, ,1.6896,0.487,
240, ,3.1207,0.4607,
480, ,5.6034,1.2258,
720, ,2.0338,0.4549,
960, ,1.1144,0.5113,
1200, ,0.6149,0.0856,
1440,0,0.2036,0.4511,
