Time (min),clk_ANIMO,clk_ODE,
602.4272,94.4444, ,
607.3235, ,73.201,
608.83,100, ,
610.5248,94.4444, ,
612.6591, ,73.2108,
615.4839, ,73.2207,
615.735,100, ,
618.4969,94.4444, ,
618.5597, ,73.2305,
622.3888,100, ,
625.4647, ,73.2796,
626.469,94.4444, ,
627.599, ,73.3287,
628.9172, ,73.3778,
629.4821,100, ,
629.7332, ,73.4268,
632.9346, ,73.6716,
634.5667,94.4444, ,
636.1988,100, ,
638.7724, ,73.9156,
640.5301,94.4444, ,
640.6556, ,74.159,
642.4133,88.8889, ,
642.5388, ,74.4016,
642.8527,94.4444, ,
644.1081, ,74.8407,
645.6774, ,75.2773,
649.4438, ,75.7114,
649.8832,94.4444, ,
649.9459, ,76.1429,
653.1473, ,76.5857,
656.3487, ,77.0256,
656.7881,100, ,
658.1691,94.4444, ,
660.1151, ,77.4626,
661.6844, ,77.8966,
663.5676,100, ,
665.1369, ,78.3636,
665.9529,94.4444, ,
669.6565, ,78.8269,
670.347,100, ,
670.7236, ,79.2866,
671.2886, ,79.7425,
673.4228, ,80.2371,
673.925,94.4444, ,
677.1264,100, ,
681.8344,94.4444, ,
682.4621, ,80.7271,
683.5292, ,81.2124,
683.9058,100, ,
689.6809,94.4444, ,
690.4342, ,81.6929,
690.9364,100, ,
693.6356, ,82.2247,
695.2677, ,82.7503,
697.4019, ,83.2697,
697.9041, ,83.7826,
705.4368,94.4444, ,
706.9433, ,84.3716,
708.5754, ,84.9517,
711.4629,100, ,
713.2206,94.4444, ,
718.3679,100, ,
719.2467, ,85.5226,
719.7489, ,86.0843,
721.1299,94.4444, ,
721.8832, ,86.7874,
722.6364, ,87.4748,
723.5153, ,88.1463,
724.5824, ,88.8015,
725.2729,100, ,
727.2188, ,89.4382,
729.102,94.4444, ,
729.8553, ,90.0583,
731.4874, ,90.6614,
735.7559, ,91.2473,
737.1369,88.8889, ,
738.3923, ,91.8151,
739.1456,94.4444, ,
739.2084, ,92.3652,
742.1587, ,92.8975,
745.2345,88.8889, ,
745.3601, ,93.4118,
746.1761,94.4444, ,
747.9965, ,93.8134,
751.1979, ,94.2031,
753.3322, ,94.5807,
755.4664, ,94.9462,
755.4664, ,95.2567,
757.0357, ,95.5578,
760.4882,100, ,
760.8021, ,95.8493,
761.3043,94.4444, ,
763.4385, ,96.1312,
765.5728, ,96.3856,
765.5728, ,96.6315,
767.2049, ,96.869,
767.6443,100, ,
769.2764, ,97.0979,
769.5902,94.4444, ,
774.9259,100, ,
777.3112, ,97.3085,
777.8762,94.4444, ,
778.3784, ,97.5112,
780.5126, ,97.7062,
782.333,100, ,
782.6469, ,97.8932,
785.8483, ,98.0664,
785.9738,94.4444, ,
786.8527, ,98.2322,
788.9869, ,98.3906,
789.5519,100, ,
794.3226,94.4444,98.5416,
797.2101,100, ,
800.9765, ,98.6814,
802.6713,94.4444, ,
802.8596, ,98.8142,
804.4917, ,98.94,
804.7428,100, ,
806.626, ,99.0587,
807.6931, ,99.168,
809.2624, ,99.2706,
809.7646, ,99.3664,
811.1456,94.4444, ,
812.3383,100, ,
817.2345, ,99.4555,
819.5571,94.4444, ,
819.9337,100, ,
821.0009, ,99.5363,
823.0096,94.4444, ,
827.9058, ,99.6107,
829.5379, ,99.6786,
830.5423, ,99.74,
831.6094, ,99.794,
834.3086, ,99.8418,
835.7524,100, ,
836.7568,94.4444, ,
842.2807, ,99.8833,
843.9128, ,99.9184,
844.1639,100, ,
845.2938,94.4444, ,
852.3243,100, ,
852.4499, ,99.947,
854.0192, ,99.9694,
854.2075,94.4444, ,
855.5885, ,99.9857,
857.7228, ,99.9959,
860.5475,100, ,
862.9329,94.4444, ,
863.6234, ,100,
867.3269, ,99.9981,
868.3941, ,99.9903,
869.0218,100, ,
870.5283, ,99.9765,
871.9721,94.4444, ,
874.2319, ,99.957,
877.6216,100, ,
877.9983, ,99.9317,
881.0113,94.4444, ,
882.769, ,99.9006,
884.9032, ,99.8637,
886.347,100, ,
888.6696, ,99.8214,
889.9878,94.4444, ,
891.871, ,99.7734,
893.4403, ,99.7197,
895.0724,100, ,
896.0767, ,99.6605,
898.211, ,99.596,
899.2153,94.4444, ,
899.2781, ,99.526,
903.0445, ,99.4505,
903.9233,100,99.3695,
908.3173,94.4444, ,
911.0166, ,99.2835,
913.0881,100, ,
913.5275,94.4444, ,
914.218, ,99.1921,
916.7289, ,99.0954,
917.4194, ,98.9932,
917.796,88.8889, ,
918.4865, ,98.8863,
920.0558, ,98.7741,
920.6207, ,98.6566,
921.6879, ,98.534,
922.3156,94.4444, ,
923.8221, ,98.4067,
927.2119,88.8889, ,
927.5257, ,98.2742,
930.0366, ,98.1366,
931.6687,94.4444, ,
932.3592, ,97.994,
933.9285, ,97.8469,
936.7533,88.8889, ,
937.6321, ,97.6947,
941.2101,94.4444, ,
941.3984, ,97.5376,
943.3444, ,97.3756,
945.102, ,97.3658,
946.2947,88.8889, ,
948.3034, ,97.356,
950.7515,94.4444, ,
952.0697, ,97.3462,
952.5719, ,97.3364,
953.6391, ,97.3348,
955.7733, ,97.3332,
955.8361,88.8889, ,
956.6521, ,97.3316,
958.9747, ,97.33,
960.544,94.4444, ,
962.1761, ,97.329,
964.3104, ,97.3279,
965.5658,88.8889, ,
966.9468, ,97.3268,
970.2738,94.4444, ,
973.3496, ,97.3258,
975.5466,88.8889, ,
976.551, ,97.3247,
977.0532, ,97.3236,
978.1203, ,97.3225,
980.2546,94.4444,97.3215,
985.2764,88.8889, ,
987.7245, ,97.3204,
990.3609,94.4444, ,
991.4908, ,97.3193,
995.5711,88.8889, ,
996.2616, ,97.3182,
998.3958, ,97.3171,
1001.2206,94.4444, ,
1003.1665, ,97.3116,
1005.6146,88.8889, ,
1006.5562,83.3333, ,
1006.9329, ,97.3062,
1009.0671, ,97.3007,
1010.6364, ,97.2952,
1011.8291,88.8889, ,
1012.2685, ,97.2678,
1014.4028, ,97.2402,
1014.905, ,97.2124,
1015.8466,83.3333, ,
1016.8509, ,97.1846,
1018.1064, ,97.158,
1018.6085, ,97.1313,
1019.6757, ,97.1044,
1020.7428, ,97.0775,
1022.626,88.8889, ,
1022.8771, ,96.9409,
1026.1412,83.3333, ,
1031.4141, ,96.8014,
1033.5484, ,96.6589,
1033.6739,88.8889, ,
1036.5615,83.3333, ,
1038.884, ,96.5135,
1041.5205, ,96.2889,
1044.2197, ,96.0578,
1044.5963,88.8889, ,
1047.17,83.3333, ,
1050.0575, ,95.8201,
1051.6896, ,95.5759,
1054.891, ,95.3408,
1056.2092,88.8889, ,
1057.8413,83.3333, ,
1058.0924, ,95.1001,
1060.1639, ,94.8538,
1061.796, ,94.602,
1062.8631, ,94.3591,
1065.4996, ,94.1114,
1067.6966,88.8889, ,
1068.136,83.3333, ,
1070.333, ,93.8588,
1074.0366, ,93.6015,
1074.6016, ,93.3554,
1076.7358, ,93.1051,
1080.4394, ,92.8507,
1081.5065, ,92.5922,
1083.6408, ,92.3448,
1085.2101, ,92.0938,
1086.8422, ,91.8392,
1090.4202,77.7778, ,
1090.5458, ,91.5811,
1091.5501,83.3333, ,
1092.1779, ,91.3294,
1093.245, ,91.0745,
1096.4464, ,90.8164,
1099.0828, ,90.5552,
1100.3383,77.7778, ,
1101.3426,72.2222, ,
1102.7864, ,90.2894,
1103.9163,77.7778, ,
1104.9207, ,90.0206,
1108.1221, ,89.7486,
1110.8213, ,89.4735,
1112.6417,72.2222, ,
1115.592, ,89.1732,
1116.6591,77.7778, ,
1118.7934, ,88.8694,
1120.9276, ,88.5621,
1121.9948, ,88.2514,
1124.0035,72.2222, ,
1124.129, ,87.9357,
1125.1962, ,87.6165,
1126.2633, ,87.294,
1129.3391,77.7778, ,
1134.8003, ,86.9682,
1135.4281,72.2222, ,
1140.136, ,86.6323,
1142.5841,77.7778, ,
1142.7724, ,86.2929,
1145.4089, ,85.9502,
1146.9782,72.2222, ,
1149.1752, ,85.6043,
1151.8117, ,85.2418,
1152.3766, ,84.8759,
1155.8919,77.7778, ,
1156.0802, ,84.5066,
1158.5911,72.2222, ,
1159.2816, ,84.134,
1161.4159, ,83.7374,
1163.5501, ,83.3372,
1166.7515, ,82.9334,
1169.5763,77.7778, ,
1170.5179,72.2222, ,
1172.0872, ,82.5261,
1172.5894, ,82.087,
1175.7908, ,81.6441,
1180.0593, ,81.1973,
1181.6914, ,80.7469,
1182.4446,66.6667, ,
1183.449,72.2222, ,
1183.7629, ,80.2577,
1184.83, ,79.7643,
1185.8971, ,79.2669,
1186.9643, ,78.7656,
1188.0314, ,78.2222,
1190.7306, ,77.6745,
1193.367, ,77.1226,
1193.932, ,76.5667,
1194.748,66.6667, ,
1197.0078,61.1111, ,
1197.1334, ,75.9721,
1197.4473,66.6667, ,
1198.7027, ,75.3733,
1199.5815, ,74.7703,
1200.3348, ,74.1633,
1202.469, ,73.5275,
1205.6077, ,72.8876,
1206.8003,61.1111, ,
1208.3069, ,72.2439,
1210.4412, ,71.5965,
1212.0105, ,71.3191,
1212.5126,66.6667, ,
1215.2119, ,71.041,
1216.279, ,70.7624,
1219.1037,61.1111, ,
1220.0453, ,70.4831,
1222.1796, ,70.2032,
1225.8832, ,69.9228,
1227.4525,66.6667, ,
1228.5196, ,69.6418,
1231.8466,61.1111, ,
1232.286, ,69.3602,
1237.0567, ,68.8373,
1237.0567, ,68.3126,
1240.823, ,67.7862,
1242.3923, ,67.2581,
1243.1456,66.6667, ,
1244.5894,61.1111, ,
1246.0959, ,66.7097,
1251.9965, ,66.1597,
1253.0636, ,65.6082,
1254.1308, ,65.0553,
1256.265, ,64.4607,
1257.3322, ,63.8647,
1257.4577,55.5556, ,
1258.9643,61.1111, ,
1261.0357, ,63.2674,
1264.8021, ,62.6689,
1265.8065, ,62.0262,
1267.9407, ,61.3823,
1270.6399,55.5556, ,
1271.7071, ,60.7374,
1272.7742, ,60.0915,
1273.2764, ,59.3998,
1275.2223,61.1111, ,
1275.4106, ,58.7074,
1277.5449, ,58.0143,
1278.612, ,57.3208,
1281.3112, ,56.5852,
1283.7594,55.5556, ,
1284.2616, ,55.8495,
1286.5841, ,55.1136,
1291.4176, ,54.3779,
1291.7315,61.1111, ,
1294.6818,55.5556, ,
1295.1212, ,53.6119,
1297.0044,50, ,
1297.8204, ,52.8462,
1301.0218, ,52.0813,
1302.0889, ,51.3171,
1304.2232, ,50.5401,
1308.8056,55.5556, ,
1308.9939, ,49.7643,
1310.7515,50, ,
1312.6975, ,48.9899,
1314.3296, ,48.217,
1316.2755, ,47.4473,
1321.6739, ,46.6795,
1323.3688, ,45.9137,
1324.2476,44.4444, ,
1324.4359, ,45.1502,
1326.3819,50, ,
1326.5702, ,44.3991,
1329.2066, ,43.6505,
1331.9058, ,42.9045,
1333.4752, ,42.1612,
1337.2415, ,41.4335,
1338.0575,44.4444, ,
1339.3758, ,40.7087,
1340.4429, ,39.9869,
1343.0793, ,39.2683,
1344.3348,50, ,
1346.2807, ,38.5648,
1347.9128, ,37.8645,
1349.4821, ,37.1677,
1352.1186, ,36.4745,
1352.4952,44.4444, ,
1353.1857, ,35.7945,
1353.7507, ,35.1181,
1355.32, ,34.4456,
1359.5885, ,33.777,
1362.2877, ,33.1198,
1362.7271,50, ,
1363.3548, ,32.4666,
1364.9241, ,31.8175,
1365.4891, ,31.1726,
1366.1796,44.4444, ,
1368.1255, ,30.5372,
1375.0305, ,29.9062,
1376.0976, ,29.2796,
1378.7969, ,28.6575,
1379.864, ,28.0431,
1380.5545,38.8889, ,
1380.9311, ,27.4334,
1381.6216,44.4444, ,
1384.1325, ,26.8284,
1387.3339, ,26.2282,
1391.0375, ,25.634,
1394.7411, ,25.0447,
1395.1177,38.8889, ,
1395.8082, ,24.4605,
1396.6242,33.3333, ,
1396.8753, ,23.8815,
1398.5074, ,23.3066,
1400.4534,38.8889, ,
1401.7088, ,22.7369,
1404.9102, ,22.1727,
1407.5466, ,21.614,
1409.1787,33.3333, ,
1409.6809, ,21.0574,
1411.8152, ,20.5065,
1419.3479,38.8889, ,
1420.8544, ,20.1326,
1423.8047,33.3333, ,
1424.9974, ,19.7591,
1428.3243, ,19.3885,
1433.66, ,19.0211,
1438.9956, ,18.6567,
1445.3984, ,18.2982,
1452.8056, ,17.9427,
1453.0567,27.7778, ,
1456.007, ,17.5904,
1457.0741, ,17.6073,
1457.1369,33.3333, ,
1460.8405, ,17.0853,
1462.9747, ,16.5699,
1465.6112, ,16.061,
1467.6827,27.7778, ,
1468.8126, ,15.9465,
1470.4446, ,15.8323,
1471.5118, ,15.7184,
1476.0314,33.3333, ,
1478.9189, ,15.605,
1480.551, ,15.4918,
1482.5597,27.7778, ,
1483.7524, ,15.379,
1489.9041, ,15.2665,
1491.7245, ,15.1544,
1494.9259,33.3333, ,
1497.1857,27.7778, ,
1499.6966, ,15.0223,
1501.2031,22.2222, ,
1501.8309, ,14.8906,
1502.3958, ,14.7595,
1503.9651, ,14.6288,
1507.7315, ,14.1533,
1511.435, ,13.6846,
1512.1255,16.6667, ,
1513.0671,22.2222, ,
1515.1386, ,13.2226,
1521.0392, ,12.7675,
1521.5414, ,12.3264,
1523.1735, ,11.892,
1524.7428, ,11.4644,
1526.8771,16.6667, ,
1527.9442, ,11.0437,
1532.2755,22.2222, ,
1533.2799, ,10.6275,
1535.4141, ,10.2185,
1536.9834, ,9.8166,
1540.1848, ,9.4218,
1541.5658,16.6667, ,
1545.5205, ,9.0297,
1546.3365, ,8.645,
1547.6548, ,8.2679,
1550.354, ,7.8985,
1550.6678,22.2222, ,
1553.5554, ,7.5297,
1556.3801,16.6667, ,
1560.9625, ,7.1691,
1562.5946, ,6.8165,
1563.0968, ,6.4721,
1568.6207,22.2222, ,
1570.5667, ,6.1268,
1571.1316,16.6667, ,
1572.701, ,5.7903,
1577.4717, ,5.4626,
1578.0366, ,5.1438,
1581.7402, ,4.8371,
1584.4394, ,4.5393,
1586.0087, ,4.2504,
1587.6408, ,3.9704,
1588.7079, ,3.7191,
1592.4115, ,3.4755,
1594.0436, ,3.2398,
1597.7472, ,3.012,
1600.1953,11.1111, ,
1601.4507, ,2.8036,
1602.204,16.6667, ,
1604.15, ,2.6024,
1607.728, ,2.4084,
1608.0418,11.1111, ,
1611.0549, ,2.2216,
1614.5702,5.5556, ,
1614.8213, ,2.0491,
1618.0854,11.1111, ,
1618.5248, ,1.8834,
1619.592, ,1.7244,
1622.2284, ,1.5722,
1625.4298, ,1.4314,
1627.0619, ,1.2971,
1628.8823,5.5556, ,
1629.1962, ,1.1692,
1630.2633, ,1.0477,
1632.8997, ,0.9358,
1633.4647, ,0.8301,
1633.5275,11.1111, ,
