Time (min),CLK_ANIMO,CLK_ODE,
834.3086, ,91.2987,
842.2807, ,91.6126,
843.9128, ,91.9211,
852.4499, ,92.2205,
854.0192, ,92.5145,
855.5885, ,92.8033,
857.7228, ,93.0868,
863.6234, ,93.3619,
867.3269, ,93.6317,
868.3941, ,93.8962,
870.5283, ,94.1554,
874.2319, ,94.4069,
877.9983, ,94.6531,
882.769, ,94.894,
884.9032, ,95.1296,
888.6696, ,95.3581,
891.871, ,95.5812,
893.4403, ,95.7991,
896.0767, ,96.0115,
898.211, ,96.2173,
899.2781, ,96.4178,
903.0445, ,96.613,
903.9233, ,96.8028,
911.0166, ,96.9862,
914.218, ,97.1643,
916.7289, ,97.3371,
917.4194, ,97.5045,
918.4865, ,97.6658,
920.0558, ,97.8218,
920.6207, ,97.9725,
921.6879, ,98.1178,
923.8221, ,98.2572,
927.5257, ,98.3912,
930.0366, ,98.5199,
932.3592, ,98.6433,
933.9285, ,98.7609,
937.6321, ,98.8732,
941.3984, ,98.9802,
943.3444, ,99.0819,
945.102, ,99.0877,
948.3034, ,99.0936,
952.0697, ,99.0994,
952.5719, ,99.1052,
953.6391, ,99.1061,
955.7733, ,99.1071,
956.6521, ,99.108,
958.9747, ,99.109,
962.1761, ,99.1096,
964.3104, ,99.1102,
966.9468, ,99.1108,
973.3496, ,99.1115,
976.551, ,99.1121,
977.0532, ,99.1127,
978.1203, ,99.1134,
980.2546, ,99.114,
987.7245, ,99.1146,
991.4908, ,99.1153,
996.2616, ,99.1159,
998.3958, ,99.1165,
1003.1665, ,99.1197,
1006.9329, ,99.1229,
1009.0671, ,99.1261,
1010.6364, ,99.1292,
1012.2685, ,99.145,
1014.4028, ,99.1606,
1014.905, ,99.1761,
1016.8509, ,99.1914,
1018.1064, ,99.2058,
1018.6085, ,99.2201,
1019.6757, ,99.2343,
1020.7428, ,99.2484,
1022.8771, ,99.3166,
1031.4141, ,99.3816,
1033.5484, ,99.4434,
1038.884, ,99.5019,
1041.5205, ,99.584,
1044.2197, ,99.6587,
1050.0575, ,99.726,
1051.6896, ,99.7859,
1054.891, ,99.8354,
1058.0924, ,99.8784,
1060.1639, ,99.915,
1061.796, ,99.945,
1062.8631, ,99.9674,
1065.4996, ,99.9841,
1070.333, ,99.9949,
1074.0366, ,100,
1074.6016, ,99.9995,
1076.7358, ,99.994,
1080.4394, ,99.9834,
1081.5065, ,99.9677,
1083.6408, ,99.9482,
1085.2101, ,99.9243,
1086.8422, ,99.8959,
1090.5458, ,99.8631,
1092.1779, ,99.8272,
1093.245, ,99.7873,
1096.4464, ,99.7432,
1099.0828, ,99.695,
1102.7864, ,99.6424,
1104.9207, ,99.5857,
1108.1221, ,99.5249,
1110.8213, ,99.46,
1115.592, ,99.3853,
1118.7934, ,99.3058,
1120.9276, ,99.2216,
1121.9948, ,99.1327,
1124.129, ,99.0386,
1124.8823,90, ,
1125.1962, ,98.9397,
1126.2633, ,98.8361,
1127.8326,90, ,
1134.8003, ,98.7278,
1139.6966,90, ,
1140.136, ,98.6124,
1142.5841,90, ,
1142.7724, ,98.4921,
1145.4089, ,98.3669,
1145.5344,90, ,
1148.2964,80, ,
1148.7358,90, ,
1149.1752, ,98.237,
1151.3723,80, ,
1151.8117,90,98.097,
1152.3766, ,97.9519,
1154.2598,80, ,
1154.6364,90, ,
1156.0802, ,97.8016,
1157.2729,80, ,
1157.6495,90, ,
1159.2816, ,97.6462,
1160.0349,80, ,
1160.4115,90, ,
1161.4159, ,97.4768,
1163.048,80, ,
1163.4874,90, ,
1163.5501, ,97.3018,
1165.9983,80, ,
1166.4377,90, ,
1166.7515, ,97.1212,
1168.6347,80, ,
1169.7646,90, ,
1171.8361,80, ,
1172.0872, ,96.9351,
1172.5894, ,96.73,
1172.6521,90, ,
1174.6609,80, ,
1175.6652,90, ,
1175.7908, ,96.5186,
