Time (min),CWO_ANIMO,CWO_ODE,
428.8614, ,68.5396,
429.238,94.2029, ,
430.6818,92.7536, ,
431.5606, ,69.3486,
432.1255,94.2029, ,
434.8875, ,70.1518,
437.3984, ,70.9492,
437.8378,95.6522, ,
438.34,94.2029, ,
438.4656, ,71.7834,
440.7254,95.6522, ,
442.1691, ,72.6104,
442.3575,94.2029, ,
442.7341, ,73.4297,
443.6757,95.6522, ,
445.5588, ,74.2411,
446.1866,95.6522, ,
449.5763,97.1014, ,
449.8901,95.6522, ,
450.204, ,75.1062,
452.5266,97.1014, ,
452.8405, ,75.9614,
453.9076,95.6522, ,
455.4769,97.1014, ,
457.6112,95.6522, ,
458.49,97.1014, ,
460.3104, ,76.8061,
464.7672,98.5507, ,
465.2066,97.1014, ,
467.8431,98.5507, ,
469.0357,97.1014, ,
470.9817, ,77.6401,
471.1072,98.5507, ,
472.7393,97.1014, ,
474.1831,98.5507, ,
476.5684,97.1014, ,
477.51,98.5507, ,
478.075, ,78.5732,
479.456, ,79.4913,
480.3348,97.1014, ,
480.5231, ,80.394,
480.7742,98.5507, ,
484.2895, ,81.2808,
487.7419, ,82.2158,
490.1273, ,83.1313,
491.0061,100, ,
491.3827,98.5507, ,
492.2616, ,84.0265,
493.8936, ,84.901,
494.5214,100, ,
494.9608,98.5507, ,
495.4629, ,84.989,
498.1622,100, ,
498.6016,98.5507, ,
498.7271, ,85.0767,
500.7986, ,85.1643,
501.9285,100, ,
502.3679,98.5507, ,
505.6949,100, ,
506.1343,98.5507, ,
509.4612,100, ,
509.9006,98.5507, ,
513.0392, ,85.2516,
513.5414,100, ,
513.9808,98.5507, ,
516.8056, ,85.3386,
517.8727, ,85.4255,
520.4464, ,85.5121,
521.5763, ,85.5985,
522.6434, ,86.0272,
524.7777, ,86.4501,
525.3426,97.1014, ,
526.4098,98.5507, ,
527.4141, ,86.8673,
529.109,97.1014, ,
531.1177,98.5507, ,
532.8753,97.1014, ,
534.3819, ,87.2786,
535.9512, ,87.3128,
536.0767,98.5507, ,
536.5161,97.1014, ,
538.0854, ,87.347,
539.1526, ,87.3811,
540.2197, ,87.4152,
540.408,95.6522, ,
540.9102,97.1014, ,
541.4124, ,87.4219,
544.0488,95.6522, ,
546.5597,97.1014, ,
548.0663,95.6522, ,
549.2589, ,87.4286,
551.8954,94.2029, ,
552.3348,95.6522, ,
553.0253, ,87.4353,
554.0924, ,87.442,
555.85,94.2029, ,
557.796, ,87.4424,
559.3025,94.2029, ,
561.4996, ,87.4429,
562.0017, ,87.4433,
562.0645, ,87.4438,
562.5667, ,87.4441,
563.6338,92.7536, ,
564.701, ,87.4445,
565.7681, ,87.4449,
566.898,94.2029, ,
567.3374,92.7536, ,
567.9024, ,87.4452,
571.6059,91.3043, ,
574.3051, ,87.4456,
575.3723, ,87.4459,
578.0715, ,87.4463,
579.578,89.8551, ,
582.5911, ,87.4466,
583.8466,88.4058, ,
588.0523,86.9565, ,
588.68, ,87.4484,
588.9939,88.4058, ,
591.3793, ,87.4502,
591.8814, ,87.4519,
592.1953,86.9565, ,
596.401,85.5072, ,
598.2842, ,87.4537,
600.8579,84.058, ,
605.1264,82.6087, ,
607.3235, ,87.4625,
609.646,81.1594, ,
612.6591, ,87.4713,
614.1656,79.7101, ,
615.4839, ,87.4802,
618.5597, ,87.489,
618.8108,78.2609, ,
623.456,76.8116, ,
625.4647, ,87.533,
627.599, ,87.577,
628.1639,75.3623, ,
628.9172, ,87.6209,
629.7332, ,87.6648,
632.9346, ,87.8829,
632.9974,73.913, ,
638.1447,72.4638, ,
638.7724, ,88.0993,
640.6556, ,88.3139,
642.5388, ,88.5268,
643.1037,71.0145, ,
644.1081, ,88.9091,
645.6774, ,89.2854,
648.3139,69.5652, ,
649.4438, ,89.6557,
649.9459, ,90.02,
653.1473, ,90.3897,
653.4612,68.1159, ,
656.3487, ,90.7528,
658.7969,66.6667, ,
660.1151, ,91.1093,
661.6844, ,91.4591,
664.1953,65.2174, ,
665.1369, ,91.8306,
669.6565, ,92.1942,
669.7193,63.7681, ,
670.7236, ,92.5498,
671.2886, ,92.8973,
673.4228, ,93.2684,
675.4943,62.3188, ,
681.2694,60.8696, ,
682.4621, ,93.6298,
683.5292, ,93.9814,
687.2328,59.4203, ,
690.4342, ,94.3232,
693.3217,57.971, ,
693.6356, ,94.6939,
695.2677, ,95.0522,
697.4019, ,95.398,
697.9041, ,95.7313,
699.4106,56.5217, ,
705.7507,55.0725, ,
706.9433, ,96.1036,
708.5754, ,96.4589,
712.279,53.6232, ,
718.9329,52.1739, ,
719.2467, ,96.7971,
719.7489, ,97.1181,
721.8832, ,97.503,
722.6364, ,97.86,
723.5153, ,98.189,
724.5824, ,98.4902,
725.5867,50.7246, ,
727.2188, ,98.7628,
729.8553, ,99.0079,
731.4874, ,99.2255,
732.68,49.2754, ,
735.7559, ,99.4158,
738.3923, ,99.5788,
739.2084, ,99.7149,
739.9616,47.8261, ,
742.1587, ,99.8244,
745.3601, ,99.9073,
747.306,46.3768, ,
747.9965, ,99.9551,
751.1979, ,99.986,
753.3322, ,100,
754.7759,44.9275, ,
755.4664, ,99.9974,
755.4664, ,99.9815,
757.0357, ,99.953,
760.8021, ,99.912,
762.5597,43.4783, ,
763.4385, ,99.8587,
765.5728, ,99.7979,
765.5728, ,99.7265,
767.2049, ,99.6447,
769.2764, ,99.5525,
770.6574,42.029, ,
777.3112, ,99.4549,
778.3784, ,99.3481,
778.9433,40.5797, ,
780.5126, ,99.2322,
782.6469, ,99.1072,
785.8483, ,98.9781,
786.8527, ,98.8407,
787.4176,39.1304, ,
788.9869, ,98.6951,
794.3226, ,98.5415,
796.143,37.6812, ,
800.9765, ,98.3845,
802.8596, ,98.22,
804.4917, ,98.0481,
805.245,36.2319, ,
806.626, ,97.869,
807.6931, ,97.6868,
809.2624, ,97.498,
809.7646, ,97.3024,
814.7864,34.7826, ,
817.2345, ,97.1002,
821.0009, ,96.8953,
824.5161,33.3333, ,
827.9058, ,96.6843,
829.5379, ,96.4672,
830.5423, ,96.244,
831.6094, ,96.0184,
834.3086, ,95.7871,
834.4969,31.8841, ,
842.2807, ,95.5502,
843.9128, ,95.3077,
845.1055,30.4348, ,
852.4499, ,95.063,
854.0192, ,94.8131,
855.5885, ,94.558,
855.9651,28.9855, ,
857.7228, ,94.2979,
863.6234, ,94.0356,
867.2642,27.5362, ,
867.3269, ,93.7685,
868.3941, ,93.4967,
870.5283, ,93.2202,
874.2319, ,92.9416,
877.9983, ,92.6587,
879.1909,26.087, ,
882.769, ,92.3714,
884.9032, ,92.0797,
888.6696, ,91.7862,
891.5571,24.6377, ,
891.871, ,91.4886,
893.4403, ,91.1869,
896.0767, ,90.8813,
898.211, ,90.5739,
899.2781, ,90.2627,
903.0445, ,89.9478,
903.9233, ,89.6293,
904.4882,23.1884, ,
911.0166, ,89.309,
914.218, ,88.9853,
916.7289, ,88.6582,
917.4194, ,88.3278,
918.0471,21.7391, ,
918.4865, ,87.9958,
920.0558, ,87.6606,
920.6207, ,87.3223,
921.6879, ,86.9809,
923.8221, ,86.6381,
927.5257, ,86.2923,
930.0366, ,85.9438,
932.3592, ,85.5925,
932.4847,20.2899, ,
933.9285, ,85.2398,
937.6321, ,84.8846,
941.3984, ,84.5267,
943.3444, ,84.1664,
945.102, ,84.145,
947.5501,18.8406, ,
948.3034, ,84.1235,
952.0697, ,84.1021,
952.5719, ,84.0807,
953.6391, ,84.0772,
955.7733, ,84.0737,
956.6521, ,84.0702,
958.9747, ,84.0667,
962.1761, ,84.0643,
963.6827,17.3913, ,
964.3104, ,84.062,
966.9468, ,84.0597,
973.3496, ,84.0573,
976.551, ,84.055,
977.0532, ,84.0527,
978.1203, ,84.0503,
980.2546, ,84.048,
980.6312,15.942, ,
987.7245, ,84.0456,
991.4908, ,84.0432,
996.2616, ,84.0409,
998.3958, ,84.0385,
998.8352,14.4928, ,
1003.1665, ,84.0266,
1006.9329, ,84.0147,
1009.0671, ,84.0028,
1010.6364, ,83.9909,
1012.2685, ,83.9313,
1014.4028, ,83.8716,
1014.905, ,83.8119,
1016.8509, ,83.7521,
1018.1064, ,83.6953,
1018.4202,13.0435, ,
1018.6085, ,83.6383,
1019.6757, ,83.5814,
1020.7428, ,83.5243,
1022.8771, ,83.2383,
1031.4141, ,82.9508,
1033.5484, ,82.662,
1038.884, ,82.3719,
1039.2607,11.5942, ,
1041.5205, ,81.9321,
1044.2197, ,81.4894,
1050.0575, ,81.0439,
1051.6896, ,80.5957,
1054.891, ,80.1725,
1058.0924, ,79.747,
1060.1639, ,79.3194,
1061.796, ,78.8896,
1061.9215,10.1449, ,
1062.8631, ,78.4819,
1065.4996, ,78.0723,
1070.333, ,77.6611,
1074.0366, ,77.2482,
1074.6016, ,76.8589,
1076.7358, ,76.4683,
1080.4394, ,76.0763,
1081.5065, ,75.6831,
1083.6408, ,75.3112,
1085.2101, ,74.9383,
1086.7794,8.6957, ,
1086.8422, ,74.5644,
1090.5458, ,74.1895,
1092.1779, ,73.8278,
1093.245, ,73.4654,
1096.4464, ,73.1021,
1099.0828, ,72.7381,
1102.7864, ,72.3715,
1104.9207, ,72.0042,
1108.1221, ,71.6362,
1110.8213, ,71.2676,
1114.0227,7.2464, ,
1115.592, ,70.8692,
1118.7934, ,70.47,
1120.9276, ,70.0703,
1121.9948, ,69.67,
1124.129, ,69.2671,
1125.1962, ,68.8638,
1126.2633, ,68.46,
1134.8003, ,68.0557,
1140.136, ,67.6428,
1142.7724, ,67.2295,
1144.3418,5.7971, ,
1145.4089, ,66.8158,
1149.1752, ,66.4019,
1151.8117, ,65.9722,
1152.3766, ,65.5423,
1156.0802, ,65.1122,
1159.2816, ,64.682,
1161.4159, ,64.2282,
1163.5501, ,63.7744,
1166.7515, ,63.3206,
1172.0872, ,62.8669,
1172.5894, ,62.382,
1175.7908, ,61.8974,
1178.3644,4.3478, ,
1180.0593, ,61.4129,
1181.6914, ,60.9288,
1183.7629, ,60.4077,
1184.83, ,59.887,
1185.8971, ,59.3669,
1186.9643, ,58.8473,
1188.0314, ,58.2892,
1190.7306, ,57.732,
1193.367, ,57.1756,
1193.932, ,56.6201,
1197.1334, ,56.0316,
1198.7027, ,55.4442,
1199.5815, ,54.8581,
1200.3348, ,54.2734,
1202.469, ,53.6663,
1205.6077, ,53.0609,
1208.3069, ,52.4571,
1210.4412, ,51.8551,
1212.0105, ,51.5987,
1215.2119, ,51.3427,
1216.279, ,51.087,
1217.2833,2.8986, ,
1220.0453, ,50.8316,
1222.1796, ,50.5766,
1225.8832, ,50.322,
1228.5196, ,50.0677,
1232.286, ,49.8138,
1237.0567, ,49.3445,
1237.0567, ,48.8765,
1240.823, ,48.4098,
1242.3923, ,47.9445,
1246.0959, ,47.4641,
1251.9965, ,46.9852,
1253.0636, ,46.5079,
1254.1308, ,46.0321,
1256.265, ,45.5235,
1257.3322, ,45.0168,
1261.0357, ,44.512,
1262.7306,1.4493, ,
1264.8021, ,44.0092,
1265.8065, ,43.4723,
1267.9407, ,42.9378,
1271.7071, ,42.4055,
1272.7742, ,41.8756,
1273.2764, ,41.3115,
1275.4106, ,40.75,
1277.5449, ,40.1914,
1278.612, ,39.6356,
1281.3112, ,39.0495,
1284.2616, ,38.4666,
1286.5841, ,37.887,
1291.4176, ,37.3107,
1295.1212, ,36.7139,
1297.8204, ,36.1208,
1301.0218, ,35.5314,
1302.0889, ,34.9457,
1304.2232, ,34.3532,
1308.9939, ,33.7646,
1312.6975, ,33.18,
1314.3296, ,32.5994,
1316.2755, ,32.0239,
1317.2171,0, ,
1321.6739, ,31.4524,
1323.3688, ,30.885,
1324.4359, ,30.3216,
1326.5702, ,29.7698,
1329.2066, ,29.222,
1331.9058, ,28.6783,
1333.4752, ,28.1386,
1337.2415, ,27.6122,
1339.3758, ,27.0897,
1340.4429, ,26.5712,
1343.0793, ,26.0568,
1346.2807, ,25.5546,
1347.9128, ,25.0564,
1349.4821, ,24.5622,
1352.1186, ,24.0719,
1353.1857, ,23.5923,
1353.7507, ,23.1166,
1355.32, ,22.6448,
1356.5126,1.4493, ,
1359.5885, ,22.177,
1362.2877, ,21.7182,
1363.3548, ,21.2633,
1364.9241, ,20.8123,
1365.4891, ,20.3652,
1368.1255, ,19.9256,
1371.8291,0, ,
1375.0305, ,19.4899,
1376.0976, ,19.0581,
1378.7969, ,18.6302,
1379.864, ,18.2084,
1380.9311, ,17.7905,
1384.1325, ,17.3765,
1385.7646,1.4493, ,
1387.3339, ,16.9665,
1391.0375, ,16.5612,
1394.7411, ,16.1599,
1395.8082, ,15.7626,
1396.8753, ,15.3693,
1398.5074, ,14.9794,
1401.7088, ,14.5935,
1404.9102, ,14.2117,
1407.5466, ,13.8341,
1408.4882,2.8986, ,
1409.6809, ,13.4584,
1411.8152, ,13.0869,
1417.2764,1.4493, ,
1420.8544, ,12.875,
1427.32,2.8986, ,
1428.3243, ,12.4434,
1437.3636, ,12.0198,
1443.5153,4.3478, ,
1445.3984, ,11.6044,
1454.9398, ,11.165,
1455.9442,2.8986, ,
1456.9486,4.3478, ,
1457.0741, ,11.1377,
1460.8405, ,10.7878,
1462.9747, ,10.4425,
1465.6112, ,10.1019,
1468.8126, ,10.0253,
1469.3147,5.7971, ,
1470.4446, ,9.9489,
1471.5118, ,9.8727,
1478.9189, ,9.7969,
1480.0488,7.2464, ,
1480.551, ,9.7212,
1483.7524, ,9.6458,
1486.3888,5.7971, ,
1489.9041, ,9.5706,
1490.6574,7.2464, ,
1491.7245, ,9.4957,
1499.6966, ,9.4074,
1500.136,8.6957, ,
1501.8309, ,9.3194,
1502.3958, ,9.2318,
1503.9651, ,9.1446,
1507.7315, ,8.8272,
1509.238,10.1449, ,
1511.184,8.6957, ,
1511.435, ,8.5145,
1515.1386, ,8.2066,
1517.5867,10.1449, ,
1521.0392, ,7.9034,
1521.5414, ,7.6097,
