Time (min),CRY_ANIMO,CRY_ODE,
1697.367, ,79.1856,
1698.4342,12.766, ,
1698.9991, ,78.851,
1700.5684, ,78.5143,
1702.1378, ,78.1755,
1704.837, ,77.8385,
1706.5946,11.7021, ,
1710.1726, ,77.4994,
1712.3069, ,77.1584,
1715.5083, ,76.8153,
1716.0105,10.6383,76.4737,
1719.7768, ,76.1302,
1722.9154, ,75.7848,
1723.857, ,75.4374,
1726.1168,9.5745, ,
1726.6818, ,75.0912,
1730.3854, ,74.7432,
1734.1517, ,74.3933,
1736.7881, ,74.0417,
1737.667,8.5106, ,
1737.8553, ,73.6907,
1739.9895, ,73.338,
1741.3078, ,72.9835,
1744.7602, ,72.6274,
1746.3923, ,72.2713,
1749.5937, ,71.9136,
1750.1587,7.4468, ,
1752.2302, ,71.5542,
1757.0636, ,71.1932,
1758.1308, ,70.8315,
1758.633, ,70.4682,
1761.3322, ,70.1032,
1763.4664, ,69.7368,
1763.7175,6.383, ,
1767.17, ,69.3683,
1776.7742, ,68.9983,
1779.4106, ,68.6268,
1780.0384,5.3191, ,
1782.612, ,68.2538,
1784.2441, ,67.8768,
1784.7463, ,67.4984,
1786.8806, ,67.1184,
1790.082, ,66.737,
1793.2833, ,66.3484,
1796.4847, ,65.9583,
1799.2467,4.2553, ,
1799.435,4.2553, ,
1799.6861, ,65.5667,
