Time (min),CRY_ANIMO,CRY_ODE,
375.5676, ,26.2268,
376.6975,10.6383, ,
383.6024, ,25.745,
384.1046, ,25.2504,
386.8038,9.5745,24.7557,
394.2738, ,24.2609,
398.4795, ,23.7661,
398.7306,8.5106, ,
405.4473, ,23.2565,
407.0166, ,22.7468,
410.7829, ,22.2371,
410.9712,7.4468, ,
413.9843, ,21.7273,
415.5536, ,21.1998,
416.0558, ,20.6724,
424.9067,6.383, ,
425.1578, ,20.1449,
427.7942, ,19.6175,
428.8614, ,19.0677,
431.5606, ,18.518,
434.8875, ,17.9685,
437.3984, ,17.419,
438.4656, ,16.8395,
441.667,5.3191, ,
442.1691, ,16.2602,
442.7341, ,15.681,
445.5588, ,15.1021,
450.204, ,14.4784,
452.8405, ,13.8549,
460.0593,4.2553, ,
460.3104, ,13.2317,
470.9817, ,12.6088,
478.075, ,11.9022,
479.456, ,11.1961,
480.5231, ,10.4904,
482.2807,3.1915, ,
484.2895, ,9.7853,
487.7419, ,9.0277,
490.1273, ,8.2708,
492.2616, ,7.5146,
493.8936, ,6.7591,
495.4629, ,6.6821,
498.7271, ,6.6052,
500.7986, ,6.5282,
511.3444,2.1277, ,
513.0392, ,6.4513,
516.8056, ,6.3743,
517.8727, ,6.2974,
520.4464, ,6.2205,
521.5763, ,6.1435,
522.6434, ,5.7591,
524.7777, ,5.3748,
527.4141, ,4.9908,
534.3819, ,4.607,
535.9512, ,4.5748,
538.0854, ,4.5427,
539.1526, ,4.5105,
540.2197, ,4.4784,
541.4124, ,4.472,
549.2589, ,4.4657,
549.6356,1.0638, ,
553.0253, ,4.4594,
554.0924, ,4.4531,
557.796, ,4.4526,
561.4996, ,4.4522,
562.0017, ,4.4518,
562.0645, ,4.4513,
562.5667, ,4.451,
564.701, ,4.4507,
565.7681, ,4.4504,
567.9024, ,4.4502,
574.3051, ,4.4499,
575.3723, ,4.4497,
578.0715, ,4.4494,
582.5911, ,4.4491,
588.68, ,4.4479,
591.3793, ,4.4466,
591.8814, ,4.4454,
598.2842, ,4.4441,
604.7498,0, ,
607.3235, ,4.4379,
608.3906,1.0638, ,
611.9686,2.1277, ,
612.6591, ,4.4316,
614.4167,3.1915, ,
615.4839, ,4.4254,
616.6138,4.2553, ,
618.4969,5.3191, ,
618.5597, ,4.4191,
621.5728,6.383, ,
623.2049,7.4468, ,
624.5859,8.5106, ,
625.4647, ,4.3879,
625.9041,9.5745, ,
627.1595,10.6383, ,
627.599, ,4.3569,
628.415,11.7021, ,
628.8544,10.6383, ,
628.9172, ,4.3259,
629.231,11.7021, ,
629.7332, ,4.2951,
630.4865,12.766, ,
631.5536,13.8298, ,
631.993,14.8936, ,
632.9346, ,4.1428,
633.2485,15.9574, ,
634.3156,17.0213, ,
634.755,18.0851, ,
636.701,19.1489, ,
637.0776,20.2128, ,
638.3958,21.2766, ,
638.7724,22.3404,3.9935,
639.9024,23.4043, ,
640.6556, ,3.8473,
641.2833,24.4681, ,
641.7228,25.5319, ,
642.5388, ,3.7039,
642.7899,26.5957, ,
643.2293,27.6596, ,
643.6687,28.7234, ,
644.1081, ,3.451,
645.4263,29.7872, ,
645.6774, ,3.2077,
645.803,30.8511, ,
646.2424,31.9149, ,
647.1212,32.9787, ,
647.5606,34.0426, ,
647.8745,32.9787, ,
648.3139,34.0426, ,
648.7533,35.1064, ,
649.4438, ,2.974,
649.7576,36.1702, ,
649.9459, ,2.7499,
650.197,37.234, ,
651.5153,38.2979, ,
651.9547,39.3617, ,
652.3941,40.4255, ,
652.8335,41.4894, ,
653.1473, ,2.5283,
654.4028,42.5532, ,
654.8422,43.617, ,
655.2816,44.6809, ,
655.721,45.7447, ,
656.0976,44.6809, ,
656.3487, ,2.3167,
656.5998,45.7447, ,
657.0392,46.8085, ,
657.4786,47.8723, ,
658.9224,48.9362, ,
659.3618,50, ,
659.7384,51.0638, ,
660.1151, ,2.115,
