Time (min),TIM_ANIMO,TIM_ODE,
647.8745,30, ,
649.4438, ,95.8186,
649.9459, ,95.6267,
651.7663,20, ,
653.1473, ,95.422,
655.1561,10, ,
656.3487, ,95.2108,
658.1691,0, ,
660.1151, ,94.9929,
661.6844, ,94.7685,
665.1369, ,94.518,
669.6565, ,94.2598,
670.7236, ,93.9941,
671.2886, ,93.7209,
673.4228, ,93.4133,
682.4621, ,93.0969,
683.5292, ,92.7717,
690.4342, ,92.4379,
693.6356, ,92.0542,
695.2677, ,91.6599,
697.4019, ,91.2552,
697.9041, ,90.8402,
706.9433, ,90.3443,
708.5754, ,89.8349,
719.2467, ,89.3124,
719.7489, ,88.7769,
721.8832, ,88.0752,
722.6364, ,87.3535,
723.5153, ,86.6125,
724.5824, ,85.8527,
727.2188, ,85.0772,
729.8553, ,84.2844,
731.4874, ,83.4749,
735.7559, ,82.6493,
738.3923, ,81.8093,
739.2084, ,80.9546,
742.1587, ,80.0857,
745.3601, ,79.2034,
747.9965, ,78.482,
751.1979, ,77.7526,
753.3322, ,77.0156,
755.4664, ,76.2711,
755.4664, ,75.6121,
757.0357, ,74.948,
760.8021, ,74.2788,
763.4385, ,73.6049,
765.5728, ,72.972,
765.5728, ,72.3353,
767.2049, ,71.695,
769.2764, ,71.0513,
777.3112, ,70.4339,
778.3784, ,69.8137,
780.5126, ,69.1909,
782.6469, ,68.5655,
785.8483, ,67.9594,
786.8527, ,67.3513,
788.9869, ,66.7412,
794.3226, ,66.1293,
800.9765, ,65.5324,
802.8596, ,64.934,
804.4917, ,64.3343,
806.626, ,63.7333,
807.6931, ,63.1444,
809.2624, ,62.5546,
809.7646, ,61.9639,
817.2345, ,61.3723,
821.0009, ,60.7909,
827.9058, ,60.2089,
829.5379, ,59.6264,
830.5423, ,59.0435,
831.6094, ,58.4692,
834.3086, ,57.8947,
842.2807, ,57.32,
843.9128, ,56.7453,
852.4499, ,56.1779,
854.0192, ,55.6107,
855.5885, ,55.0436,
857.7228, ,54.4768,
863.6234, ,53.9164,
867.3269, ,53.3564,
868.3941, ,52.7969,
870.5283, ,52.2379,
874.2319, ,51.6845,
877.9983, ,51.1319,
882.769, ,50.5799,
884.9032, ,50.0287,
888.6696, ,49.4826,
891.871, ,48.9374,
893.4403, ,48.3931,
896.0767, ,47.8498,
898.211, ,47.3111,
899.2781, ,46.7735,
903.0445, ,46.2371,
903.9233, ,45.7018,
