Time (min),cwo_ANIMO,cwo_ODE,
269.6077, ,95.1439,
269.796,91.6667, ,
271.6792, ,95.4618,
271.7419,92.8571, ,
273.4368,91.6667, ,
273.8762,92.8571, ,
276.0105,92.8571, ,
276.5126,92.8571, ,
278.5841,92.8571, ,
279.0235,94.0476, ,
280.2162,92.8571, ,
280.5929,94.0476, ,
284.1709, ,95.7692,
286.0541,95.2381, ,
287.2467,95.2381, ,
287.6234,94.0476, ,
288.0628,95.2381, ,
289.3182, ,96.0715,
290.8875, ,96.3629,
291.9547, ,96.6433,
293.0218, ,96.9125,
293.3984,96.4286, ,
293.8378,95.2381, ,
294.34, ,97.1755,
295.6582, ,97.4268,
295.9093,96.4286, ,
296.3487,96.4286, ,
297.1648,96.4286, ,
297.5414,95.2381, ,
297.9808,96.4286, ,
299.4246, ,97.6664,
303.3793,97.619, ,
303.8187,96.4286, ,
304.7602, ,97.8944,
305.8901,96.4286, ,
306.2668,97.619, ,
307.4595,96.4286, ,
307.8989,97.619, ,
308.401,96.4286, ,
308.8405,97.619, ,
310.7864,96.4286, ,
311.2258,97.619, ,
311.6652,96.4286, ,
312.1046,97.619, ,
313.2345, ,98.1147,
314.0506,96.4286, ,
314.9922,97.619, ,
315.3688,97.619, ,
316.4359, ,98.3229,
317.3775,96.4286, ,
317.8169,97.619, ,
320.2023, ,98.5188,
321.2694, ,98.7025,
324.973, ,98.8772,
326.0401, ,99.0392,
326.4167,98.8095, ,
326.9189,97.619, ,
329.4926,98.8095, ,
329.932,98.8095, ,
330.3714,97.619, ,
330.8108,97.619, ,
331.9407,97.619, ,
332.3801,98.8095, ,
333.9494,98.8095, ,
334.3888,97.619, ,
334.7655,98.8095, ,
335.2049,97.619, ,
335.6443,98.8095, ,
336.7114, ,99.1885,
337.7786,98.8095,99.3252,
339.9128, ,99.4514,
342.7376,98.8095, ,
343.1142,100, ,
343.4908,98.8095, ,
343.5536, ,99.5645,
345.8762,98.8095, ,
346.1901,100, ,
346.6295,98.8095, ,
346.8178, ,99.6645,
348.8893,98.8095, ,
348.952, ,99.7514,
349.3287,100, ,
349.517, ,99.8266,
349.7681,98.8095, ,
351.9651,98.8095, ,
352.1534, ,99.8882,
352.4045,100, ,
353.2206, ,99.9363,
