Time (min),CLK/CYC_ODE,CYC/CLK_ANIMO,
243.4316,93.4744, ,
244.0593, ,82.2222,
247.7629, ,83.3333,
248.83,93.2509, ,
250.3993,93.0209, ,
250.5876, ,83.3333,
251.027, ,84.4444,
251.4664, ,83.3333,
252.408, ,84.4444,
252.9102, ,83.3333,
253.6635,92.7884, ,
253.8518, ,84.4444,
254.2912, ,84.4444,
257.932, ,85.5556,
260.3801, ,85.5556,
261.0706,92.5534, ,
262.2633, ,86.6667,
262.7027, ,85.5556,
263.7071,92.316, ,
265.0253, ,86.6667,
266.4063,92.0716, ,
268.415, ,87.7778,
269.6077,91.8248, ,
271.4281, ,87.7778,
271.6792,91.5754, ,
271.9303, ,88.8889,
272.3697, ,87.7778,
275.32, ,88.8889,
275.7594, ,88.8889,
279.0235, ,90,
279.4629, ,88.8889,
281.8483, ,90,
284.1081, ,88.8889,
284.1709,91.3235, ,
284.4847, ,90,
284.9241, ,88.8889,
285.4263, ,90,
285.7402, ,91.1111,
286.1168, ,90,
287.3095, ,88.8889,
288.7533, ,90,
289.3182,91.0643, ,
290.8875,90.8025, ,
291.1386, ,88.8889,
291.4525, ,90,
291.8291, ,88.8889,
291.9547,90.5382, ,
292.2058, ,90,
292.6452, ,91.1111,
293.0218,90.2713,90,
294.34,89.9967, ,
295.6582,89.7194, ,
295.721, ,91.1111,
297.9808, ,90,
298.4202, ,91.1111,
298.7969, ,90,
299.1107, ,91.1111,
299.4246,89.4395, ,
299.6129, ,92.2222,
300.0523, ,91.1111,
302.5632, ,92.2222,
303.8187, ,92.2222,
304.7602,89.1569, ,
304.9486, ,91.1111,
305.3252, ,92.2222,
305.7646, ,91.1111,
306.204, ,92.2222,
306.6434, ,93.3333,
307.0828, ,92.2222,
309.5937, ,93.3333,
310.7864, ,93.3333,
311.7908, ,92.2222,
312.1674, ,93.3333,
312.6068, ,92.2222,
313.109, ,93.3333,
313.2345,88.8662, ,
316.3731, ,94.4444,
316.4359,88.5728, ,
317.5031, ,93.3333,
317.8169, ,94.4444,
318.8213, ,93.3333,
319.1979, ,94.4444,
320.2023,88.2766, ,
321.2694,87.9777, ,
323.4037, ,95.5556,
324.5336, ,94.4444,
324.8474, ,95.5556,
324.973,87.6702, ,
325.2868, ,94.4444,
326.0401,87.3599, ,
326.6051, ,95.5556,
329.116, ,94.4444,
330.8108, ,95.5556,
331.1874, ,94.4444,
332.1918, ,94.4444,
333.5728, ,95.5556,
335.9582, ,95.5556,
336.7114,87.0467, ,
337.7786,86.7307,96.6667,
338.218, ,95.5556,
339.9128,86.4056, ,
340.5405, ,96.6667,
342.7376, ,95.5556,
343.1142, ,96.6667,
343.4908, ,95.5556,
343.5536,86.0775, ,
343.9303, ,96.6667,
344.3697, ,97.7778,
344.8091, ,96.6667,
346.8178,85.7464, ,
347.4455, ,97.7778,
347.8849, ,96.6667,
348.952,85.4124, ,
349.517,85.0686, ,
350.9608, ,97.7778,
351.4002, ,97.7778,
352.1534,84.7217, ,
352.5301, ,96.6667,
352.9695, ,97.7778,
353.2206,84.3717, ,
353.3461,84.0187, ,
353.4089, ,96.6667,
354.2877, ,97.7778,
356.8614, ,96.6667,
356.9241,83.6549, ,
357.3008, ,97.7778,
357.9913,83.2879, ,
361.1927, ,98.8889,
362.197, ,97.7778,
362.5737, ,98.8889,
363.0131, ,97.7778,
364.3313, ,98.8889,
366.5283,82.9177, ,
366.5911, ,97.7778,
367.0305, ,98.8889,
367.4699, ,97.7778,
367.5955,82.5444, ,
367.9093, ,98.8889,
369.2276,82.159, ,
369.4159, ,96.6667,
369.8553, ,97.7778,
370.8596, ,96.6667,
371.299, ,98.8889,
371.3618,81.7704, ,
371.6757, ,97.7778,
374.8143, ,97.7778,
375.1909, ,98.8889,
375.5676,81.3785, ,
376.3208, ,97.7778,
376.6975, ,98.8889,
377.0113, ,97.7778,
378.0157, ,96.6667,
378.3296, ,98.8889,
380.401, ,97.7778,
380.8405, ,98.8889,
381.2799, ,97.7778,
381.7193, ,98.8889,
382.1587, ,98.8889,
383.5397, ,97.7778,
383.6024,80.9833, ,
383.8535, ,98.8889,
384.1046,80.5744, ,
384.2302, ,97.7778,
385.2973, ,98.8889,
386.8038,80.1621, ,
387.5571, ,97.7778,
387.9965, ,98.8889,
388.3104, ,98.8889,
391.7001, ,98.8889,
392.0139, ,100,
392.4534, ,98.8889,
394.2738,79.7464, ,
398.4795,79.3273, ,
399.2956, ,100,
399.6094, ,98.8889,
402.4969, ,98.8889,
405.4473,78.8923, ,
406.3888, ,100,
406.7655, ,98.8889,
407.0166,78.4537, ,
409.7786, ,97.7778,
410.218, ,98.8889,
410.7201, ,97.7778,
410.7829,78.0116, ,
413.9843,77.566, ,
415.5536,77.1012, ,
415.6792, ,96.6667,
416.0558,76.6327,98.8889,
416.4952, ,97.7778,
418.5039, ,96.6667,
418.9433, ,97.7778,
421.3915, ,97.7778,
422.333, ,96.6667,
422.7724, ,98.8889,
423.2119, ,97.7778,
425.0323, ,96.6667,
425.1578,76.1605, ,
426.5388, ,97.7778,
426.9782, ,97.7778,
427.7942,75.6846, ,
427.9198, ,96.6667,
428.3592, ,96.6667,
428.8614,75.1848, ,
431.5606,74.681, ,
432.3766, ,95.5556,
432.816, ,96.6667,
434.8875,74.1734, ,
435.2014, ,95.5556,
435.6408, ,96.6667,
436.0802, ,95.5556,
436.5196, ,96.6667,
437.3984,73.662, ,
438.0889, ,95.5556,
438.4656,73.1184, ,
438.5911, ,96.6667,
438.9677, ,95.5556,
439.9721, ,96.6667,
440.4115, ,95.5556,
442.1691,72.5707, ,
442.7341,72.0189, ,
445.1822, ,95.5556,
445.5588,71.463, ,
445.6216, ,94.4444,
446.6888, ,95.5556,
447.8814, ,94.4444,
448.3208, ,94.4444,
450.204,70.8595, ,
451.2084, ,93.3333,
452.8405,70.2514, ,
453.1543, ,92.2222,
453.5937, ,94.4444,
454.0331, ,93.3333,
454.9747, ,93.3333,
455.4141, ,92.2222,
459.1177, ,91.1111,
459.5571, ,91.1111,
460.3104,69.6388, ,
460.8753, ,92.2222,
461.3147, ,91.1111,
465.8971, ,90,
466.3365, ,90,
467.592, ,91.1111,
468.0314, ,90,
470.1029, ,88.8889,
470.9817,69.0218, ,
471.2328, ,90,
471.6722, ,88.8889,
472.0488, ,90,
472.4882, ,88.8889,
474.1831, ,88.8889,
474.6225, ,88.8889,
475.8779, ,87.7778,
476.3173, ,87.7778,
477.9494, ,87.7778,
478.075,68.3162, ,
479.456,67.6052, ,
480.0209, ,86.6667,
480.5231,66.8889, ,
483.85, ,85.5556,
484.1639, ,84.4444,
484.2895,66.1674, ,
484.6033, ,86.6667,
485.1055, ,85.5556,
486.9259, ,84.4444,
487.7419,65.3861, ,
490.0017, ,84.4444,
490.1273,64.5991, ,
490.4412, ,83.3333,
491.5083, ,84.4444,
491.9477, ,83.3333,
492.2616,63.8066, ,
493.7681, ,82.2222,
493.8936,63.0089, ,
494.2075, ,82.2222,
495.4629,62.9273, ,
496.8439, ,81.1111,
498.3505, ,82.2222,
498.7271,62.8456, ,
498.8527, ,81.1111,
499.9198, ,80,
500.2964, ,78.8889,
500.7986,62.7639, ,
503.6861, ,77.7778,
506.762, ,77.7778,
507.2014, ,76.6667,
510.5911, ,75.5556,
513.0392,62.6821, ,
513.667, ,74.4444,
515.1735, ,74.4444,
515.4874, ,74.4444,
516.8056,62.6003, ,
517.4333, ,73.3333,
517.8727,62.5184,72.2222,
518.3121, ,73.3333,
518.5632, ,72.2222,
518.9398, ,73.3333,
519.3793, ,73.3333,
520.3836, ,72.2222,
520.4464,62.4365, ,
521.5763,62.3545, ,
521.6391, ,71.1111,
522.5179, ,72.2222,
522.6434,61.9438, ,
523.3967, ,71.1111,
524.7777,61.5319, ,
524.966, ,71.1111,
525.4054, ,70,
525.8448, ,71.1111,
526.2214, ,70,
526.7236, ,71.1111,
527.1003, ,70,
527.4141,61.1188, ,
527.5397, ,68.8889,
527.9163, ,70,
528.2929, ,68.8889,
529.2973, ,70,
529.7367, ,68.8889,
531.4316, ,67.7778,
531.871, ,66.6667,
532.3104, ,67.7778,
534.3819,60.7045, ,
534.4446, ,66.6667,
535.8256, ,65.5556,
535.9512,60.6697, ,
536.3278, ,66.6667,
537.3949, ,65.5556,
538.0854,60.6349, ,
538.8387, ,64.4444,
539.1526,60.6001, ,
540.2197,60.5653, ,
541.4124,60.5585, ,
541.5379, ,63.3333,
541.9146, ,63.3333,
542.9189, ,63.3333,
543.2956, ,63.3333,
544.3627, ,62.2222,
544.6765, ,62.2222,
545.8692, ,61.1111,
546.8108, ,61.1111,
548.3801, ,60,
549.2589,60.5516, ,
549.8239, ,60,
550.2005, ,60,
550.6399, ,58.8889,
551.5815, ,58.8889,
552.0209, ,57.7778,
552.9625, ,57.7778,
553.0253,60.5448, ,
554.0924,60.5379, ,
554.3435, ,57.7778,
554.7829, ,56.6667,
555.6617, ,55.5556,
557.796,60.5374, ,
558.1099, ,54.4444,
558.5493, ,54.4444,
559.4908, ,53.3333,
559.9303, ,52.2222,
560.3697, ,53.3333,
561.4996,60.537, ,
561.7507, ,52.2222,
562.0017,60.5365, ,
562.0645,60.5361, ,
562.5667,60.5357,51.1111,
564.701,60.5353, ,
565.2659, ,50,
565.5798, ,50,
565.7681,60.535, ,
566.4586, ,48.8889,
566.898, ,47.7778,
567.3374, ,48.8889,
567.9024,60.5346, ,
568.7812, ,47.7778,
569.66, ,46.6667,
572.1709, ,45.5556,
572.5475, ,45.5556,
573.4263, ,44.4444,
573.8657, ,44.4444,
574.3051,60.5342,45.5556,
574.7446, ,44.4444,
575.184, ,43.3333,
575.3723,60.5339, ,
575.6234, ,43.3333,
576.6905, ,42.2222,
578.0715,60.5335, ,
579.2642, ,41.1111,
579.578, ,41.1111,
580.4568, ,40,
581.3357, ,40,
582.4028, ,40,
582.5911,60.5332, ,
582.7794, ,38.8889,
583.721, ,37.7778,
584.1604, ,38.8889,
584.5998, ,37.7778,
585.9808, ,36.6667,
586.4202, ,35.5556,
586.9224, ,36.6667,
587.2363, ,35.5556,
587.6757, ,36.6667,
588.68,60.5314,35.5556,
589.1194, ,34.4444,
589.5588, ,35.5556,
589.9355, ,34.4444,
590.3749, ,33.3333,
590.8143, ,34.4444,
591.3793,60.5295, ,
591.8814,60.5277, ,
592.007, ,33.3333,
593.2624, ,32.2222,
593.5763, ,32.2222,
594.4551, ,32.2222,
594.8317, ,31.1111,
595.2711, ,32.2222,
595.5222, ,31.1111,
596.0244, ,30,
596.401, ,31.1111,
596.7777, ,30,
597.6565, ,28.8889,
598.0959, ,30,
598.2842,60.5259, ,
598.5353, ,28.8889,
599.9791, ,27.7778,
600.4185, ,26.6667,
600.9207, ,27.7778,
601.3601, ,27.7778,
601.7367, ,26.6667,
602.1133, ,27.7778,
602.49, ,26.6667,
603.3688, ,26.6667,
603.8082, ,25.5556,
604.2476, ,24.4444,
605.1264, ,25.5556,
605.5658, ,24.4444,
607.1979, ,23.3333,
607.3235,60.5169, ,
609.7716, ,22.2222,
610.1482, ,21.1111,
610.5876, ,22.2222,
610.8387, ,21.1111,
611.2781, ,20,
611.6548, ,21.1111,
612.6591,60.5079, ,
612.8474, ,20,
614.2284, ,18.8889,
615.4839,60.4988, ,
616.6138, ,17.7778,
616.9904, ,16.6667,
617.367, ,17.7778,
617.7437, ,16.6667,
618.5597,60.4898, ,
619.8779, ,15.5556,
621.0078, ,14.4444,
621.3845, ,13.3333,
621.7611, ,13.3333,
622.2005, ,14.4444,
622.6399, ,13.3333,
624.0837, ,12.2222,
624.3976, ,12.2222,
624.7742, ,11.1111,
625.4647,60.4446, ,
625.7786, ,12.2222,
626.0924, ,11.1111,
626.469, ,10,
627.599,60.3994, ,
628.0384, ,8.8889,
628.5405, ,7.7778,
628.8544, ,8.8889,
628.9172,60.3542, ,
629.6704, ,7.7778,
629.7332,60.3089, ,
630.9259, ,6.6667,
631.3653, ,6.6667,
631.7419, ,5.5556,
632.9346,60.0825, ,
633.8762, ,4.4444,
635.2572, ,3.3333,
635.5711, ,3.3333,
636.0105, ,4.4444,
636.3243, ,3.3333,
636.701, ,2.2222,
637.0776, ,3.3333,
637.4542, ,2.2222,
638.7724,59.8558,1.1111,
639.2119, ,2.2222,
639.4629, ,1.1111,
639.9024, ,1.1111,
640.6556,59.6287, ,
640.9695, ,0,
641.4089, ,1.1111,
641.7855, ,0,
642.5388,59.4014, ,
643.041, ,1.1111,
643.9826, ,1.1111,
644.1081,58.9872, ,
644.3592, ,0,
645.6774,58.572, ,
645.803, ,0,
646.2424, ,1.1111,
646.6818, ,0,
648.6277, ,1.1111,
648.9416, ,0,
649.4438,58.1558, ,
649.8832, ,1.1111,
649.9459,57.7387, ,
650.8248, ,0,
652.8335, ,1.1111,
653.1473,57.3069, ,
654.6539, ,0,
656.3487,56.8742, ,
656.7881, ,1.1111,
657.8553, ,0,
659.7384, ,2.2222,
660.1151,56.4406, ,
660.1779, ,1.1111,
660.5545, ,0,
661.0567, ,1.1111,
661.4961, ,0,
661.6844,56.0061, ,
663.5676, ,2.2222,
664.007, ,1.1111,
664.3836, ,0,
665.1369,55.5342, ,
666.8317, ,2.2222,
667.2711, ,1.1111,
667.7105, ,0,
668.15, ,1.1111,
668.5266, ,0,
669.6565,55.0614, ,
670.7236,54.5877, ,
671.2886,54.113, ,
673.4228,53.5926, ,
673.7367, ,2.2222,
674.1761, ,1.1111,
674.5527, ,0,
675.0549, ,1.1111,
675.4943, ,0,
680.7672, ,2.2222,
681.2066, ,1.1111,
681.5833, ,0,
682.0227, ,1.1111,
682.4621,53.0713,0,
683.5292,52.5491, ,
687.5466, ,1.1111,
687.9861, ,0,
689.2415, ,0,
690.4342,52.026, ,
690.4969, ,0,
690.9364, ,1.1111,
691.3758, ,0,
691.7524, ,0,
693.6356,51.4399, ,
694.5772, ,1.1111,
694.9538, ,0,
695.2677,50.8529, ,
696.2092, ,0,
697.4019,50.2651, ,
697.5902, ,1.1111,
697.9041,49.6766, ,
698.5946, ,1.1111,
699.034, ,0,
701.4194, ,1.1111,
702.3609, ,0,
702.7376, ,1.1111,
703.2398, ,0,
704.6207, ,1.1111,
705.5623, ,1.1111,
706.0017, ,0,
706.9433,48.9905, ,
708.3243, ,0,
708.5754,48.3038, ,
708.7637, ,1.1111,
709.2031, ,0,
710.2075, ,0,
711.5885, ,1.1111,
712.5929, ,1.1111,
712.9067, ,0,
715.1037, ,1.1111,
716.3592, ,0,
716.8614, ,1.1111,
717.238, ,0,
718.5562, ,1.1111,
719.2467,47.6164, ,
719.5606, ,1.1111,
719.7489,46.9286, ,
720, ,0,
721.8832,46.0504, ,
722.6364,45.1719, ,
722.762, ,1.1111,
723.1386, ,0,
723.5153,44.2935, ,
724.2058, ,0,
724.5824,43.4155, ,
725.4612, ,1.1111,
726.5911, ,1.1111,
726.9677, ,0,
727.2188,42.5407, ,
729.7297, ,1.1111,
729.8553,41.6669, ,
730.1691, ,0,
731.2363, ,0,
731.4874,40.7942, ,
732.3034, ,2.2222,
732.68, ,1.1111,
733.1194, ,0,
733.5588, ,1.1111,
733.9355, ,0,
735.3793, ,1.1111,
735.7559,39.923, ,
735.8187, ,0,
736.823, ,1.1111,
737.1369, ,0,
738.204, ,0,
738.3923,39.0547, ,
739.2084,38.1883,1.1111,
739.6478, ,0,
742.1587,37.3243, ,
742.2842, ,1.1111,
743.2886, ,0,
745.3601,36.4628, ,
747.9965,35.7697, ,
749.3775, ,1.1111,
749.6914, ,0,
750.7585, ,1.1111,
751.1351, ,0,
751.1979,35.0786, ,
752.2023, ,0,
752.6417, ,1.1111,
753.0183, ,0,
753.3322,34.3896, ,
753.4577, ,0,
755.4664,33.7029, ,
755.4664,33.1023, ,
756.3452, ,1.1111,
756.6591, ,0,
757.0357,32.5036, ,
757.7262, ,1.1111,
758.1656, ,0,
759.2328, ,0,
759.6722, ,1.1111,
760.0488, ,0,
760.4882, ,0,
760.8021,31.907, ,
763.2502, ,1.1111,
763.4385,31.3125, ,
764.3173, ,0,
765.5728,30.7597, ,
765.5728,30.209, ,
766.6399, ,0,
767.2049,29.6603, ,
769.2764,29.1137, ,
770.0296, ,2.2222,
770.0296, ,1.1111,
771.0968, ,0,
771.4734, ,1.1111,
771.9128, ,0,
773.231, ,2.2222,
773.6704, ,1.1111,
774.0471, ,0,
774.4865, ,1.1111,
774.9259, ,0,
775.9303, ,1.1111,
776.3697, ,0,
777.3112,28.5942, ,
777.4368, ,1.1111,
777.8762, ,0,
778.3784,28.0767, ,
778.8178, ,1.1111,
779.2572, ,0,
780.1988, ,2.2222,
780.5126,27.5613, ,
780.6382, ,1.1111,
781.0148, ,0,
781.4542, ,1.1111,
781.9564, ,0,
782.6469,27.0481, ,
782.9608, ,1.1111,
783.4002, ,0,
784.4045, ,1.1111,
784.8439, ,0,
785.7228, ,1.1111,
785.8483,26.5548, ,
786.0994, ,0,
786.8527,26.0636, ,
787.2293, ,2.2222,
787.6687, ,1.1111,
788.0453, ,0,
788.4847, ,1.1111,
788.9241, ,0,
788.9869,25.5746, ,
789.9285, ,1.1111,
791.8745, ,0,
792.816, ,1.1111,
793.1927, ,0,
794.197, ,2.2222,
794.3226,25.0878, ,
794.6364, ,1.1111,
795.0759, ,0,
795.4525, ,1.1111,
795.9547, ,0,
796.959, ,1.1111,
798.8422, ,0,
799.721, ,1.1111,
800.1604, ,0,
800.9765,24.6166, ,
801.0392, ,2.2222,
801.4159, ,1.1111,
802.8596,24.1476, ,
803.1107, ,0,
803.5501, ,1.1111,
804.4917,23.6808, ,
805.8727, ,0,
806.626,23.2164, ,
806.7515, ,1.1111,
807.1282, ,0,
807.5676, ,1.1111,
807.6931,22.7646, ,
808.8858, ,0,
809.2624,22.315, ,
809.7646,21.8678, ,
811.0201, ,1.1111,
812.7777, ,0,
813.782, ,1.1111,
814.1587, ,0,
814.5981, ,1.1111,
815.8535, ,0,
816.2929, ,1.1111,
