Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,pdp1,PDP1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
0,8,6,0,14,9,7,25,24,34,6,18,9,20,16,22,17,
4.24, , , , , , ,26,25,35, , , , , , , ,
4.7, , , , , , , , , , ,19, , , , ,18,
6.02, , , , , , , , , , , , , , ,23, ,
6.52, , , , , , , , , , , , ,21,17, , ,
8.58, , , , , , ,27,26,36, , , , , , , ,
9.2, , , , ,10, , , , , ,20, , , , ,19,
9.78, , , , , ,8, , , , , , , , , , ,
11.7, , , , , , , , , , , , , , ,24, ,
12.4, , , , , , , , ,37, , , , , , , ,
12.66, , , , , , , , , , , , ,22, , , ,
12.82, , , , , , ,28,27, , , , , ,18, , ,
13.78, , , , , , , , , , ,21, , , , ,20,
15.36, , , , , , , , , ,7, , , , , , ,
16,9, , , , , , , ,38, , , , , , , ,
17.16, , , , , , , ,28, , , , , , , , ,
17.44, ,7, , , , ,29, , , , , , , ,25, ,
18.18, , , , ,11, , , , , ,22,10,23, , ,21,
18.98, , , , , ,9, , , , , , , ,19, , ,
19.6, , , , , , , , ,39, , , , , , , ,
21.04, , , , , , , ,29, , , , , , , , ,
21.48, , , , , , ,30, , , , , , , , , ,
22.18, , , , , , , , , , , , , , ,26, ,
22.88, , , , , , , , , , , , , , , ,22,
23.04, , , , , , , , ,40, ,23, ,24, , , ,
25.04, , , , , , , ,30, , , , , ,20, , ,
25.82, , , , , , ,31, , , , , , , , , ,
26.34, , , , , , , , ,41, , , , , , , ,
26.86, , , , ,12, , , , , , , , , ,27,23,
27.28, , , , , , , , , , ,24, , , , , ,
27.84, , , , , ,10, , , , , , ,25, , , ,
29.12, , , , , , , ,31, ,8, , , , , , ,
29.52,10, , , , , , , ,42, , , , , , , ,
30.52, , , , , , ,32, , , , , , ,21, , ,
31.46, , , , , , , , , , , , , , ,28,24,
32.08, , , , , , , , , , ,25, , , , , ,
32.34, , , , , , , , , , , ,11,26, , , ,
32.98, , , , , , , ,32,43, , , , , , , ,
34.54, ,8, , , , ,33, , , , , , , , , ,
35.4, , , , , , , , , , , , , , ,29,25,
36, , , , , , , , ,44, , , , , , , ,
36.36, , , , ,13,11, , , , , , , , , , ,
36.58, , , , , , , , , , , , , ,22, , ,
36.94, , , , , , , , , , , , ,27, , , ,
37.18, , , , , , , ,33, , ,26, , , , , ,
38.9, , , , , , ,34, ,45, , , , , , , ,
39.56, , , , , , , , , , , , , , ,30,26,
40.66, , , , , , , ,34, , , , , , , , ,
41.48, , , , , , , , , , , , ,28, , , ,
41.8, , , , , , , , , ,9, , , , , , ,
41.94, , , , , , , , ,46, ,27, , ,23, , ,
42.42,11, , , , , , , , , , , , , , , ,
42.94, , , , , , , , , , , ,12, , , , ,
43.9, , , , , , , , , , , , , , ,31,27,
44.6, , , , , , , ,35,47, , , , , , , ,
45.4, , , , , ,12,35, , , , , , , , , ,
45.76, , , , , , , , , , , , ,29, , , ,
45.8, , , ,13, , , , , , , , , , , , ,
46.58, , , , ,14, , , , , ,28, , , , , ,
47.6, , , , , , , , ,48, , , , ,24,32, ,
48.62, , , , , , , ,36, , , , , , , ,28,
49.42, , , , , , , , , , , , ,30, , , ,
50.22, , , , , , , , ,49, , , , , , , ,
51.48, ,9, , , , ,36, , , ,29, , , ,33, ,
51.94, , , , , , , ,37, , , , , , , , ,
52.88, , , , , , , , , , , , , , , ,29,
53.04, , , , , , , , , ,10, ,13, , , , ,
53.22, , , , , , , , ,50, , , ,31,25, , ,
53.9, , , , , ,13, , , , , , , , , , ,
54.9,12, , , , , , , , , , , , , ,34, ,
55.9, , , , , , , ,38,51, , , , , , , ,
57.2, , , , , , , , , , ,30, , , , , ,
57.42, , , , ,15, ,37, , , , , ,32, , ,30,
58.56, , , , , , , , ,52, , , , ,26,35, ,
59.66, , , , , , , ,39, , , , , , , , ,
61.08, , , , , , , , ,53, , , , , , , ,
61.22, , , , , , , , , , , , ,33, , , ,
61.54, , , , , , , , , , , ,14, , , , ,
61.78, , , , , , , , , , , , , , , ,31,
62.14, , , , , ,14, , , , ,31, , , ,36, ,
63.54, , , , , , , , ,54, , , , , , , ,
63.76, , , , , , , ,40, ,11, , , , , , ,
64.72, , , , , , , , , , , , ,34,27, , ,
65.2, , , , , , , , , , , , , , ,37, ,
65.84, , , , , , , , ,55, , , , , , , ,
66.72,13,10, , , , ,38, , , , , , , , ,32,
67.64, , , , , , , ,41, , ,32, , , , , ,
68.64, , , , , , , , ,56, , ,15,35, ,38, ,
69.32, , , , ,16, , , , , , , , , , , ,
69.96, , , , , ,15, , , , , , , , , , ,
70.76, , , , , , , , ,57, , , , ,28, , ,
71.5, , , , , , , , , , , , , , , ,33,
71.88, , , , , , , , , , , , , , ,39, ,
72.24, , , , , , , ,42, , , , ,36, , , ,
73.16, , , , , , , , ,58, , , , , , , ,
74.38, , , , , , , , , ,12,33, , , , , ,
74.92, , , , , , , , , , , ,16, , ,40, ,
75.6, , , , , , , , ,59, , , , , , , ,
76.28, , , , , , , ,43, , , , ,37, , , ,
76.62, , , , , , , , , , , , , ,29, ,34,
78.04,14, , , , , , , ,60, , , , , ,41, ,
78.66, , , , , ,16, , , , , , , , , , ,
79.42, ,11, , , , ,39, , , , , , , , , ,
80.08, , , , , , , , , , , , ,38, , , ,
80.56, , , , , , , , ,61, , , , , , , ,
80.86, , , , , , , ,44, , , , , , , , ,
81.2, , , , , , , , , , , ,17, , , , ,
81.42, , , , , , , , , , , , , , ,42,35,
81.8, , , , , , , , , , ,34, , , , , ,
82.94, , , , , , , , ,62, , , , ,30, , ,
83.3, , , , , , , , , , , , ,39, , , ,
84.26, , , , , , , , , ,13, , , , ,43, ,
85.26, , , , , , , ,45,63, , , , , , , ,
85.8, , , , ,17, , , , , , , , , , , ,
86.24, , , , , , , , , , , ,18, , , , ,
87, , , , , , , , , , , , , , , ,36,
87.24, , , , , ,17, , , , , , , , , , ,
87.32, , , , , , , , ,64, , , ,40, ,44, ,
89.1,15, , , , , , , , , , , , , , , ,
89.92, , , , , , , , ,65, , , , ,31, , ,
90.24, , , , , , , ,46, , , , , , , , ,
90.52, , , , , , , , , , , , ,41, ,45, ,
91.64, , , , , , , , , , , ,19, , , , ,
91.94, ,12, , , , , , ,66, ,35, , , , , ,
92.66, , , , , , , , , , , , , , , ,37,
93.16, , , , , , , , , , , , , , ,46, ,
94.38, , , , , , , , ,67,14, , ,42, , , ,
94.9, , , , , , , ,47, , , , , , , , ,
96.12, , , , , ,18, , , , , ,20, , ,47, ,
96.52, , , , , , , , ,68, , , , , , , ,
97.24, , , , , , , , , , , , , ,32, , ,
97.78, , , , , , , , , , , , ,43, , , ,
99.08, , , ,12, , , , ,69, , , , , , , ,
99.32,16, , , , , , , , , , , , , ,48,38,
100.8, , , , , , , ,48, , , , , , , , ,
101.02, , , , , , ,38, ,70, , ,21, , , , ,
101.72, , , , , , , , , , , , ,44, , , ,
101.96, , , , , , , , , , , , , , ,49, ,
103.28, , , , , , , , ,71, , , , , , , ,
104.3, ,13, , , , , , , ,15, , , , , , ,
105.1, , , , , , , , , , , ,22,45,33,50, ,
105.82, , , , , , , , ,72, , , , , , , ,
106.52, , , , , ,19, , , , , , , , , , ,
107.96, , , , , , , ,49, , , , , , , , ,
108.16, , , , , , , , ,73, , , , , ,51,39,
109.06, , , , , , , , , , , ,23,46, , , ,
109.54,17, , , , , , , , , , , , , , , ,
110.1, , , , , , , , ,74, , , , , , , ,
110.68, , , , , , , , , , , , , , ,52, ,
112.4, , , , , , , , ,75, , , , , , , ,
113.14, , , , , , ,37, , , , ,24,47, , , ,
113.88, , , , , , , , , , , , , , ,53, ,
114.74, , , , , , , , ,76,16, , , , , , ,
115.14, , , , , , , , , , , , , ,34, , ,
115.92, , , , , , , ,50, , , , , , , , ,
116.8, ,14, , , , , , , , , , ,48, ,54, ,
117.02, , , , , , , , , , , ,25, , , , ,
117.26, , , , , , , , ,77, , , , , , , ,
118.56, , , , , ,20, , , , , , , , , , ,
119.42,18, , , , , , , ,78, , , , , ,55, ,
120.54, , , , , , , , , , , ,26,49, , ,40,
121.7, , ,1, , , , , ,79, , , , , , , ,
122.28, , , , ,16, ,36, , , ,34, , , ,56, ,
124.34, , , , , , , , ,80, , ,27, , , , ,
124.78, , , , , , , , , , , , ,50, , , ,
125.16, , , , , , , , , , , , , , ,57, ,
126.2, , , , , , , , , ,17, , , , , , ,
126.54, , ,2, , , , , ,81, , , , , , , ,
128.08, , , , , , ,35, , , , ,28, , , , ,
128.26, , , , , , , , , , , , , , ,58, ,
128.5, ,15, , , , , , , , , , , , , , ,
129.3,19, , , , , , , ,82, , , ,51, , , ,
130.54, , ,3, , , , , , , , , , ,35, , ,
131.18, , , , , , , , , , , , , , ,59, ,
131.42, , , , , , , ,51,83, , ,29, , , , ,
133.56, , ,4, , , , , , , , , , , , , ,
133.88, , , , , , , , , , , , ,52, , , ,
134, , , , , , , , ,84, , , , , ,60, ,
134.62, , , , , , ,34, , , , ,30, , , , ,
135.12, , , , , , , , , , ,33, , , , , ,
