Time (min),CWO_ANIMO,CWO_ODE,
619.356,57.8947, ,
621.9574, ,99.4549,
622.8113, ,99.3481,
624.519, ,99.2322,
626.2267, ,99.1072,
628.7883, ,98.9781,
629.592, ,98.8407,
631.2996, ,98.6951,
635.5689, ,98.5415,
640.893, ,98.3845,
642.3997, ,98.22,
643.7056, ,98.0481,
645.4134, ,97.869,
646.2672, ,97.6868,
647.5228, ,97.498,
647.9247, ,97.3024,
653.9016, ,97.1002,
655.9,52.6316, ,
656.9153, ,96.8953,
662.4402, ,96.6843,
663.7461, ,96.4672,
664.5497, ,96.244,
665.4036, ,96.0184,
667.5633, ,95.7871,
673.9421, ,95.5502,
675.248, ,95.3077,
682.0789, ,95.063,
683.3345, ,94.8131,
684.5902, ,94.558,
686.2979, ,94.2979,
687.216,47.3684, ,
691.0192, ,94.0356,
693.9825, ,93.7685,
694.8365, ,93.4967,
696.5441, ,93.2202,
699.5075, ,92.9416,
702.5212, ,92.6587,
706.3384, ,92.3714,
708.046, ,92.0797,
711.0597, ,91.7862,
713.1,42.1053, ,
713.6212, ,91.4886,
714.8769, ,91.1869,
716.9864, ,90.8813,
718.6941, ,90.5739,
719.548, ,90.2627,
722.5616, ,89.9478,
723.2648, ,89.6293,
728.9404, ,89.309,
731.502, ,88.9853,
733.511, ,88.6582,
734.0635, ,88.3278,
734.9174, ,87.9958,
736.173, ,87.6606,
736.625, ,87.3223,
737.4789, ,86.9809,
739.1866, ,86.6381,
742.15, ,86.2923,
744.1591, ,85.9438,
746.0175, ,85.5925,
746.4,36.8421, ,
747.2731, ,85.2398,
750.2365, ,84.8846,
753.2501, ,84.5267,
754.8071, ,84.1664,
756.2135, ,84.145,
758.775, ,84.1235,
761.7886, ,84.1021,
762.1904, ,84.0807,
763.0443, ,84.0772,
764.752, ,84.0737,
765.4552, ,84.0702,
767.3136, ,84.0667,
769.8751, ,84.0643,
771.5829, ,84.062,
773.6924, ,84.0597,
777.642,31.5789, ,
778.8155, ,84.0573,
781.3771, ,84.055,
781.7789, ,84.0527,
782.6327, ,84.0503,
784.3405, ,84.048,
790.3174, ,84.0456,
793.331, ,84.0432,
797.1483, ,84.0409,
798.856, ,84.0385,
802.6732, ,84.0266,
805.6868, ,84.0147,
807.3945, ,84.0028,
808.6501, ,83.9909,
809.956, ,83.9313,
811.6638, ,83.8716,
812.0656, ,83.8119,
812.12,26.3158, ,
813.6226, ,83.7521,
814.6272, ,83.6953,
815.0289, ,83.6383,
815.8828, ,83.5814,
816.7367, ,83.5243,
818.4444, ,83.2383,
825.2752, ,82.9508,
826.9829, ,82.662,
831.2522, ,82.3719,
833.3617, ,81.9321,
835.5215, ,81.4894,
840.1925, ,81.0439,
841.4984, ,80.5957,
844.06, ,80.1725,
846.6216, ,79.747,
848.2791, ,79.3194,
849.585, ,78.8896,
850.4388, ,78.4819,
851.32,21.0526, ,
852.5484, ,78.0723,
856.4157, ,77.6611,
859.3791, ,77.2482,
859.8312, ,76.8589,
861.5389, ,76.4683,
864.5023, ,76.0763,
865.3561, ,75.6831,
867.0638, ,75.3112,
868.3195, ,74.9383,
869.6254, ,74.5644,
872.5888, ,74.1895,
873.8947, ,73.8278,
874.7485, ,73.4654,
877.3101, ,73.1021,
879.4196, ,72.7381,
882.383, ,72.3715,
882.52,15.7895, ,
884.0907, ,72.0042,
886.6523, ,71.6362,
888.812, ,71.2676,
892.6293, ,70.8692,
895.1908, ,70.47,
896.8985, ,70.0703,
897.7524, ,69.67,
899.4601, ,69.2671,
900.314, ,68.8638,
901.1678, ,68.46,
907.9986, ,68.0557,
908.52,10.5263, ,
912.2679, ,67.6428,
914.3774, ,67.2295,
916.4869, ,66.8158,
919.5005, ,66.4019,
921.6101, ,65.9722,
922.0621, ,65.5423,
925.0255, ,65.1122,
927.587, ,64.682,
929.2948, ,64.2282,
931.0024, ,63.7744,
933.564, ,63.3206,
937.8333, ,62.8669,
938.2351, ,62.382,
940.7967, ,61.8974,
944.2121, ,61.4129,
945.518, ,60.9288,
947.1755, ,60.4077,
947.56,5.2632, ,
948.0293, ,59.887,
948.8832, ,59.3669,
949.7371, ,58.8473,
950.5909, ,58.2892,
952.7506, ,57.732,
954.8601, ,57.1756,
955.3122, ,56.6201,
957.8738, ,56.0316,
959.1294, ,55.4442,
959.8326, ,54.8581,
960.4353, ,54.2734,
962.143, ,53.6663,
