Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
0,33.3333333333,33.3333333333,100,96.2962962963,12.5,0,26.3157894737,0,0,0,9.5238095238,0,0,0,0,4.5454545455
11.1,,,,,,,31.5789473684,,,,,,,,,
12.96,,,,,,,,,,,14.2857142857,,,,,
16.92,,,,,,,,,,,,,,,,9.0909090909
17.3,,,,,,,,4,,,,,,,,
23.6,,,,,25,,36.8421052632,,,,,,,5.5555555556,,
24.48,,,,,,,,,,,19.0476190476,,,,,
32.14,,,,,,,,8,,,,,,,,13.6363636364
36.64,,,,,,,,,,,23.8095238095,,,,,
37.92,,,,,,,42.1052631579,,,,,,,,,
42.68,,,,,,,,,1.7857142857,,,,,,,
43.6,,,,,,,,,,,,,3.2258064516,11.1111111111,,
45,,,,,,11.1111111111,,12,,,,,,,,
47.88,,,,,,,,,,,,,,,,18.1818181818
50.5,,,,,,,,,,,28.5714285714,,,,,
52.6,44.4444444444,,,,,,,,,,,,,,,
54,,,,,37.5,,,,,,,,,,,
54.68,,,,,,,47.3684210526,,,,,,,,,
58.24,,,,,,,,16,,,,,,,,
59.4,,,,,,,,,,,,,,,2.2222222222,
62.13,,,,,,,,,,,,,,,,22.7272727273
62.78,,,,,,,,,,,33.3333333333,,,,,
64.2,,,,,,,,,3.5714285714,,,,6.4516129032,16.6666666667,,
72.04,,,,,,,,20,,,,,,,,
75.14,,,,,,,52.6315789474,,,8.3333333333,38.0952380952,,,,,27.2727272727
80,,,,,50,22.2222222222,,,,,,,,,,
82.08,,,,,,,,,5.3571428571,,,,,,,
85.8,,,,,,,,,,,,,9.6774193548,22.2222222222,,
86.962,,,,,,,,24,,,,,,,,
89.286,,,,,,,,,,,,,,,4.4444444444,
89.9,,,,,,,,,,,42.8571428571,,,,,
90.98,,,,,,,,,,,,,,,,31.8181818182
97.52,,,,,,,,,7.1428571429,,,,,,,
100.28,,,,,,,57.8947368421,28,,,,,,,,
103.234,,,,,,,,,,,47.619047619,,,,,
103.8,,50,,100,,,,,,,,,,,,
105.12,55.5555555556,,,,,,,,,,,,,,,
105.3,,,,,,,,,,,,,12.9032258065,27.7777777778,,
105.522,,,,,,,,,,,,,,,,36.3636363636
109.052,,,,,,,,,,,,,,,6.6666666667,
