Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
77.46,,,,,,,,,82,,,,,,,
77.752,,,,,,75,,,,,,,,,,87.1794871795
77.9,,,,100,,,,46.875,,,,,,,,
78.4,,,,,,,,,,53.8461538462,,,,,,
78.936,,,,98.9795918367,,,,,,,,,,,,
80.12,,,,100,,,,,,,,,,,44.6808510638,
80.96,,,,,,,,48.4375,,,,,,85.1851851852,,
81.24,,,,98.9795918367,,,,,84,,,,,,,
81.8,,,,100,,,,,,,,,,,,
82.984,,,,98.9795918367,,,,,,,94.7368421053,,,,,
83.58,,,,,,,,,,,,,,,,89.7435897436
83.824,,,,,,,,50,,,,,,,,
84,,,,100,,,,,,,,,,,,
85.24,,,,98.9795918367,,,,,,,,,,,,
85.5,,,,,,,,,86,,,,,,46.8085106383,
85.848,,,,100,,,97.3684210526,,,,,26.0869565217,,,,
86.32,,,,,,,,51.5625,,,,,,,,
87.032,,,,98.9795918367,,,,,,,,,,,,
87.872,,,,100,,,,,,,,,,,,
89.16,,,,98.9795918367,,,,53.125,,,,,,88.8888888889,,
89.896,,,,,,,,,88,,,,,,,92.3076923077
90.24,,,,100,,,,,,,97.3684210526,,,,48.9361702128,
91.08,,92.3076923077,,98.9795918367,,,,,,,,,,,,
91.92,,,,,,,,54.6875,,,,,,,,
92.16,,,,100,,,,,,,,,,,,
92.4,,,,,,,94.7368421053,,,,,,,,,
93.104,,,,98.9795918367,,,,,,,,,,,,
93.48,,,,,,83.3333333333,,,,,,,,,,
94.16,,,,100,,,,,,,,,,,,
94.5,,,,,,,,,,61.5384615385,,,,,,
94.64,,,,,,,,56.25,90,,,,,,,
95.28,,,,98.9795918367,,,,,,,,,,,51.0638297872,
95.968,,,,100,,,,,,,,,,,,
97.16,,,,98.9795918367,,,,57.8125,,,,,,,,94.8717948718
98,,,,100,,,,,,,,,,,,
98.84,,,,,,,,,,,,,,92.5925925926,,
99.176,,,,98.9795918367,,,92.1052631579,,,,,,,,,
100.016,,,,,,,,59.375,92,,,,,,,
100.18,,,,100,,,,,,,,,,,53.1914893617,
100.8,,,,,,,,,,,100,,,,,
101.2,,,,98.9795918367,,,,,,,,,,,,
101.64,,,,,,,,,,,,30.4347826087,,,,
102.4,,,,100,,,,60.9375,,,,,,,,
103.224,,,,98.9795918367,,,89.4736842105,,,,,,,,,
104.064,,,,100,,,,,,,,,,,,
105.26,,,,98.9795918367,,,,62.5,94,,,,,,55.3191489362,
106.088,,,,,,,,,,,,,,,,97.4358974359
106.4,,,,100,,,,,,,,,,,,
107.62,,,,98.9795918367,,,86.8421052632,64.0625,,,,,,,,
108.112,,,,100,,,,,,,,,,,,
109.296,,,,98.9795918367,,,,,,,,,,,,
110.136,,,,,,,,,,69.2307692308,,,,96.2962962963,,
110.22,,,,100,,,,65.625,,,,,,,57.4468085106,
111.48,,,,,,,,,96,,,,,,,
111.5,,,,98.9795918367,,91.6666666667,84.2105263158,,,,,,,,,
112.16,,,,100,,,,,,,,,,,,
113.06,,,,,,,,67.1875,,,,,,,,
113.344,,,,98.9795918367,,,,,,,,,,,,
114.184,,,,100,,,,,,,,,,,,
114.8,,,,,,,,,,,,,,,59.5744680851,
115.368,,,,,,,,68.75,,,,,,,,
115.7,,,,98.9795918367,,,81.5789473684,,,,,34.7826086957,,,,
116.208,,,,100,,,,,,,,,,,,
117.6,,,,98.9795918367,,,,,,,,,,,,
118.232,,,,,,,,70.3125,,,,,,,,
118.36,,,,100,,,,,,,,,,,,
118.64,,,,,,,,,98,,,,,,,
118.78,,,,,,,78.9473684211,,,,,,,,,
119.7,,,,98.9795918367,,,,,,,,,,,61.7021276596,
120.44,,,,100,,,,,,,,,,,,
120.68,,,,,,,,71.875,,,,,,,,100
121.44,,,,98.9795918367,,,,,,,,,,,,
121.86,,,,,,,76.3157894737,,,,,,,,,
122.28,,,,100,,,,,,,,,,,,
123.2,,,,,,,,73.4375,,,,,,,,
123.464,,,,98.9795918367,,,,,,,,,,,,
124.48,,,,100,,,,,,,,,,,63.829787234,
124.94,,,,,,,73.6842105263,,,,,,,,,
125.58,,,,98.9795918367,,,,,,,,,,,,
125.86,,,,,,,,75,,,,,,,,
126,,,,,,,,,,76.9230769231,,,,,,
126.328,,,,100,,,,,,,,,,,,
127.84,,,,98.9795918367,,,,,,,,,,,,
128.16,,,,,,,,,100,,,,,,,
128.352,,,,100,93.3333333333,,71.0526315789,76.5625,,,,39.1304347826,,,,
129.536,,,,98.9795918367,,,,,,,,,,,65.9574468085,
130.64,,,,100,,,68.4210526316,78.125,,,,,,100,,
131.88,,,,98.9795918367,,,,,,,,,,,,
132.4,,,,100,,,,,,,,,,,,
133.2,,,,,,,65.7894736842,79.6875,,,,,,,,
133.584,,,,98.9795918367,,,,,,,,,,,,
134.424,,,,100,,,,,,,,,,,68.085106383,
135.62,,,,,,,63.1578947368,,,,,,,,,
135.78,,,,98.9795918367,,,,81.25,,,,,,,,
136.448,,,,100,,100,,,,,,,,,,
137.74,,,,98.9795918367,,,60.5263157895,,,,,,,,,
138.472,,,,100,,,,82.8125,,,,,,,,
139.16,,,,,,,,,,,,,,,70.2127659574,
140,,,,98.9795918367,,,,,,,,,,,,
140.496,,,,100,,,57.8947368421,,,,97.3684210526,,,,,
141,,,,,,,,84.375,,,,,,,,
141.68,,,,98.9795918367,,,,,,,,43.4782608696,,,,
142.54,,,,,,,55.2631578947,,,,,,,,,
142.82,,,,100,,,,,,84.6153846154,,,,,,
144,,,,98.9795918367,,,,85.9375,,,,,,,,
144.18,,,,,,,52.6315789474,,,,,,,,72.3404255319,
144.544,,,,100,,,,,,,,,,,,
145.728,,,,98.9795918367,86.6666666667,,,,,,,,,,,
146.3,,,,,,,50,,,,,,,,,97.4358974359
146.568,,,,100,,,,87.5,,,,,,,,
147.752,,,,98.9795918367,,,,,,,,,,,,
148.4,,,,,,,47.3684210526,,,,,,,,,
