Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
0,50,60,100,55.5555555556,71.4285714286,50,88.2352941176,33.3333333333,0,0,63.1578947368,0,0,23.0769230769,0,47.3684210526
7.52,,,,,,,,,1.9607843137,,,,,,,
8.18,,,,59.2592592593,,,,,,,,,,,,
8.72,,,,,,,,38.0952380952,,,,,,,,
9.8,,,,,,,,,,,68.4210526316,,,,,52.6315789474
10.68,,,,,,,,,,,,,,,2.5,
13.02,,,,,,,,,,,,,5,30.7692307692,,
13.68,,,,,,,94.1176470588,,,,,,,,,
14.46,,,,,,,,,3.9215686275,,,,,,,
16.56,,,,,,,,42.8571428571,,,,,,,,
17.16,,,,62.962962963,,,,,,,,,,,,
18.6,,,,,,,,,,,73.6842105263,,,,,57.8947368421
19.52,,,,,85.7142857143,,,,,,,,,,,
20.52,,,,,,,,,,,,,,,5,
20.88,,,,,,,,,5.8823529412,,,,,,,
24.54,,,,,,,,47.619047619,,,,,,,,
25.08,,,,,,,,,,,,,10,38.4615384615,,
26.88,,,,66.6666666667,,62.5,,,7.8431372549,11.1111111111,,,,,,
28.84,,,,,,,,,,,,,,,,63.1578947368
29.64,,,,,,,,,,,,,,,7.5,
29.94,,,,,,,100,,,,78.9473684211,,,,,
32.86,,,,,,,,52.380952381,9.8039215686,,,,,,,
35,,,,,,,,,,,,4.1666666667,,,,
36.24,,,,,,,,,,,,,15,,,
37.26,,,,70.3703703704,,,,,,,,,,46.1538461538,,
38.68,,,,,,,,,11.7647058824,,,,,,10,68.4210526316
40.48,,,,,,,,,,,84.2105263158,,,,,
41.34,,,,,,,,57.1428571429,,,,,,,,
44.14,66.6666666667,,,,,,,,13.7254901961,,,,,,,
45.12,,,,,100,,,,,,,,,,,
46.34,,,,,,,,,,,,,20,,,
46.92,,,,,,,,,,,,,,,12.5,
48.86,,,,74.0740740741,,,,,,,,,,,,73.6842105263
49.98,,,,,,,,61.9047619048,15.6862745098,,,,,53.8461538462,,
50.6,,,,,,,,,,22.2222222222,,,,,,
52,,,,,,75,,,,,89.4736842105,,,,,
55.12,,,,,,,,,17.6470588235,,,,,,15,
55.5,,,,,,,,,,,,,25,,,
60.06,,,,,,,,,,,,8.3333333333,,,,
60.42,,,,,,,,66.6666666667,19.6078431373,,,,,,,
60.96,,,,,,,,,,,,,,,,78.9473684211
62.14,,,,77.7777777778,,,,,,,,,,,17.5,
64.74,,,,,,,,,,,,,30,61.5384615385,,
65.78,,,,,,,,,21.568627451,,,,,,,
69.14,,,,,,,,,,,94.7368421053,,,,,
69.66,,,,,,,,,,,,,,,20,
71.12,,,,,,,,71.4285714286,23.5294117647,,,,,,,
72,,,,,,,,,,33.3333333333,,,,,,
74.36,,,,,,,,,,,,,35,,,84.2105263158
76.02,,,,,,,,,25.4901960784,,,,,,,
76.7,,,,,,,,,,,,,,,22.5,
77.38,,,,81.4814814815,,,,,,,,,,,,
79.48,,,,,,,94.1176470588,,,,,12.5,,,,
81.24,,,,,,,,,27.4509803922,,,,,,,
82.94,,,,,,,,,,,,,,69.2307692308,,
83.06,,,,,,,,,,,,,40,,,
84.22,,,,,,,,76.1904761905,,,,,,,25,
86.18,,,,,,,,,29.4117647059,,,,,,,
