Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
0,4,0,98,100,0,0,0,2.6315789474,6.7567567568,5.5555555556,0,4.1666666667,1.9230769231,0,8.9743589744,0
2.86,,,97,,,,,,,,,,,,,
5.72,,,96,,,,,,,,,,,,,
8.58,,,95,,,,,,,,,,,,,
11.58,,,94,,,,,,,,,,,,7.6923076923,
14.3,,,93,,,,,,,,,,,,,
15.96,,,,,,,,,5.4054054054,,,,,,,
17.16,,,92,,,,,,,,,,,,,
20.02,,,91,,,,,,,,,,,,,
22.88,,,90,,,,,,,,,,,,,
23.62,,,,,,,,,,,,,,,6.4102564103,
25.74,,,89,,,,,,,,,,,,,
28.6,,,88,,,,,,,,,2.7777777778,,,,
31.46,,,87,,,,,,,,,,,,,
33.76,,,,,,,,,4.0540540541,,,,,,,
34.6,,,86,,,,,,,,,,0,,,
36.48,,,,,,,,,,,,,,,5.1282051282,
37.18,,,85,,,,,,,,,,,,,
40.04,,,84,96.2962962963,,,,,,,,,,,,
42.9,,,83,,,,,,,,,,,,,
45.76,,,82,,,,,,,,,,,,,
48.62,,,81,,,,,,,,,,,,,
49.24,8,4,,,,,,,,,,,,,3.8461538462,
51.48,,,80,,,,,0,2.7027027027,,,,,,,
54.34,,,79,,,,,,,,,,,,,
57.2,,,78,,,,,,,,,,,,,
58.58,,,,,,,2.8571428571,,,,,,,,,
60.06,,,77,,,,,,,,,,,,,
62.92,,,76,,,,,,,,,,,,2.5641025641,
64.2,,,,,,,,,,,,1.3888888889,,,,
65.78,,,75,,,,,,,,,,,,,
67.72,,,,,,,,,1.3513513514,,,,,,,
68.64,,,74,,,,,,,,,,,,,
69.72,,,,,,,5.7142857143,,,,,,,,,
70.24,,,,92.5925925926,,,,,,,,,,,,
71.5,,,73,,,,,,,,,,,,,
74.36,,,72,,,,,,,,,,,,,
77.26,,,71,,,,,,,,,,,,1.2820512821,
78.2,,,,,,,,,,0,,,,,,
80.08,,,70,,,,,,,,,,,,,
82.98,,,69,,,,,,,,3.2258064516,,,,,
83.52,,,,,,,8.5714285714,,,,,,,3.5714285714,,2.8571428571
84.64,12,8,,,,,,,,,,,,,,
86.16,,,68,,,,,,0,,,,,,,
88.18,,,,,6.6666666667,,,,,,,,,,,
88.66,,,67,,,,,,,,,,,,,
89.92,,,,,,,11.4285714286,2.6315789474,,,,,,,,
90.4,,,,,,,,,,,,,1.9230769231,,,
91.52,,,66,,,,,,,,,,,,,
94.38,,,65,,,,,,,,,,,,,
96.24,,,,,,,,,,,,,,,0,
96.58,,,,88.8888888889,,,14.2857142857,,,,6.4516129032,,,,,
97.32,,,64,,,,,,,,,,,,,5.7142857143
100.1,,,63,,,,,,,,,,,,,
102.96,,,62,,,,,,,,,,,,,
104.42,,,,,,,17.1428571429,5.2631578947,,,,,,,,
105.82,,,61,,,,,,,,9.6774193548,,,,,
106.52,,,,,13.3333333333,,,,,,,,,7.1428571429,,
108.68,,,60,,,,,,,,,,,,,
109.8,,,,,,,,,,,,0,,,,8.5714285714
111.54,,,59,,,,,,,,,,,,,
112.74,,,,,,,20,,,,,,,,,
114.4,,,58,,,5.2631578947,,,,,12.9032258065,,,,,
117.26,,,57,,,,,,,,,,,,,
117.86,,,,,,,,7.8947368421,,,,,,,,
119.64,16,12,,85.1851851852,,,22.8571428571,,,,,,,,,
120.18,,,56,,,,,,,,,,,,,11.4285714286
122.2,,,,,,,,,,,,,3.8461538462,,,
122.98,,,55,,,,,,,,,,,,,
123.5,,,,,,,,,,,16.1290322581,,,,,
124.54,,,,,20,,25.7142857143,,,,,,,10.7142857143,,
125.84,,,54,,,,,,,,,,,,,
127.36,,,,,,,,10.5263157895,1.3513513514,,,,,,,
128.7,,,53,,,,,,,,,,,,,
130.08,,,,,,,28.5714285714,,,,,,,,,14.2857142857
130.62,,,,,,,,,,,19.3548387097,,,,,
131.56,,,52,,,,,,,,,,,,,
134.42,,,51,,,,,,,,,,,,,
135.74,,,,,,,,13.1578947368,,,,,,,,
136.38,,,,,,10.5263157895,31.4285714286,,,,,,,,,
137.28,,,50,,,,,,,,,,,,,
138.46,,,,,,,,,,5.5555555556,22.5806451613,,,,,17.1428571429
139.04,,,,,,,,,,,,,5.7692307692,14.2857142857,,
140.22,,,49,,26.6666666667,,,,,,,,,,,
140.64,,,,81.4814814815,,,,,,,,,,,,
143,,,48,,,,34.2857142857,,,,,,,,,
143.4,20,,,,,,,15.7894736842,2.7027027027,,,,,,,
145.86,,,47,,,,,,,,25.8064516129,,,,,
146.4,,16,,,,,,,,,,,,,1.2820512821,20
147.04,,,,,,,37.1428571429,,,,,,,,,
148.72,,,46,,,,,,,,,,,,,
150.56,,,,,,,,18.4210526316,,,,,,,,
150.78,,,,,,,,,,,,,7.6923076923,17.8571428571,,
151.58,,,45,,,,40,,,,29.0322580645,,,,,
152.04,,,,,33.3333333333,15.7894736842,,,,,,,,,,
153.64,,,,,,,,,,,,,,,,22.8571428571
154.44,,,44,,,,,,,,,,,,,
156.28,,,,,,,42.8571428571,,,,,,,,,
156.74,,,,,,,,21.0526315789,4.0540540541,,,,,,,
157.3,,,43,,,,,,,,,,,,,
