Time (min),cwo_ANIMO,cwo_ODE,
626.2267, ,45.87,
628.7883, ,45.2885,
629.592, ,44.7099,
631.2996, ,44.1342,
635.5689, ,43.5615,
640.893, ,43.0073,
642.3997, ,42.456,
643.7056, ,41.9077,
645.4134, ,41.3624,
646.2672, ,40.8321,
647.5228, ,40.3048,
647.9247, ,39.7805,
653.9016, ,39.2593,
655.9,33.3333, ,
656.9153, ,38.7505,
662.4402, ,38.2448,
663.7461, ,37.7421,
664.5497, ,37.2425,
665.4036, ,36.7535,
667.5633, ,36.2675,
673.9421, ,35.7846,
675.248, ,35.3047,
682.0789, ,34.834,
683.3345, ,34.3664,
684.5902, ,33.9018,
686.2979, ,33.4403,
691.0192, ,32.9868,
693.9825, ,32.5364,
694.8365, ,32.089,
696.5441, ,31.6447,
699.5075, ,31.2075,
702.5212, ,30.7734,
702.54,26.6667, ,
706.3384, ,30.3423,
708.046, ,29.9142,
711.0597, ,29.4925,
713.6212, ,29.0739,
714.8769, ,28.6583,
716.9864, ,28.2457,
718.6941, ,27.8389,
719.548, ,27.4351,
722.5616, ,27.0344,
723.2648, ,26.6367,
728.9404, ,26.2442,
731.502, ,25.8547,
733.511, ,25.4683,
734.0635, ,25.0848,
734.9174, ,24.7063,
736.173, ,24.3307,
736.625, ,23.9581,
737.4789, ,23.5885,
739.1866, ,23.2234,
742.15, ,22.8614,
744.1591, ,22.5023,
746.0175, ,22.1461,
746.4,20, ,
747.2731, ,21.7943,
750.2365, ,21.4455,
753.2501, ,21.0996,
754.8071, ,20.7566,
756.2135, ,20.7364,
758.775, ,20.7162,
761.7886, ,20.696,
762.1904, ,20.6758,
763.0443, ,20.6725,
764.752, ,20.6692,
765.4552, ,20.6659,
767.3136, ,20.6626,
769.8751, ,20.6605,
771.5829, ,20.6583,
773.6924, ,20.6561,
778.8155, ,20.6539,
781.3771, ,20.6517,
781.7789, ,20.6495,
782.6327, ,20.6473,
784.3405, ,20.6451,
790.3174, ,20.6429,
793.331, ,20.6406,
797.1483, ,20.6384,
798.856, ,20.6362,
802.6732, ,20.625,
805.6868, ,20.6138,
807.3945, ,20.6026,
808.6501, ,20.5915,
809.956, ,20.5357,
811.6638, ,20.48,
812.0656, ,20.4244,
812.12,13.3333, ,
813.6226, ,20.3688,
814.6272, ,20.3161,
815.0289, ,20.2635,
815.8828, ,20.2109,
816.7367, ,20.1584,
818.4444, ,19.897,
825.2752, ,19.6374,
826.9829, ,19.3795,
831.2522, ,19.1235,
833.3617, ,18.741,
835.5215, ,18.3626,
840.1925, ,17.9882,
841.4984, ,17.6179,
844.06, ,17.274,
846.6216, ,16.9336,
848.2791, ,16.5968,
849.585, ,16.2636,
850.4388, ,15.9523,
852.5484, ,15.6441,
856.4157, ,15.3392,
859.3791, ,15.0374,
859.8312, ,14.7569,
861.5389, ,14.4793,
864.22,6.6667, ,
864.5023, ,14.2045,
865.3561, ,13.9326,
867.0638, ,13.6788,
868.3195, ,13.4277,
869.6254, ,13.1791,
872.5888, ,12.9331,
873.8947, ,12.6988,
874.7485, ,12.4669,
877.3101, ,12.2375,
879.4196, ,12.0105,
882.383, ,11.7848,
884.0907, ,11.5616,
886.6523, ,11.3409,
888.812, ,11.1227,
892.6293, ,10.89,
895.1908, ,10.6602,
896.8985, ,10.4334,
897.7524, ,10.2095,
899.4601, ,9.9875,
900.314, ,9.7685,
901.1678, ,9.5524,
907.9986, ,9.3394,
908,0, ,
912.2679, ,9.125,
914.3774, ,8.9138,
916.4869, ,8.7057,
919.5005, ,8.5007,
921.6101, ,8.2912,
922.0621, ,8.085,
925.0255, ,7.8822,
927.587, ,7.6826,
929.2948, ,7.4757,
931.0024, ,7.2724,
933.564, ,7.0727,
937.8333, ,6.8766,
938.2351, ,6.6708,
940.7967, ,6.469,
944.2121, ,6.2712,
945.518, ,6.0773,
947.1755, ,5.8728,
948.0293, ,5.6727,
948.8832, ,5.477,
949.7371, ,5.2856,
950.5909, ,5.0846,
952.7506, ,4.8884,
954.8601, ,4.697,
955.3122, ,4.5104,
957.8738, ,4.3173,
959.1294, ,4.1295,
959.8326, ,3.9467,
960.4353, ,3.769,
962.143, ,3.5892,
964.6544, ,3.4148,
966.8141, ,3.2455,
968.5219, ,3.0813,
969.7775, ,3.0127,
972.3391, ,2.9451,
973.1929, ,2.8784,
976.2065, ,2.8125,
977.9142, ,2.7476,
980.8776, ,2.6835,
982.9871, ,2.6203,
986.0007, ,2.558,
989.818, ,2.4449,
989.818, ,2.3347,
992.8315, ,2.2274,
994.0872, ,2.1229,
997.0506, ,2.0178,
1001.7719, ,1.9156,
1002.6257, ,1.8165,
1003.4796, ,1.7203,
1005.1873, ,1.6203,
1006.0412, ,1.5236,
1009.0045, ,1.4301,
1012.0182, ,1.3399,
1012.8218, ,1.2468,
1014.5295, ,1.1573,
1017.5431, ,1.0714,
1018.397, ,0.989,
1018.7988, ,0.9048,
1020.5064, ,0.8246,
1022.2142, ,0.7482,
1023.068, ,0.6758,
1025.2277, ,0.6032,
1027.5885, ,0.535,
1029.4468, ,0.4709,
1033.3143, ,0.4111,
1036.2777, ,0.3532,
1038.4374, ,0.2998,
1040.999, ,0.2509,
1041.8528, ,0.2064,
1043.5605, ,0.1656,
1047.3778, ,0.1293,
1050.3412, ,0.0976,
1051.6471, ,0.0703,
1053.2041, ,0.0476,
1057.5235, ,0.0292,
1058.8797, ,0.0153,
1059.7335, ,0.0058,
1061.4413, ,0.0008,
1063.5508, ,0,
1065.7105, ,0.0035,
