Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
0,32,24,0,7.4074074074,52.9411764706,33.3333333333,64.1025641026,40,14.2857142857,15.7894736842,51.4285714286,1.4705882353,19.6078431373,36.6666666667,6.0240963855,42.5
4.24,,,,,,,66.6666666667,42.2222222222,15.5844155844,,,,,,,
4.7,,,,,,,,,,,54.2857142857,,,,,45
6.02,,,,,,,,,,,,,,,7.2289156627,
6.52,,,,,,,,,,,,,21.568627451,40,,
8.58,,,,,,,69.2307692308,44.4444444444,16.8831168831,,,,,,,
9.2,,,,,58.8235294118,,,,,,57.1428571429,,,,,47.5
9.78,,,,,,38.0952380952,,,,,,,,,,
11.7,,,,,,,,,,,,,,,8.4337349398,
12.4,,,,,,,,,18.1818181818,,,,,,,
12.66,,,,,,,,,,,,,23.5294117647,,,
12.82,,,,,,,71.7948717949,46.6666666667,,,,,,43.3333333333,,
13.78,,,,,,,,,,,60,,,,,50
15.36,,,,,,,,,,21.0526315789,,,,,,
16,36,,,,,,,,19.4805194805,,,,,,,
17.16,,,,,,,,48.8888888889,,,,,,,,
17.44,,28,,,,,74.358974359,,,,,,,,9.6385542169,
18.18,,,,,64.7058823529,,,,,,62.8571428571,2.9411764706,25.4901960784,,,52.5
18.98,,,,,,42.8571428571,,,,,,,,46.6666666667,,
19.6,,,,,,,,,20.7792207792,,,,,,,
21.04,,,,,,,,51.1111111111,,,,,,,,
21.48,,,,,,,76.9230769231,,,,,,,,,
22.18,,,,,,,,,,,,,,,10.843373494,
22.88,,,,,,,,,,,,,,,,55
23.04,,,,,,,,,22.0779220779,,65.7142857143,,27.4509803922,,,
25.04,,,,,,,,53.3333333333,,,,,,50,,
25.82,,,,,,,79.4871794872,,,,,,,,,
26.34,,,,,,,,,23.3766233766,,,,,,,
26.86,,,,,70.5882352941,,,,,,,,,,12.0481927711,57.5
27.28,,,,,,,,,,,68.5714285714,,,,,
