Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,pdp1,PDP1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
0,4,3,57,35,4,1,11,12,27,4,6,9,14,9,20,5,
2.86, , ,56, , , , , , , , , , , , , ,
5.72, , ,55, , , , , , , , , , , , , ,
6.72, , , , , , , , , , ,7, , , , , ,
6.92, , , , , , ,12,13, , , , , , , ,6,
8.58, , ,54, , , , , , , , , , , , , ,
11.44, , ,53, , , , , , , , , , ,10, , ,
12.56, , , , , , , , , , ,8, , , , , ,
13.7, , , , ,5,2, ,14,28, , , , , , , ,
14.3, , ,52, , , ,13, , , , , , , , ,7,
17.16, , ,51, , , , , , , , , , , , , ,
17.94, , , , , , , , , , , , ,15, , , ,
19.1, , , , , , , , , , ,9, , , , , ,
20.02, , ,50, , , , , , , , , , , , , ,
20.54, , , , , , , ,15, , , , , , , , ,
21.8, , , ,34, , , , , , , , , , , ,8,
22.88, , ,49, , , ,14, , , , , , ,11, , ,
24.2,5, , , , , , , ,29, , , , , , , ,
25.12, , , , , , , , , , ,10, , , , , ,
25.74, , ,48, , , , , , , , , , , , , ,
26.94, ,4, , , , , ,16, , , , , , , , ,
27.54, , , , ,6,3,15, , , , , , , , , ,
28.6, , ,47, , , , , , , , , , , ,21,9,
31.66, , ,46, , , , , , ,5,11, , , , , ,
32.72, , , , , , , , , , , , ,16, , , ,
32.92, , , , , , ,16,17,30, , , , ,12, , ,
34.32, , ,45, , , , , , , , , , , , , ,
34.82, , , , , , , , , , , , , , , ,10,
37.18, , ,44, , , , , , , , , , , , , ,
37.7, , , , , , , , , , ,12, , , , , ,
38.42, , , , , , ,17,18, , , , , , , , ,
40.04, , , , ,7,4, , , , , , , , , , ,
40.12, , ,43, , , , , ,31, , , , , , , ,
41.52, , , , , , , , , , , , , , , ,11,
41.8, , , ,33, , , , , , , , , , ,22, ,
42.5, , , , , , , , , , , , ,17,13, , ,
42.9, , ,42, , , , , , , , , , , , , ,
44.54, , , , , , ,18,19, , ,13, , , , , ,
45.76, , ,41, , , , , , , , , , , , , ,
46.74,6, , , , , , , ,32, , , , , , , ,
47.48, , , , , , , , , , , , , , , ,12,
48.62, , ,40, , , , , , , , , , , , , ,
50.3, , , , , , , ,20, , ,14, , , , , ,
51.76, , ,39, , ,5,19, , , , , ,18,14, , ,
53.1, ,5, , , , , , ,33, , , , , ,23, ,
54, , , , , , , , , , , , , , , ,13,
54.34, , ,38, ,8, , , , , , , , , , , ,
55.72, , , , , , ,20, , , , , , , , , ,
56.06, , , , , , , ,21, ,6,15,10, , , , ,
57.2, , ,37, , , , , , , , , , , , , ,
58.52, , , , , , , , ,34, , , , , , , ,
59.9, , , , , , , , , , , , , , , ,14,
60.06, , , , , , , , , , , , ,19,15, , ,
60.3, , ,36,32, , , , , , , , , , , , ,
60.88, , , , , , ,21,22, , , , , , , , ,
61.44, , , , , , , , , , ,16, , , , , ,
62.22, , , , , , , , , , , , , , ,24, ,
62.94, , ,35, , ,6, , , , , , , , , , ,
63.82, , , , , , , , ,35, , , , , , , ,
65.78, , ,34, , , , , , , , , , , , ,15,
66.7,7, , , ,9, ,22,23, , , , , , , , ,
67.22, , , , , , , , , , ,17, , , , , ,
67.88, , , , , , , , , , , , ,20,16, , ,
68.8, , ,33, , , , , ,36, , , , , , , ,
70.58, , , , , , , , , , , , , , ,25, ,
71.78, , ,32, , , , ,24, , , , , , , ,16,
73.48, , , , , ,7,23, ,37, ,18, , , , , ,
74.7, , ,31, , , , , , ,7, , , , , , ,
75.42, , , , , , , , , , , , ,21, , , ,
76.02, , , , , , , , , , , , , ,17, , ,
77.24, , , , , , , ,25, , , , , , , , ,
77.58, , ,30, , , , , , , , , , , , ,17,
77.9, , , ,31, , , , , , , , , , ,26, ,
78.2, ,6, , , , ,24, ,38, , , , , , , ,
78.96, , , , , , , , , , ,19, , , , , ,
79.34, , , , ,10, , , , , , , , , , , ,
80.08, , ,29, , , , , , , , , , , , , ,
82.26, , , , , , , ,26,39, , ,11,22, , , ,
82.94,8, , , , , , , , , , , , , , ,18,
83.14, , ,28, , ,8, , , , , , , , , , ,
83.7, , , , , , ,25, , , , , , ,18, , ,
84.12, , , , , , , , , , , , , , ,27, ,
85.2, , , , , , , , , , ,20, , , , , ,
85.8, , ,27, , , , , , , , , , , , , ,
86.5, , , , , , , , ,40, , , , , , , ,
87.32, , , , , , , ,27, , , , , , , , ,
88.66, , ,26, , , , , , , , , ,23, , ,19,
89.44, , , , , , ,26, , , , , , , , , ,
90.6, , , , , , , , , , , , , , ,28, ,
90.94, , , , , , , , ,41, , , , , , , ,
90.98, , , , , , , , , ,8,21, , ,19, , ,
91.52, , ,25, , , , , , , , , , , , , ,
92.34, , , , ,11,9, ,28, , , , , , , , ,
94.38, , , , , , , , , , , , , , , ,20,
94.5, , ,24,30, , , , ,42, , , ,24, , , ,
96.12, , , , , , ,27, , , , , , , ,29, ,
97.24, , ,23, , , , ,29, , ,22, , , , , ,
98.32,9,7, , , , , , ,43, , , , ,20, , ,
99.78, , , , , , , , , , , , , , , ,21,
100.1, , ,22, , , , , , , , ,12,25, , , ,
101.64, , , , , , ,28, , , , , , , , , ,
101.78, , , , , , , ,30,44, , , , , ,30, ,
102.96, , ,21, , ,10, , , , , , , , , , ,
104.02, , , , , , , , , , ,23, , , , , ,
105.42, , , , , , , , , , , , , , , ,22,
105.76, , , , , , , , ,45, , , , , , , ,
105.84, , ,20, , , , , , ,9, , ,26,21, , ,
106.78, , , , , , , , , , , , , , ,31, ,
107.06, , , , ,12, ,29,31, , , , , , , , ,
108.92, , ,19, , , , , ,46, , , , , , , ,
