Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
70.84,,,,,,,,61.0169491525,,,,,,,,
71.162,,,,100,,,,,,,,,,,,
71.6,,,,,,,,,88.4615384615,,,,,,,
72.16,,,,98.9795918367,,,,,,,,,,89.2857142857,45,
73.14,,,,100,,,,62.7118644068,,,,,,,,
73.886,,,,,,76.9230769231,,,,,,,,,,
74.32,,,,98.9795918367,,,94.8717948718,,,,,,,,,
74.888,,,,100,,,,,,,,,,,,
76.072,,,,,,,,64.406779661,,,,,,,,
76.38,,,,98.9795918367,,,,,,,,,,,,
76.61,,,,,,,,,90.3846153846,,97.5,,,,,94.2857142857
77.026,,,,100,,,,,,,,,,,,
77.518,,,,,,,,,,,,,,,47.5,
78.426,,,,98.9795918367,,,,66.1016949153,,,,,,,,
78.936,,,,100,,,,,,,,,,,,
80.242,,,,98.9795918367,,,,,,,,,,,,
81.15,,,,100,,,,67.7966101695,92.3076923077,,,,,92.8571428571,,
82.246,,,,98.9795918367,,,92.3076923077,,,,,,,,,
82.984,,,,100,,,,,,,,,,,50,
83.44,,,,,,,,69.4915254237,,,,,,,,
84.168,,,,98.9795918367,,,,,,,,,,,,
85.14,,,,100,,,,,,61.5384615385,,21.7391304348,,,,97.1428571429
86.192,,,,,,,,71.186440678,94.2307692308,,,,,,,
86.5,,,,98.9795918367,,,,,,,,,,,,
86.626,,,,,,,89.7435897436,,,,100,,,,,
87.032,,,,100,,,,,,,,,,,,
88.414,,,,,,,,,,,,,,,52.5,
88.5,,,,98.9795918367,,,,,,,,,,,,
88.602,,,,,,,,72.8813559322,,,,,,,,
89.322,,,,100,,84.6153846154,,,,,,,,,,
90.47,,,,98.9795918367,,,,,,,,,,,,
91.16,,,,100,,,87.1794871795,74.5762711864,,,,,,,,
92.264,,,,,,,,,96.1538461538,,,,,,,
92.46,,,,98.9795918367,,,,,,,,,,96.4285714286,,
93.36,,,,100,,,,,,,,,,,,
93.48,,,,,,,,76.2711864407,,,,,,,55,
94.288,,,,98.9795918367,,,,,,,,,,,,
95.128,,,,100,,,,,,,,,,,,
95.96,,,,,,,84.6153846154,,,,,,,,,
96.312,,,,,,,,77.9661016949,,,,,,,,
96.586,,,,98.9795918367,,,,,,,,,,,,
97.494,,,,100,,,,,,,,,,,,
97.82,,,,,,,,,,,,,,,,100
98.636,,,,98.9795918367,,,,79.6610169492,98.0769230769,,,,,,57.5,
99.176,,,,,,,,,,,,26.0869565217,,,,
99.31,,,,100,,,82.0512820513,,,,,,,,,
100.104,,,,,,,,,,69.2307692308,,,,,,
100.36,,,,98.9795918367,,,,,,,,,,,,
101.2,,,,,,,,81.3559322034,,,,,,,,
101.512,,,,100,,,,,,,,,,,,
102.384,,,,98.9795918367,,,79.4871794872,,,,,,,,,
103.36,,,,100,,,,,,,,,,,,
103.66,,,,,,,,83.0508474576,,,,,,,60,
104.408,,,,98.9795918367,,,,,,,,,,,,
105.596,,,,100,,,,,,,,,,,,
105.84,,,,,,,76.9230769231,84.7457627119,,,,,,,,
106.64,,,,98.9795918367,,,,,,,,,,,,
106.948,,,,,,92.3076923077,,,100,,,,,,,
107.272,,,,100,,,,,,,,,,,,
108.456,,,,98.9795918367,,,,86.4406779661,,,,,,,,
108.88,,,,,,,74.358974359,,,,,,,,62.5,
109.652,,,,100,,,,,,,,,,,,
110.74,,,,98.9795918367,,,,,,,,,,,,
111.004,,,,,,,,88.1355932203,,,,,,,,
111.4,,,,100,93.75,,71.7948717949,,,,,30.4347826087,,,,
112.504,,,,98.9795918367,,,,,,,,,,,,
113.344,,,,,,,,89.8305084746,,,,,,,,
113.66,,,,100,,,,,,,,,,,,
113.94,,,,,,,,,,,,,,100,,
114.16,,,,,,,69.2307692308,,,,,,,,65,
114.528,,,,98.9795918367,,,,,,,,,,,,
115.368,,,,,,,,,,76.9230769231,,,,,,
115.68,,,,100,,,,91.5254237288,,,,,,,,
116.552,,,,98.9795918367,,,66.6666666667,,,,,,,,,
117.392,,,,100,,,,,,,,,,,,
118.18,,,,,,,,93.2203389831,,,,,,,,
118.576,,,,98.9795918367,,,,,,,,,,,,
119.116,,,,,,,64.1025641026,,,,,,,,,
119.48,,,,100,,,,,,,,,,,67.5,
120.7,,,,98.9795918367,,,,94.9152542373,,,,,,,,
121.6,,,,100,,,,,,,,,,,,
121.82,,,,,,,61.5384615385,,,,,,,,,
122.624,,,,98.9795918367,,,,,,,,34.7826086957,,,,
123.464,,,,,,,,96.6101694915,,,,,,,,
123.68,,,,100,,,58.9743589744,,,,97.5,,,,,
124.86,,,,98.9795918367,,,,,,,,,,,70,
125.8,,,,100,,,,,,,,,,,,
125.876,,,,,,,56.4102564103,98.3050847458,,,,,,,,
126.672,,,,98.9795918367,,,,,,,,,,,,
127.84,,,,100,,,53.8461538462,,,,,,,,,
128.696,,,,98.9795918367,87.5,,,100,,,,,,,,
129.62,,,,100,,,,,,,,,,,,
129.932,,,,,,,51.2820512821,,,,,,,,,97.1428571429
130.72,,,,98.9795918367,,,,,,,,,,,72.5,
131.56,,,,100,,,,,,84.6153846154,,,,,,
132.16,,,,,,,48.7179487179,,,,95,,,,,
132.744,,,,98.9795918367,,,,,,,,39.1304347826,,,,
133.792,,,,100,,,,,,,,,,,,
133.988,,,,,,,46.1538461538,,,,,,,,,
134.768,,,,98.9795918367,,,,,,,,,,,,
135.608,,,,100,,,43.5897435897,,,,,,,,,
136.24,,,,,,,,,,,,,,,75,
136.86,,,,98.9795918367,,100,,,98.0769230769,,,,,,,
137.632,,,,100,,,41.0256410256,,,,,,,,,
138.36,,,,,,,,,,,92.5,,,,,
139.122,,,,98.9795918367,,,,,,,,,,,,
139.396,,,,,,,38.4615384615,,,,,,,,,
139.656,,,,100,81.25,,,,,,,,,,,
140.902,,,,98.9795918367,,,35.8974358974,,,,,,,96.4285714286,,94.2857142857
141.68,,,,100,,,,,,,,,,,,
142.26,,,,,,,,,,,,,,,77.5,
142.864,,,,98.9795918367,,,33.3333333333,,,,,,,,,
143.704,,,,100,,,,,,,90,43.4782608696,,,,
144.222,,,,,,,30.7692307692,,,,,,,,,
144.888,,,,98.9795918367,,,,,,,,,,,,
145.762,,,,100,,,28.2051282051,,,,,,,,,
147.22,,,,98.9795918367,,,,,,,,,,,,
147.508,,,,,,,25.641025641,,96.1538461538,,,,,,,
147.752,,,,100,,,,,,,,,,,,
148.34,,,,,,,,,,,87.5,,,,,
148.62,,,,,,,,,,,,,,,80,
148.936,,,,98.9795918367,75,,23.0769230769,,,,,,,,,91.4285714286
149.776,,,,100,,,,,,,,,,,,
150.54,,,,,,,20.5128205128,,,92.3076923077,,,,,,
150.96,,,,98.9795918367,,,,,,,,,,,,
151.934,,,,100,,,,,,,,,,,,
152.2,,,,,,,17.9487179487,,,,85,,,,,
153.322,,,,98.9795918367,,,15.3846153846,,,,,47.8260869565,,92.8571428571,,
154,,,,100,,,,,,,,,,,,
154.268,,,,,,,,,94.2307692308,,,,,,,
155.008,,,,,,,12.8205128205,,,,,,,,,
155.086,,,,98.9795918367,,,,,,,,,,,82.5,88.5714285714
156.016,,,,100,68.75,,10.2564102564,,,,82.5,,,,,
157.378,,,,98.9795918367,,,7.6923076923,,,,,,,,,
157.872,,,,100,,,,,,,,,,,,
159.056,,,,,,,5.1282051282,,,,,,,,,
159.32,,,,98.9795918367,,,,,,,,,,,,
159.676,,,,,,,,,92.3076923077,,80,,,,,
160.106,,,,100,,,,,,,,,,,,
160.346,,,,,,,2.5641025641,,,,,,,,,85.7142857143
161.08,,,,98.9795918367,,,,,,,,,,,,
161.472,,,,,,,0,,,,,,,,,
162.222,,,,100,,,,,,,,,,,85,
162.556,,,,,62.5,,,,,,77.5,,,89.2857142857,,
163.104,,,,98.9795918367,,,,,,,,,,,,
163.732,,,,,,,,,,,,52.1739130435,,,,
164.14,,,,100,,,,,90.3846153846,,,,,,,
165.466,,,,98.9795918367,,,,,,,,,,,,
165.72,,,,,,,,,,,,,,,,82.8571428571
165.968,,,,100,,,,,,,75,,,,,
167.152,,,,98.9795918367,,,,,,,,,,,,
167.992,,,,100,,,,,,,,,,,,
169.176,,,,,,,,,88.4615384615,,72.5,,,,,
169.396,,,,98.9795918367,,,,,,,,,,,,
169.68,,,,,56.25,,,,,,,,,,,
170.016,,,,100,,,,,,,,,,,87.5,
170.686,,,,,,,,,,,,,,,,80
171.222,,,,98.9795918367,,,,,,,,,,85.7142857143,,
172.3,,,,100,,,,,,,70,,,,,
173.224,,,,98.9795918367,,,,,,,,,,,,
174.064,,,,100,,,,,86.5384615385,,,,,,,
174.548,,,,,,,,,,,,56.5217391304,,,,
175.248,,,,98.9795918367,,,,,,,,,,,,
176.006,,,,,,,,,,,67.5,,,,,
176.088,,,,100,,,,,,,,,,,,77.1428571429
176.596,,,,,50,,,,,,,,,,,
177.272,,,,98.9795918367,,,,,,,,,,,,
178.112,,,,100,,,,,,,,,,,,
178.76,,,,,,,,,,,,,,,90,
179.06,,,,,,,,,84.6153846154,,,,,,,
179.296,,,,98.9795918367,,92.3076923077,,,,,65,,,,,
180.136,,,,100,,,,,,,,,,,,
180.842,,,,,,,,,,,,,,82.1428571429,,
181.646,,,,98.9795918367,,,,,,,,,,,,
181.74,,,,,,,,,,100,,,,,,74.2857142857
182.16,,,,100,,,,,,,,,,,,
182.7,,,,,,,,,,,62.5,,,,,
183.344,,,,98.9795918367,,,,,,,,,,,,
