Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,pdp1,PDP1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
0,6,4,46,34,7,6,18,25,41,9,18,12,22,17,26,18,
3.6, , ,45, , , , , , , , , , , , , ,
7.2, , ,44, , , , , , , , , , , , , ,
9.32, , , , , , , , ,42, , , , , , , ,
10.8, , ,43, , , , , , , , , , , , , ,
12.06, , , , , , , , , , , , , , ,27, ,
14.4, , ,42, , , , , , , , , , , , , ,
15.44, , , , , , , ,26, , , , , , , , ,
18.1, , ,41, , , , , ,43, , , , , , , ,
18.8, , , , , , , , , , , , ,23, , , ,
20, , , , , , , , , , , , , , , ,19,
21.6, , ,40, , , , , , , , , , , , , ,
22.8, , , ,33, , , , , , , , , , , , ,
23.38, , , , , , , , , , , , , ,18,28, ,
23.8, , , , , , , , , , ,19, , , , , ,
25.2, , ,39, , , , , , , , , , , , , ,
27.18, , , , , , , , ,44, , , , , , , ,
28.8, , ,38, , , , , , , , , , , , , ,
31.2, , , , , , , ,27, , , , , , , , ,
32.4, , ,37, , , , , , , , , , , , , ,
33.8, , , , , , , , , , , ,13, , , , ,
34.94, , , , , , , , , , , , , , ,29, ,
35.36, , , , , , , , , , , , ,24, , , ,
36, , ,36, , , , , ,45, , , , , , , ,
36.8, , , , , , , , , ,10, , , , , , ,
39.6, , ,35, , , , , , , , , , , , , ,
41.6, , , , , , , , , , , , , , , ,20,
43.2, , ,34, , , , , , , , , , , , , ,
44.58, , , ,32, , , , ,46, , , , , , , ,
45.82, , , , , , , , , , , , , , ,30, ,
46.8, , ,33, , , , , , , , , , , , , ,
47.3, , , , , , , ,28, , , , , ,19, , ,
50.4, , ,32, , , , , , , ,20, ,25, , , ,
52.92, , , , , , , , ,47, , , , , , , ,
54, , ,31, , , , , , , , , , , , , ,
56.92, , , , , , , , , , , , , , ,31, ,
57.6, , ,30, , , , , , , , , , , , , ,
60.2, , , , , ,7,17, , , , ,14, , , , ,
61.54, , ,29, , , , , ,48, , , , , , , ,
65, , ,28,31, , , , , , , , , , , , ,
66.96, , , , , , , , , , , , ,26, , , ,
68.4, , ,27, , , , , , , , , , , ,32, ,
70.46, , , , , , , , ,49, , , , , , , ,
71.5, , , , , , , ,29, , , , , , , , ,
72, , ,26, , , , , , , , , , , , , ,
72.8, , , , , , , , , ,11, , , , , , ,
75.6, , ,25, , , , , , , , , , , , , ,
78.2, , , , , , , , , , , , , , , ,21,
79.2, , ,24, , , , , ,50, , , , , ,33, ,
81.4, , , , , , , , , , , , , ,20, , ,
82.2, , , , , , , , , , , ,15,27, , , ,
82.8, , ,23, , , , , , , , , , , , , ,
85, , , ,30, , , , , , , , , , , , ,
86.4, , ,22, , , , , , , , , , , , , ,
87.58, , , , , , , , ,51, , , , , , , ,
90, , ,21, , , , , , , , , , , ,34, ,
93.6, , ,20, , , , , , , , , , , , , ,
96.5, , , , , , , ,30,52, , , , , , , ,
97.2, , ,19, , , , , , , , , , , , , ,
99.54, , , , , , , , , , , , ,28, , , ,
100.88, , ,18, , , , , , , , , , , ,35, ,
101.4, , , , , , ,16, , , , , , , , , ,
103.8, , , , , , , , , , , ,16, , , , ,
104.4, , ,17,29, , , , , , , , , , , , ,
104.98, , , , , , , , ,53, , , , , , , ,
108, , ,16, , , , , , , , , , , , , ,
110.6, , , , , , , , , ,12, , , , , , ,
111.6, , ,15, , , , , , , , , , , , , ,
112.2, , , , , , , , , , , , , , ,36, ,
113.74, , , , , , , , ,54, , , , , , , ,
115.2, , ,14, , , , , , , , , , , , , ,
118.8, , ,13, , , , , , , , , , , , , ,
119.54, , , , , , , , , , , , ,29, , , ,
122.4, , ,12,28, , , , , , , ,17, , , , ,
122.8,7, , , , , , , ,55, , , , , , , ,
123.76, , , , , , , , , , , , , , ,37, ,
126, , ,11, , , , , , , , , , , , , ,
126.4, , , , , , , , , , , , , ,21, , ,
127.2, , , , , , ,15, , , ,19, , , , , ,
128.6, ,5, , , , , , , , , , , , , , ,
129.6, , ,10, , , , , , , , , , , , , ,
132.2, , , , , , , , ,56, , , , , , , ,
133.2, , ,9, , , , , , , , , , , , , ,
135.56, , , , , , , , , , , , , , ,38, ,
136.9, , ,8, , , , , , , , , ,30, , , ,
140.02, , , ,27, , , , , , , , , , , , ,
140.4, , ,7, , , , , , , , , , , , , ,
141.48, , , , , , , , , , , ,18, , , , ,
141.94, , , , , , , , ,57, , , , , , , ,
144, , ,6, , , , , , , , , , , , , ,
145.1, , , , , , , ,31, , , , , , , , ,
147.62, , ,5, , , , , , , , , , , ,39, ,
151.2, , ,4, , , , , ,58, , , , , , , ,
154.04, , , , ,6, , , , , , , , , , , ,
154.2, , , , , , , , , ,13, , , , , , ,
154.8, , ,3, , , , , , , , , , , , , ,
156.76, , , ,26, , , , , , , , ,31, , , ,
157.9, , , , , , , , , , , ,19, , , , ,
158.4, , ,2, , , , , , , , , , , , , ,
159.94, , , , , , , , , , , , , , ,40, ,
160.56, , , , , , , , ,59, , , , , , , ,
162, , ,1, , , , , , , , , , , , , ,
165.6, , ,0, , , , , , , , , , , , , ,
170.4, , , , , , , , ,60, , , , , , , ,
172.56, , , , , , , , , , , , , , ,41, ,
173.46, , , ,25, , , , , , , , , , , , ,
175.96, , , , , , , , , , , ,20, , , , ,
179.36, , , , , , , , , , , , ,32, , , ,
180.8, , , , , , , , ,61, , , , , , , ,
185.52, , , , , , , , , , , , , , ,42, ,
191.6, , , ,24, , , , ,62, , , , ,22, , ,
194.44, , , , , , ,14, , , ,18,21, , , , ,
198.68, , , , , , , , , , , , ,33, ,43, ,
202.36, , , , , , , , ,63, , , , , , , ,
205.6, , , , , , , , , ,14, , , , , , ,
210.432, , , , , , , , , , , ,22, , , , ,
211.12, , , ,23, , , , , , , , , , , , ,
212.48, , , , , , , , , , , , , , ,44, ,
213.948, , , , , , , , ,64, , , , , , , ,
220.74, , , , , , , , , , , , ,34, , , ,
226.236, , , , , , , , ,65, , ,23, , ,45, ,
228.64, , , , , , ,13, , , , , , , , ,20,
230.44, , , , , , , , , , ,17, , , , , ,
232.64, , , ,22, , , , , , , , , , , , ,
238.78, , , , , , , , ,66, , , , , , , ,
241.96, , , , , , , , , , , , , , ,46, ,
243.5, , , , , , , , , , , ,24, , , , ,
247.234, , , , , , , , , , , , ,35, , , ,
252.14, , , , , , , , ,67, , , , , , , ,
255.68, , , ,21, , , , , , , , , , , , ,
258.56, , , , , , , , , , , , , , ,47, ,
261.546, , , , ,5,6,12, , , ,16,25, , , , ,
266.24, , , , , , , , ,68, , , , , , , ,
275.1, , , , , , , , , , , , , , ,48, ,
277.6, , , , , , , , , ,15, ,26, , , , ,
280.034, , , , , , , , , , , , ,36, , , ,
281.14, , , ,20, , , , ,69, , , , , , , ,
292.786, , , , , , , , , , , , , , ,49, ,
293.958, , , , , , , , , , , ,27, , , , ,
294.692, , , , , , ,11, , , , , , , , ,19,
297.24, , , , , , , , ,70, ,15, , , , , ,
309.12, , , ,19, , , , , , , , , , , , ,
311.7, , , , , , , ,30, , , ,28, , , , ,
313.144, , , , , , , , , , , , , , ,50, ,
317.364, , , , , , , , ,71, , , , , , , ,
319.052, , , , , , , , , , , , ,37, , , ,
329.5, , , , , , , , , , , ,29, , , , ,
334.244, , , , , , , , , , , , , , ,51, ,
335.088, , , , ,4, ,10, , , ,14, , ,21, , ,
339.2, , , , , , , , , , , , , , , ,18,
339.34, , , , , , , , ,72, , , , , , , ,
340.32, , , ,18, , , , , , , , , , , , ,
349.46, , , , , , , , , , , ,30, , , , ,
360.46, , , , , , , , , , , , , , ,52, ,
362.24,6,4, , , , ,9,29, , ,13, , , , , ,
371.94, , , , , , , , ,73, , ,31, , , , ,
375.12, , , ,17, , , , , , , , , , , ,17,
386.38, , , , , , ,8, , , ,12, , , , , ,
388.44, , , , ,3, , , , , , , , , , , ,
390.404, , , , , , , , , , , , , ,20, , ,
394.84, , , , , ,5, , , , , , , , , , ,
395.26, , , , , , , , , , , , , , ,53, ,
397.604, , , , , , , , , , , ,32, , , , ,
409.14, , , , , , , , ,74, , , , , , , ,
412.78, , , , , , , ,28, , , , , , , , ,
413.64, , , , , , , , , , , , , , , ,16,
414.12, , , ,16, , , , , , , , , , , , ,
419.204, , , , , , , , , , ,11, , , , , ,
427.26, , , , , , ,7, , , , ,33, , , , ,
438.14, , , , , , , , , , , , ,36, , , ,
445.84, , , , , , , , , , ,10, , , , ,15,
449.18, , , , , , , ,27, , , , , , , , ,
450.24, , , , , , , , , , , , , ,19, , ,
458.12, , , ,15, , , , , , , , , , , , ,
