Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
76.38, , , ,99, , , , , , , , , , , , ,
76.61, , , , , , , , ,54, ,39, , , , ,33,
77.026, , , ,100, , , , , , , , , , , , ,
77.518, , , , , , , , , , , , , , ,29, ,
78.426, , , ,99, , , ,80, , , , , , , , ,
78.936, , , ,100, , , , , , , , , , , , ,
80.242, , , ,99, , , , , , , , , , , , ,
81.15, , , ,100, , , ,81,55, , , , ,29, , ,
82.246, , , ,99, , ,36, , , , , , , , , ,
82.984, , , ,100, , , , , , , , , , ,30, ,
83.44, , , , , , , ,82, , , , , , , , ,
84.168, , , ,99, , , , , , , , , , , , ,
85.14, , , ,100, , , , , ,12, ,24, , , ,34,
86.192, , , , , , , ,83,56, , , , , , , ,
86.5, , , ,99, , , , , , , , , , , , ,
86.626, , , , , , ,35, , , ,40, , , , , ,
87.032, , , ,100, , , , , , , , , , , , ,
88.414, , , , , , , , , , , , , , ,31, ,
88.5, , , ,99, , , , , , , , , , , , ,
88.602, , , , , , , ,84, , , , , , , , ,
89.322, , , ,100, ,11, , , , , , , , , , ,
90.47, , , ,99, , , , , , , , , , , , ,
91.16, , , ,100, , ,34,85, , , , , , , , ,
92.264, , , , , , , , ,57, , , , , , , ,
92.46, , , ,99, , , , , , , , , ,30, , ,
93.36, , , ,100, , , , , , , , , , , , ,
93.48, , , , , , , ,86, , , , , , ,32, ,
94.288, , , ,99, , , , , , , , , , , , ,
95.128, , , ,100, , , , , , , , , , , , ,
95.96, , , , , , ,33, , , , , , , , , ,
96.312, , , , , , , ,87, , , , , , , , ,
96.586, , , ,99, , , , , , , , , , , , ,
97.494, , , ,100, , , , , , , , , , , , ,
97.82, , , , , , , , , , , , , , , ,35,
98.636, , , ,99, , , ,88,58, , , , , ,33, ,
99.176, , , , , , , , , , , ,25, , , , ,
99.31, , , ,100, , ,32, , , , , , , , , ,
100.104, , , , , , , , , ,13, , , , , , ,
100.36, , , ,99, , , , , , , , , , , , ,
101.2, , , , , , , ,89, , , , , , , , ,
101.512, , , ,100, , , , , , , , , , , , ,
102.384, , , ,99, , ,31, , , , , , , , , ,
103.36, , , ,100, , , , , , , , , , , , ,
103.66, , , , , , , ,90, , , , , , ,34, ,
104.408, , , ,99, , , , , , , , , , , , ,
105.596, , , ,100, , , , , , , , , , , , ,
105.84, , , , , , ,30,91, , , , , , , , ,
106.64, , , ,99, , , , , , , , , , , , ,
106.948, , , , , ,12, , ,59, , , , , , , ,
107.272, , , ,100, , , , , , , , , , , , ,
108.456, , , ,99, , , ,92, , , , , , , , ,
108.88, , , , , , ,29, , , , , , , ,35, ,
109.652, , , ,100, , , , , , , , , , , , ,
110.74, , , ,99, , , , , , , , , , , , ,
111.004, , , , , , , ,93, , , , , , , , ,
111.4, , , ,100,15, ,28, , , , ,26, , , , ,
112.504, , , ,99, , , , , , , , , , , , ,
113.344, , , , , , , ,94, , , , , , , , ,
113.66, , , ,100, , , , , , , , , , , , ,
113.94, , , , , , , , , , , , , ,31, , ,
114.16, , , , , , ,27, , , , , , , ,36, ,
114.528, , , ,99, , , , , , , , , , , , ,
115.368, , , , , , , , , ,14, , , , , , ,
115.68, , , ,100, , , ,95, , , , , , , , ,
116.552, , , ,99, , ,26, , , , , , , , , ,
117.392, , , ,100, , , , , , , , , , , , ,
118.18, , , , , , , ,96, , , , , , , , ,
118.576, , , ,99, , , , , , , , , , , , ,
119.116, , , , , , ,25, , , , , , , , , ,
119.48, , , ,100, , , , , , , , , , ,37, ,
120.7, , , ,99, , , ,97, , , , , , , , ,
121.6, , , ,100, , , , , , , , , , , , ,
121.82, , , , , , ,24, , , , , , , , , ,
122.624, , , ,99, , , , , , , ,27, , , , ,
123.464, , , , , , , ,98, , , , , , , , ,
123.68, , , ,100, , ,23, , , ,39, , , , , ,
124.86, , , ,99, , , , , , , , , , ,38, ,
125.8, , , ,100, , , , , , , , , , , , ,
125.876, , , , , , ,22,99, , , , , , , , ,
126.672, , , ,99, , , , , , , , , , , , ,
127.84, , , ,100, , ,21, , , , , , , , , ,
128.696, , , ,99,14, , ,100, , , , , , , , ,
129.62, , , ,100, , , , , , , , , , , , ,
129.932, , , , , , ,20, , , , , , , , ,34,
130.72, , , ,99, , , , , , , , , , ,39, ,
131.56, , , ,100, , , , , ,15, , , , , , ,
132.16, , , , , , ,19, , , ,38, , , , , ,
132.744, , , ,99, , , , , , , ,28, , , , ,
133.792, , , ,100, , , , , , , , , , , , ,
133.988, , , , , , ,18, , , , , , , , , ,
134.768, , , ,99, , , , , , , , , , , , ,
135.608, , , ,100, , ,17, , , , , , , , , ,
136.24, , , , , , , , , , , , , , ,40, ,
136.86, , , ,99, ,13, , ,58, , , , , , , ,
137.632, , , ,100, , ,16, , , , , , , , , ,
138.36, , , , , , , , , , ,37, , , , , ,
139.122, , , ,99, , , , , , , , , , , , ,
139.396, , , , , , ,15, , , , , , , , , ,
139.656, , , ,100,13, , , , , , , , , , , ,
140.902, , , ,99, , ,14, , , , , , ,30, ,33,
141.68, , , ,100, , , , , , , , , , , , ,
142.26, , , , , , , , , , , , , , ,41, ,
142.864, , , ,99, , ,13, , , , , , , , , ,
143.704, , , ,100, , , , , , ,36,29, , , , ,
144.222, , , , , , ,12, , , , , , , , , ,
