Time (min),PDP1_ANIMO,PDP1_ODE,
537.1245, ,99.4044,
538.8322, ,99.3065,
546.0649, ,99.2014,
546.9187, ,99.0889,
552.4437, ,98.9692,
555.0053, ,98.8268,
556.3112, ,98.6754,
558.0188, ,98.515,
558.4207, ,98.3458,
565.6533, ,98.1377,
566.9592, ,97.9177,
575.4977, ,97.686,
575.8996, ,97.4426,
577.6073, ,97.1151,
578.21, ,96.769,
578.9132, ,96.4044,
579.767, ,96.0217,
581.8765, ,95.6222,
583.9861, ,95.2051,
585.292, ,94.7706,
588.7074, ,94.3189,
590.8169, ,93.8509,
591.4699, ,93.3663,
593.8305, ,92.8654,
596.3921, ,92.3484,
598.5016, ,91.9197,
601.0631, ,91.4808,
602.7709, ,91.032,
604.4785, ,90.5732,
604.4785, ,90.1627,
605.7342, ,89.7449,
608.7478, ,89.3198,
610.8573, ,88.8875,
612.5651, ,88.4778,
612.5651, ,88.062,
613.871, ,87.6403,
615.5285, ,87.2126,
621.9574, ,86.7991,
622.8113, ,86.3804,
624.519, ,85.9565,
626.2267, ,85.5276,
628.7883, ,85.1088,
629.592, ,84.6854,
631.2996, ,84.2576,
635.5689, ,83.8253,
640.893, ,83.4007,
642.3997, ,82.972,
643.7056, ,82.5394,
645.4134, ,82.1028,
646.2672, ,81.6722,
647.5228, ,81.238,
647.9247, ,80.8002,
653.9016, ,80.359,
656.9153, ,79.9225,
662.4402, ,79.4827,
663.7461, ,79.0398,
664.5497, ,78.5938,
665.4036, ,78.1515,
667.5633, ,77.7064,
673.9421, ,77.2584,
675.248, ,76.8076,
682.0789, ,76.3599,
683.3345, ,75.9095,
684.5902, ,75.4566,
686.2979, ,75.0012,
691.0192, ,74.5483,
693.9825, ,74.0931,
694.8365, ,73.6355,
696.5441, ,73.1758,
699.5075, ,72.718,
702.5212, ,72.2581,
706.3384, ,71.7962,
708.046, ,71.3323,
711.0597, ,70.8701,
713.6212, ,70.406,
714.8769, ,69.94,
716.9864, ,69.4723,
718.6941, ,69.006,
719.548, ,68.538,
722.5616, ,68.0684,
723.2648, ,67.5972,
725.696,98.6486, ,
728.9404, ,67.1272,
731.502, ,66.6557,
733.511, ,66.1829,
734.0635, ,65.7087,
734.9174, ,65.2354,
736.173, ,64.7609,
736.625, ,64.2852,
737.4789, ,63.8084,
739.1866, ,63.3325,
742.15, ,62.8555,
743.18,97.2973, ,
744.1591, ,62.3775,
746.0175, ,61.8985,
747.2731, ,61.4204,
750.2365, ,60.9415,
753.2501, ,60.4617,
754.8071, ,59.9812,
756.2135, ,59.9527,
758.775, ,59.9242,
761.7886, ,59.8957,
762.04,95.9459, ,
762.1904, ,59.8672,
763.0443, ,59.8626,
764.752, ,59.8579,
765.4552, ,59.8533,
767.3136, ,59.8486,
769.8751, ,59.8455,
771.5829, ,59.8424,
773.6924, ,59.8393,
778.46,94.5946, ,
778.8155, ,59.8362,
781.3771, ,59.8331,
781.7789, ,59.83,
782.6327, ,59.8269,
784.3405, ,59.8238,
790.3174, ,59.8207,
792.078,93.2432, ,
793.331, ,59.8175,
797.1483, ,59.8144,
798.856, ,59.8112,
802.6732, ,59.7954,
803.662,91.8919, ,
805.6868, ,59.7796,
807.3945, ,59.7638,
808.6501, ,59.748,
809.956, ,59.669,
811.6638, ,59.5899,
812.0656, ,59.5109,
813.6226, ,59.4318,
814.6272, ,59.3566,
815.0289, ,59.2814,
815.8828, ,59.2062,
816.06,90.5405, ,
816.7367, ,59.131,
818.4444, ,58.7547,
825.2752, ,58.378,
826.98,89.1892, ,
826.9829, ,58.0009,
831.2522, ,57.6235,
833.3617, ,57.0541,
835.5215, ,56.484,
836.764,87.8378, ,
840.1925, ,55.9133,
841.4984, ,55.3421,
844.06, ,54.8053,
846.6216, ,54.2683,
847.236,86.4865, ,
848.2791, ,53.7309,
849.585, ,53.1933,
850.4388, ,52.6853,
852.5484, ,52.1773,
856.356,85.1351, ,
856.4157, ,51.6692,
859.3791, ,51.1611,
859.8312, ,50.6838,
861.5389, ,50.2066,
864.22,83.7838, ,
864.5023, ,49.7295,
865.3561, ,49.2526,
867.0638, ,48.8031,
868.3195, ,48.3538,
869.6254, ,47.9048,
872.5888, ,47.456,
872.94,82.4324, ,
873.8947, ,47.0245,
874.7485, ,46.5933,
877.3101, ,46.1625,
879.4196, ,45.732,
880.8,81.0811, ,
882.383, ,45.2999,
884.0907, ,44.8682,
886.6523, ,44.4371,
888.812, ,44.0065,
889.12,79.7297, ,
892.6293, ,43.5424,
895.1908, ,43.0791,
896.66,78.3784, ,
896.8985, ,42.6166,
897.7524, ,42.155,
899.4601, ,41.692,
900.314, ,41.2299,
901.1678, ,40.7688,
903.54,77.027, ,
907.9986, ,40.3088,
910.78,75.6757, ,
912.2679, ,39.8404,
914.3774, ,39.3732,
916.4869, ,38.9073,
918.4,74.3243, ,
919.5005, ,38.4427,
921.6101, ,37.9621,
922.0621, ,37.483,
925.0255, ,37.0056,
925.36,72.973, ,
