Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
213.948,,,,,,,,,75,,,,,,,
220.74,,,,,,,,,,,,,88.4615384615,,,
226.236,,,,,,,,,77.5,,,47.8260869565,,,70.9677419355,
228.64,,,,,,,72.2222222222,,,,,,,,,95
230.44,,,,,,,,,,,85,,,,,
232.64,,,,37.037037037,,,,,,,,,,,,
238.78,,,,,,,,,80,,,,,,,
241.96,,,,,,,,,,,,,,,74.1935483871,
243.5,,,,,,,,,,,,52.1739130435,,,,
247.234,,,,,,,,,,,,,92.3076923077,,,
252.14,,,,,,,,,82.5,,,,,,,
255.68,,,,33.3333333333,,,,,,,,,,,,
258.56,,,,,,,,,,,,,,,77.4193548387,
261.546,,,,,71.4285714286,85.7142857143,66.6666666667,,,,80,56.5217391304,,,,
266.24,,,,,,,,,85,,,,,,,
275.1,,,,,,,,,,,,,,,80.6451612903,
277.6,,,,,,,,,,100,,60.8695652174,,,,
280.034,,,,,,,,,,,,,96.1538461538,,,
281.14,,,,29.6296296296,,,,,87.5,,,,,,,
292.786,,,,,,,,,,,,,,,83.8709677419,
293.958,,,,,,,,,,,,65.2173913043,,,,
294.692,,,,,,,61.1111111111,,,,,,,,,90
297.24,,,,,,,,,90,,75,,,,,
309.12,,,,25.9259259259,,,,,,,,,,,,
311.7,,,,,,,,95.652173913,,,,69.5652173913,,,,
313.144,,,,,,,,,,,,,,,87.0967741935,
317.364,,,,,,,,,92.5,,,,,,,
319.052,,,,,,,,,,,,,100,,,
329.5,,,,,,,,,,,,73.9130434783,,,,
334.244,,,,,,,,,,,,,,,90.3225806452,
335.088,,,,,57.1428571429,,55.5555555556,,,,70,,,93.75,,
339.2,,,,,,,,,,,,,,,,85
339.34,,,,,,,,,95,,,,,,,
340.32,,,,22.2222222222,,,,,,,,,,,,
349.46,,,,,,,,,,,,78.2608695652,,,,
360.46,,,,,,,,,,,,,,,93.5483870968,
362.24,85.7142857143,80,,,,,50,91.3043478261,,,65,,,,,
371.94,,,,,,,,,97.5,,,82.6086956522,,,,
375.12,,,,18.5185185185,,,,,,,,,,,,80
386.38,,,,,,,44.4444444444,,,,60,,,,,
388.44,,,,,42.8571428571,,,,,,,,,,,
390.404,,,,,,,,,,,,,,87.5,,
394.84,,,,,,71.4285714286,,,,,,,,,,
395.26,,,,,,,,,,,,,,,96.7741935484,
397.604,,,,,,,,,,,,86.9565217391,,,,
409.14,,,,,,,,,100,,,,,,,
412.78,,,,,,,,86.9565217391,,,,,,,,
413.64,,,,,,,,,,,,,,,,75
414.12,,,,14.8148148148,,,,,,,,,,,,
419.204,,,,,,,,,,,55,,,,,
427.26,,,,,,,38.8888888889,,,,,91.3043478261,,,,
438.14,,,,,,,,,,,,,96.1538461538,,,
445.84,,,,,,,,,,,50,,,,,70
449.18,,,,,,,,82.6086956522,,,,,,,,
450.24,,,,,,,,,,,,,,81.25,,
458.12,,,,11.1111111111,,,,,,,,,,,,
470.66,,,,,,,,,,,,95.652173913,,,,
475.26,71.4285714286,,,,,,,,,,,,,,100,
476.04,,,,,28.5714285714,57.1428571429,,,,,45,,,,,
494.24,,,,,,,,,,,,,,,,65
508.12,,,,7.4074074074,,,,,,,,,,,,
513.98,,,,,,,,78.2608695652,,,,,,,,
523.94,,,,,,,,,97.5,,,,,,,
528.26,,,,,,,33.3333333333,,,,40,100,92.3076923077,75,,
533.24,,,,,,,,,,,,,,,,60
542.38,,60,,,,,,,,,,,,,,
553.86,57.1428571429,,,,,,,,,,,,,,,
557.18,,,,,,,,73.9130434783,,,,,,,,
560.26,,,,,,,27.7777777778,,,,35,,,,,
565.84,,,,3.7037037037,,,,,,,,,,,,
566.04,,,,,,42.8571428571,,,,,,,,,,55
566.804,,,,,,,,,,,,,,,96.7741935484,
588.74,,,,,,,,,95,,,,88.4615384615,,,
600.26,,,,,,,,,,,,,,68.75,,
606.98,,,,,,,,69.5652173913,,,,,,,,
615.04,,,,,,,,,,,,,,,,50
625.66,,,,,,,,,,88.8888888889,30,,,,,
627.46,,,,,,,,,,,,,,,93.5483870968,
630.66,,,,,,,,,,,,95.652173913,84.6153846154,,,
632.12,,,,0,,,,,,,,,,,,
633.74,,,,,,,,,92.5,,,,,,,
653.26,42.8571428571,40,,,14.2857142857,28.5714285714,22.2222222222,65.2173913043,,,,,,,,
668.64,,,,,,,,,90,,,,,,,
668.784,,,,,,,,,,,,,,,,45
673.26,,,,,,,,,,,,,,,90.3225806452,
680.26,,,,,,,,,,,,,80.7692307692,62.5,,
697.924,,,1,,,,,,,,,,,,,
703.924,,,2,,,,,,,,,,,,,
707.46,,,,,,,,,,,,91.3043478261,,,,
708.14,,,,,,,,,87.5,,,,,,,
709.064,,,3,,,,,,,,,,,,,
713.064,,,4,,,,,,,,,,,,,
716.664,,,5,,,,,60.8695652174,,,,,,,,
719.924,,,6,,,,,,,,,,,,,
723.26,,,7,,,,,,,,,,,,87.0967741935,
725.684,,,8,,,,,,,,,,,,,
726.724,,,,,,,16.6666666667,,,,25,,,,,40
728.244,,,9,,,,,,,,,,,,,
728.86,,,,,,,,,,,,,76.9230769231,,,
730.644,,,10,,,,,,,,,,,,,
732.884,,,11,,,,,,,,,,,,,
735.364,,,12,3.7037037037,,,,,,,,,,,,
736.46,,,,,,,,,,77.7777777778,,,,,,
737.244,,,13,,,,,,,,,,,,,
739.54,,,14,,,,,,85,,,,,,,
740.26,,,,,,,,,,,,,,56.25,,
741.14,,,15,,,,,,,,,,,,,
743.036,,,16,,,,,,,,,,,,,
744.836,,,17,,,,,,,,,,,,,
746.884,,,18,,,,,,,,,,,,,
748.352,,,19,,,,,,,,,,,,,
749.99,,,20,,,,,,,,,,,,,
751.66,28.5714285714,,21,,,,,,,,,,,,,
752.26,,,,,,,,,,,,86.9565217391,,,,
753.194,,,22,,,,,,,,,,,,,
754.76,,,23,,,,,,,,,,,,,
756.26,,,24,,,,,,,,,,,,,
757.76,,,25,,,,,,,,,,,,,
759.26,,,26,,,,,56.5217391304,,,,,,,,
760.64,,,27,,,,,,,,,,,,,
762.026,,,28,7.4074074074,,,,,,,,,73.0769230769,,,
762.46,,,,,,,,,,,,,,,83.8709677419,
763.412,,,29,,,,,,,,,,,,,
764.746,,,30,,,,,,,,,,,,,
765.34,,,,,,,,,82.5,,,,,,,
766.08,,,31,,,,,,,,,,,,,
767.366,,,32,,,,,,,,,,,,,
768.652,,,33,,,,,,,,,,,,,
769.924,,,34,,,,,,,,,,,,,
771.166,,,35,,,,,,,,,,,,,
772.408,,,36,,,,,,,,,,,,,
773.608,,,37,,,,,,,,,,,,,
774.808,,,38,,,,,,,,,,,,,
775.97,,,39,,,,,,,,,,,,,
776.46,,,,,,,,,,,,,,,,35
777.132,,,40,,,,,,,,,,,,,
778.564,,,41,11.1111111111,,,,,,,,,,,,
779.46,,,42,,,,22.2222222222,,,,,,,,,
780.546,,,43,,,,,,,,,,,,,
781.638,,,44,,,,,,,,,,,,,
782.73,,,45,,,,,,,,,,,,,
783.822,,,46,,,,,,,,,,,,,
784.88,,,47,,,,,,,,,,,,,
785.938,,,48,,,,,,,,,,,,,
787.204,,,49,,,,,,,,,,,,,
788.024,,,50,,,,,,,,,,,,,
789.208,,,51,,,,,,,,,,,,,
790.084,,,52,,,,,,,,,,,,,
791.348,,,53,14.8148148148,,,,,,,,,,,,
792.08,,,54,,,,,,,,,,,,,
793.368,,,55,,,,,,,,,,,,,
794.028,,,56,,,,,,80,,,,,,,
795.002,,,,,,,,,,,,,,,80.6451612903,
795.27,,,57,,,,,,,,,,,,,
795.95,,,58,,,,,,,,,,,,,
797.066,,,59,,,,,,,,,,,,,
797.846,,,60,,,,,,,,,,,,,
798.77,,,61,,,,,,,,,,,,,
799.86,,,62,,,,,,,,,82.6086956522,,,,
800.724,,,63,,,,,,,,,,69.2307692308,,,
801.604,,,64,18.5185185185,,,,,,,,,,,,
802.442,,,65,,,,,,,,,,,,,
803.512,,,66,,,,,,,,,,,,,
804.484,,,67,,,,,,,,,,,,,
805.12,,,68,,,,,,,,,,,,,
805.998,,,69,,,,,,,,,,,,,
806.876,,,70,,,,,,,,,,,,,
807.742,,,71,,,,,,,,,,,,,
808.592,,,72,,,,,,,,,,,,,
809.45,,,73,,,,,,,,,,,,,
810.562,,,74,22.2222222222,,,,,,,,,,,,
811.126,,,75,,,,,,,,,,,,,
811.964,,,76,,,,,,,,,,,,,
813.124,,,77,,,,,,,,,,,,,
813.98,,,78,,,,,,,,,,,,,
814.438,,,79,,,,,,,,,,,,,
815.256,,,80,,,,,,,,,,,,,
816.256,,,81,,,,,,,,,,,,,
817.06,,,82,,,,,,,,,,,,,
817.356,,20,,,,,16.6666666667,52.1739130435,,,20,,,50,,
817.94,,,83,,,,,,77.5,,,,,,,
818.602,,,84,,,,,,,,,,,,,
818.884,,,,25.9259259259,,,,,,,,,,,,
819.484,,,85,,,,,,,,,,,,,
820.02,,,86,,,,,,,,,,,,,
820.802,,,87,,,,,,,,,,,,,
821.764,,,88,,,,,,,,,,,,,
822.512,,,89,,,,,,,,,,,,,
823.116,,,90,,,,,,,,,,,,,
823.882,,,91,,,,,,,,,,,,,
824.644,,,92,,,,,,,,,,,,,
825.394,,,93,,,,,,,,,,,,,
826.324,,,94,29.6296296296,,,,,,,,,65.3846153846,,,
827.19,,,95,,,,,,,,,,,,,
827.628,,,96,,,,,,,,,,,,,
828.362,,,97,,,,,,,,,,,,,
829.26,,,98,,,,,,,,,,,,77.4193548387,
829.83,,,99,,,,,,,,,,,,,
830.668,,,100,,,,,,,,,,,,,
833.284,,,,33.3333333333,,14.2857142857,,,,,,,,,,
839.46,,,,,,,,,,66.6666666667,,78.2608695652,,,,
840.322,,,,37.037037037,,,,,,,,,,,,
844.34,,,,,,,,,75,,,,,,,
847.982,,,,40.7407407407,,,,,,,,,,,,
851.86,,,,,,,11.1111111111,,,,,,,,,30
855.324,,,,,,,,,,,,,61.5384615385,,,
856.324,,,,44.4444444444,,,,,,,,,,,,
858.52,,,,,,,,,,,,,,,74.1935483871,
864.522,,,,48.1481481481,,,,,,,,,,,,
869.492,,,,,,,,47.8260869565,72.5,,,,,,,
871.18,,,,,,,,,,,,73.9130434783,,,,
873.712,,,,51.8518518519,,,,,,,,,,,,
878.06,14.2857142857,,,,,,,,,,,,,,,
883.062,,,,55.5555555556,,,,,,,,,,,,
887.324,,,,,,,,,,,,,57.6923076923,,,
889.06,,,,,,,,,,,,,,43.75,70.9677419355,
893.302,,,,59.2592592593,,,,,,,,,,,,
893.86,,,,,,,,,70,,,,,,,
904.362,,,,62.962962963,,,,,,,,69.5652173913,,,,
911.924,,,,,,,,,,,,,53.8461538462,,,
916.382,,,,66.6666666667,,,,,,,,,,,,
919.684,,,,,,,,,,,,,,,67.7419354839,25
921.208,,,,,,,,,67.5,,,,,,,
925.46,,,,,,,,43.4782608696,,,,,,,,
929.582,,,,70.3703703704,,,,,,,,,,,,
937.26,,,,,,,,,,55.5555555556,15,65.2173913043,,,,
941.524,,,,,,,,,,,,,50,,,
944.262,,,,74.0740740741,,,,,65,,,,,,,
947.26,,,,,,,,,,,,,,,64.5161290323,
960.862,,,,77.7777777778,,,,,,,,,,,,
965.86,,,,,,,,,,,,60.8695652174,,,,
969.26,,,,,,,,,62.5,,,,46.1538461538,37.5,,
976.26,,,,,,,,,,,,,,,61.2903225806,
980.002,,,,81.4814814815,,,,,,,,,,,,
986.06,,,,,,,,39.1304347826,,,,,,,,
990.66,,,,,,,,,60,,,,,,,
996.06,,,,,,,,,,,,56.5217391304,,,,
998.26,,,,,,,,,,,,,42.3076923077,,,
1002.602,,,,85.1851851852,,,,,,,,,,,,
1006.86,,,,,,,,,,,,,,,58.064516129,
1009.46,,,,,,,,,,,,,,,,20
1014.06,,,,,,,,,57.5,,,,,,,
1028.26,,,,,28.5714285714,28.5714285714,16.6666666667,,,,,52.1739130435,,,,
1030.402,,,,88.8888888889,,,,,,,,,,,,
1033.06,,,,,,,,,,,,,,,54.8387096774,
1035.46,,,,,,,,,,,,,38.4615384615,,,
1040.008,,,,,,,,,55,,,,,,,
1045.46,,,,,,,,34.7826086957,,,,,,,,
1048.06,,,,,,,,,,44.4444444444,,,,,,
1055.86,,,,,,,,,,,,47.8260869565,,,,
1059.06,,,,,,,,,,,,,,31.25,,
1060.66,,,,,,,,,,,,,,,51.6129032258,
1061.86,,,,,,,,,52.5,,,,,,,
1066.06,,,,,,,,,,,,,34.6153846154,,,
1067.002,,,,92.5925925926,,,,,,,,,,,,
1081.66,,,,,,,,,,,10,,,,,
1085.26,,,,,,,,,,,,43.4782608696,,,,
1086.06,,,,,,,,,50,,,,,,,
1086.26,0,0,,,,,11.1111111111,30.4347826087,,,,,,,48.3870967742,15
1096.86,,,,,14.2857142857,,,,,,,,,,,
1106.46,,,,,,,,,47.5,,,,,,,
1107.46,,,,,,,,,,,,,30.7692307692,,,
1111.06,,,,,,,5.5555555556,,,,,,,25,45.1612903226,
1116.86,,,,,,,,,,,,39.1304347826,,,,
1117.26,,,,,,,,26.0869565217,,,,,,,,
1120.802,,,,96.2962962963,,,,,,,,,,,,
1121.66,,,,,,,,,,,5,,,,,
1124.62,,,,,,,,,45,,,,,,,
1132.86,,,,,,,,,,33.3333333333,,,,,,
1137.26,,,,,,,,,,,,,,,41.935483871,
1138.26,,,,,,,,,,,,,,,,10
1139.66,,,,,,,,,,,,,26.9230769231,,,
1144.408,,,,,,,,,42.5,,,,,,,
1145.06,,,,,,,,,,,,34.7826086957,,,,
1149.66,,,,,,,,21.7391304348,,,,,,,,
1160.26,,,,,,,,,,,,,,,38.7096774194,
1161.36,,,,,,,,,40,,,,,,,
1162.408,,,,,,,,,,,,,,18.75,,
1165.46,,,,,0,14.2857142857,0,,,,0,,,,,
1166.86,,,,,,,,,,,,,23.0769230769,,,
1175.46,,,,,,,,,,,,30.4347826087,,,,
1179.82,,,,,,,,,37.5,,,,,,,
1184.26,,,,,,,,,,,,,,,35.4838709677,
1185.46,,,,,,,,17.3913043478,,,,,,,,
1195.46,,,,,,,,,,,,,,,,5
1196.24,,,,,,,,,35,,,,,,,
1204.06,,,,,,,,,,,,,19.2307692308,,,
1205.608,,,,,,,,,,,,,,,32.2580645161,
1208.66,,,,,,,,,,,,26.0869565217,,,,
1212.86,,,,,,,,,,22.2222222222,,,,,,
1213.78,,,,,,,,,32.5,,,,,,,
1217.66,,,,,,,,,,,,,,12.5,,
1223.06,,,,,,,,13.0434782609,,,,,,,,
1224.402,,,,100,,,,,,,,,,,,
1227.46,,,,,,,,,,,,,,,29.0322580645,
1229.44,,,,,,,,,30,,,,,,,
1233.86,,,,,,,,,,,,,15.3846153846,,,
1239.46,,,,,,,,,,,,21.7391304348,,,,
1246.12,,,,,,,,,27.5,,,,,,,
1250.46,,,,,,,,,,,,,,,25.8064516129,
1262.66,,,,,,,,8.6956521739,25,,,,,,,
1267.46,,,,,,,,,,,,,,,,0
1270.86,,,,,,,,,,,,,,,22.5806451613,
1276.06,,,,,,,,,,,,17.3913043478,11.5384615385,,,
1277.66,,,,,,,,,,,,,,6.25,,
1278.56,,,,,,,,,22.5,,,,,,,
1292.164,,,,,,,,,,,,,,,19.3548387097,
1295.688,,,,,,,,,20,,,,,,,
1303.056,,,,,,,,,,11.1111111111,,,,,,
1304.46,,,,,,,,4.347826087,,,,,,,,
1309.46,,,,,,0,,,,,,,,,,
1310.374,,,,,,,,,,,,13.0434782609,7.6923076923,,,
1310.68,,,,,,,,,17.5,,,,,,,
1314.06,,,,,,,,,,,,,,,16.1290322581,
1326.82,,,,,,,,,15,,,,,,,
1337.06,,,,,,,,,,,,,,,12.9032258065,
1344,,,,,,,,,12.5,,,,,,,
1349.66,,,,,,,,,,,,8.6956521739,,,,
1361.298,,,,,,,,,,,,,,,9.6774193548,
1362.032,,,,,,,,,,,,,3.8461538462,,,
1362.484,,,,,,,,,10,,,,,,,
1380.66,,,,,,,,,,,,,,0,,
1382.22,,,,,,,,,7.5,,,,,,,
1386.172,,,,,,,,,,,,,,,6.4516129032,
1388.704,,,,,,,,0,,,,,,,,
1394.612,,,,,,,,,,,,4.347826087,,,,
1399.7,,,,,,,,,5,,,,,,,
1401.66,,,,,,,,,,,,,0,,,
1405.86,,,,,,,,,,0,,,,,,
1412.412,,,99,,,,,,,,,,,,3.2258064516,
1416.012,,,98,,,,,,,,,,,,,
1418.44,,,,,,,,,2.5,,,,,,,
1419.612,,,97,,,,,,,,,,,,,
1423.212,,,96,,,,,,,,,,,,,
1426.812,,,95,96.2962962963,,,,,,,,,,,,
1430.412,,,94,,,,,,,,,,,,,
1434.012,,,93,,,,,,,,,,,,,
1437.612,,,92,,,,,,,,,,,,,
1438.66,,,,,,,,,0,,,0,,,,
1439.86,,,,,,,,,,,,,,,0,
1440,0,0,92,96.2962962963,0,0,0,0,0,0,0,0,0,0,0,0
