Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
0,85.7142857143,80,46,81.4814814815,100,85.7142857143,100,73.9130434783,17.5,33.3333333333,90,0,42.3076923077,68.75,9.6774193548,85
3.6,,,45,,,,,,,,,,,,,
7.2,,,44,,,,,,,,,,,,,
9.32,,,,,,,,,20,,,,,,,
10.8,,,43,,,,,,,,,,,,,
12.06,,,,,,,,,,,,,,,12.9032258065,
14.4,,,42,,,,,,,,,,,,,
15.44,,,,,,,,78.2608695652,,,,,,,,
18.1,,,41,,,,,,22.5,,,,,,,
18.8,,,,,,,,,,,,,46.1538461538,,,
20,,,,,,,,,,,,,,,,90
21.6,,,40,,,,,,,,,,,,,
22.8,,,,77.7777777778,,,,,,,,,,,,
23.38,,,,,,,,,,,,,,75,16.1290322581,
23.8,,,,,,,,,,,95,,,,,
25.2,,,39,,,,,,,,,,,,,
27.18,,,,,,,,,25,,,,,,,
28.8,,,38,,,,,,,,,,,,,
31.2,,,,,,,,82.6086956522,,,,,,,,
32.4,,,37,,,,,,,,,,,,,
33.8,,,,,,,,,,,,4.347826087,,,,
34.94,,,,,,,,,,,,,,,19.3548387097,
35.36,,,,,,,,,,,,,50,,,
36,,,36,,,,,,27.5,,,,,,,
36.8,,,,,,,,,,44.4444444444,,,,,,
39.6,,,35,,,,,,,,,,,,,
41.6,,,,,,,,,,,,,,,,95
43.2,,,34,,,,,,,,,,,,,
44.58,,,,74.0740740741,,,,,30,,,,,,,
45.82,,,,,,,,,,,,,,,22.5806451613,
46.8,,,33,,,,,,,,,,,,,
47.3,,,,,,,,86.9565217391,,,,,,81.25,,
50.4,,,32,,,,,,,,100,,53.8461538462,,,
52.92,,,,,,,,,32.5,,,,,,,
54,,,31,,,,,,,,,,,,,
56.92,,,,,,,,,,,,,,,25.8064516129,
57.6,,,30,,,,,,,,,,,,,
60.2,,,,,,100,94.4444444444,,,,,8.6956521739,,,,
61.54,,,29,,,,,,35,,,,,,,
65,,,28,70.3703703704,,,,,,,,,,,,
66.96,,,,,,,,,,,,,57.6923076923,,,
68.4,,,27,,,,,,,,,,,,29.0322580645,
70.46,,,,,,,,,37.5,,,,,,,
71.5,,,,,,,,91.3043478261,,,,,,,,
72,,,26,,,,,,,,,,,,,
72.8,,,,,,,,,,55.5555555556,,,,,,
75.6,,,25,,,,,,,,,,,,,
78.2,,,,,,,,,,,,,,,,100
79.2,,,24,,,,,,40,,,,,,32.2580645161,
81.4,,,,,,,,,,,,,,87.5,,
82.2,,,,,,,,,,,,13.0434782609,61.5384615385,,,
82.8,,,23,,,,,,,,,,,,,
85,,,,66.6666666667,,,,,,,,,,,,
86.4,,,22,,,,,,,,,,,,,
87.58,,,,,,,,,42.5,,,,,,,
90,,,21,,,,,,,,,,,,35.4838709677,
93.6,,,20,,,,,,,,,,,,,
96.5,,,,,,,,95.652173913,45,,,,,,,
97.2,,,19,,,,,,,,,,,,,
99.54,,,,,,,,,,,,,65.3846153846,,,
100.88,,,18,,,,,,,,,,,,38.7096774194,
101.4,,,,,,,88.8888888889,,,,,,,,,
103.8,,,,,,,,,,,,17.3913043478,,,,
104.4,,,17,62.962962963,,,,,,,,,,,,
104.98,,,,,,,,,47.5,,,,,,,
108,,,16,,,,,,,,,,,,,
110.6,,,,,,,,,,66.6666666667,,,,,,
111.6,,,15,,,,,,,,,,,,,
112.2,,,,,,,,,,,,,,,41.935483871,
113.74,,,,,,,,,50,,,,,,,
115.2,,,14,,,,,,,,,,,,,
118.8,,,13,,,,,,,,,,,,,
119.54,,,,,,,,,,,,,69.2307692308,,,
122.4,,,12,59.2592592593,,,,,,,,21.7391304348,,,,
122.8,100,,,,,,,,52.5,,,,,,,
123.76,,,,,,,,,,,,,,,45.1612903226,
126,,,11,,,,,,,,,,,,,
126.4,,,,,,,,,,,,,,93.75,,
127.2,,,,,,,83.3333333333,,,,95,,,,,
128.6,,100,,,,,,,,,,,,,,
129.6,,,10,,,,,,,,,,,,,
132.2,,,,,,,,,55,,,,,,,
133.2,,,9,,,,,,,,,,,,,
135.56,,,,,,,,,,,,,,,48.3870967742,
136.9,,,8,,,,,,,,,,73.0769230769,,,
140.02,,,,55.5555555556,,,,,,,,,,,,
140.4,,,7,,,,,,,,,,,,,
141.48,,,,,,,,,,,,26.0869565217,,,,
141.94,,,,,,,,,57.5,,,,,,,
144,,,6,,,,,,,,,,,,,
145.1,,,,,,,,100,,,,,,,,
147.62,,,5,,,,,,,,,,,,51.6129032258,
151.2,,,4,,,,,,60,,,,,,,
154.04,,,,,85.7142857143,,,,,,,,,,,
154.2,,,,,,,,,,77.7777777778,,,,,,
154.8,,,3,,,,,,,,,,,,,
156.76,,,,51.8518518519,,,,,,,,,76.9230769231,,,
157.9,,,,,,,,,,,,30.4347826087,,,,
158.4,,,2,,,,,,,,,,,,,
159.94,,,,,,,,,,,,,,,54.8387096774,
160.56,,,,,,,,,62.5,,,,,,,
162,,,1,,,,,,,,,,,,,
165.6,,,0,,,,,,,,,,,,,
170.4,,,,,,,,,65,,,,,,,
172.56,,,,,,,,,,,,,,,58.064516129,
173.46,,,,48.1481481481,,,,,,,,,,,,
175.96,,,,,,,,,,,,34.7826086957,,,,
179.36,,,,,,,,,,,,,80.7692307692,,,
180.8,,,,,,,,,67.5,,,,,,,
185.52,,,,,,,,,,,,,,,61.2903225806,
191.6,,,,44.4444444444,,,,,70,,,,,100,,
194.44,,,,,,,77.7777777778,,,,90,39.1304347826,,,,
198.68,,,,,,,,,,,,,84.6153846154,,64.5161290323,
202.36,,,,,,,,,72.5,,,,,,,
205.6,,,,,,,,,,88.8888888889,,,,,,
210.432,,,,,,,,,,,,43.4782608696,,,,
211.12,,,,40.7407407407,,,,,,,,,,,,
212.48,,,,,,,,,,,,,,,67.7419354839,
