Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
0,100,69,100,99,9,4,31,45,27,6,20,20,0,15,20,19,
0.84, , , ,100, , , , , , , , , , , , ,
2.024, , , ,99, , , , , , , , , , , , ,
2.864, , , ,100, , , , , , , , , , , , ,
4.06, , , ,99, , , , ,28, , , , , , , ,
5.22, , , ,100, , , , , , ,21, , , , , ,
5.28, , , , , , , , , , , , , , , ,20,
5.6, , , , , , , ,46, , , , , , , , ,
6.072, , , ,99, , , , , , , , , , , , ,
7.14, , , ,100, , , , , , , , , , , , ,
7.42, , , , , , ,32, , , , , , ,16, , ,
8.096, , , , , , , , ,29, , , , , , , ,
8.4, , , ,99, , , , , , , , , , , , ,
9.24, , , ,100, , , , , , , , , , , , ,
9.56, , , , , , , , , , ,22, , , ,21, ,
10.34, , , ,99, , , ,47, , , , , , , ,21,
11.2, , , ,100,10, , , , , , , , , , , ,
12.144, , , ,99, , , , ,30, , , , , , , ,
12.984, , , ,100, , , , , , , , , , , , ,
14.32, , , ,99, , , , , , , , , , , , ,
14.62, , , , , , ,33, , , ,23, , ,17, , ,
15.2, , , ,100, , , ,48, , , , , , , ,22,
15.66, , , , , , , , ,31, , , , , , , ,
16.192, , , ,99, , , , , , , , , , , , ,
17.032, , , ,100, , , , , , , , , , , , ,
17.52, , , , , , , , , , , , , , ,22, ,
18.216, , , ,99, ,5, , , , , , , , , , ,
19.28, , , ,100, , , , , , , , , , , , ,
19.62, , , , , , , ,49,32, ,24, , , , , ,
20.38, , , ,99, , , , , , , , , , , ,23,
21.08, , , ,100, , , , , , , , , , , , ,
21.52, , , , , , ,34, , , , , , , , , ,
22.04, , , , , , , , , , , , , ,18, , ,
22.4, , , ,99,11, , , , , , , , , , , ,
23.44, , , ,100, , , , ,33, , , , , , , ,
24.08, , , , , , , ,50, , , , , , , , ,
24.288, , , ,99, , , , , ,7,25, , , , , ,
25.42, , , ,100, , , , , , , , , , ,23,24,
26.312, , , ,99, , , , , , , , , , , , ,
27.28, , , ,100, , , , ,34, , , , , , , ,
28, , , , , , , ,51, , , , , , , , ,
28.336, , , ,99, , , , , , , , , , , , ,
28.96, , , , , , ,35, , , ,26, , , , , ,
29.176, , , ,100, , , , , , , , , ,19, , ,
30.36, , , ,99, , , , , , , , , , , ,25,
31.2, , , ,100, , , , ,35, , , , , , , ,
31.92, , , , , , , ,52, , , , , , , , ,
32.62, , , ,99, , , , , , , , , , ,24, ,
33.34, , , ,100, , , , , , , , , , , , ,
33.6, , , , ,12,6, , , , , , , , , , ,
33.82, , , , , , , , , , ,27, , , , , ,
34.408, , , ,99, , , , , , , , , , , , ,
34.88, , , , , , , , ,36, , , , , , , ,
35.48, , , ,100, , , , , , , , , , , , ,
35.74, , , , , , , , , , , , , , , ,26,
36.1, , , , , , ,36,53, , , , , , , , ,
36.432, , , ,99, , , , , , , , , ,20, , ,
37.272, , , ,100, , , , , , , , , , , , ,
38.72, , , ,99, , , , ,37, ,28, , , , , ,
39.54, , , ,100, , , ,54, , , , , , ,25, ,
40.5, , , ,99, , , , , , , , , , , ,27,
41.32, , , ,100, , , , , , , , , , , , ,
42.504, , , ,99, , , , ,38, , , , , , , ,
43.344, , , , , , , ,55, , , , , , , , ,
43.46, , , ,100, , ,37, , , , , , ,21, , ,
43.76, , , , , , , , , ,8,29,21, , , , ,
44.86, , , ,99,13, , , , , , , , , , , ,
45.38, , , ,100, , , , , , , , , , , ,28,
46.06, , , , , , , , ,39, , , , , ,26, ,
46.552, , , ,99, , , ,56, , , , , , , , ,
47.6, , , ,100, , , , , , , , , , , , ,
48.576, , , ,99, ,7, , , , ,30, , , , , ,
49.416, , , ,100, , , , , , , , , , , , ,
49.88, , , , , , , ,57,40, , , , , , , ,
50.6, , , ,99, , , , , , , , , ,22, ,29,
51.44, , , ,100, , , , , , , , , , , , ,
52.06, , , , , , , , , , , , , , ,27, ,
52.624, , , ,99, , , , , , , , , , , , ,
53.58, , , , , , , ,58, , , , , , , , ,
53.72, , , ,100, , , , ,41, ,31, , , , , ,
54.648, , , ,99, , , , , , , , , , , , ,
55.72, , , ,100, , , , , , , , , , , , ,
56, , , , , , , , , , , , , , , ,30,
56.672, , , ,99, , , ,59, , , , , , , , ,
