Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
0,0,20,0,29.6296296296,12.5,25,11.1111111111,100,64,100,20,100,91.3043478261,68.75,100,40.9090909091
25.4,,,,25.9259259259,,,,97.8723404255,,,,,,,,
29,,,,,,,,,,,,,,,97.5609756098,
31.16,,,,,,,,,60,,,,,,,
34.8,,,,,,,,,,,,,,,,36.3636363636
45,,,,,,,,,,,15,,86.9565217391,62.5,,
46.8,,,,,,,,95.7446808511,,,,,,,,
49.02,,,,,,,,,,,,95.8333333333,,,,
53.4,,,,22.2222222222,,,,,,,,,,,,
54.18,,,,,,,,,,,,,,,95.1219512195,
62.8,,,,,,,,,56,,,,,,,
65.68,,,,,,,,93.6170212766,,,,,,,,
74.82,,,,,,,,,,,,,,,,31.8181818182
76,,,,,,,,,,90,,,,,92.6829268293,
84.6,,,,18.5185185185,,,,,,,,,,,,
85.88,,,,,,,,91.4893617021,,,,,,,,
90.4,,,,,,,,,,,,91.6666666667,,,,
93,,,,,,,,,,,,,82.6086956522,56.25,,
96.4,,,,,,,,,52,,,,,,,
99.26,,,,,,,,,,,,,,,90.243902439,
100.4,,,,,,,,,,,10,,,,,
103,,0,,,0,12.5,5.5555555556,,,,,,,,,
103.78,,,,,,,,89.3617021277,,,,,,,,
117.6,,,,,,,,,,,,,,,,27.2727272727
119.6,,,,14.8148148148,,,,,,,,,,,87.8048780488,
123,,,,,,,,87.2340425532,,,,,,,,
133.6,,,,,,,,,48,,,,,,,
134.2,,,,,,,,,,,,87.5,,,,
140,,,,,,,,85.1063829787,,,,,,,,
140.6,,,,,,,,,,,,,,,85.3658536585,
141,,,,,,,0,,,,,,78.2608695652,50,,
145.4,,,,,,,,,,80,5,,,,,
152.8,,,,,,,,,,,,,,,,22.7272727273
158.18,,,,,,,,82.9787234043,,,,,,,,
159.2,,,,11.1111111111,,,,,,,,,,,,
159.7,,,,,,,,,,,,,,,82.9268292683,
162.6,,,,,,,,,44,,,,,,,
167.4,,,,,,,,,,,,83.3333333333,,,,
174.4,,,,,,,,80.8510638298,,,,,,,,
179.48,,,,,,,,,,,,,,,80.487804878,
183.5,,,,,,,,,,,,,73.9130434783,43.75,,
191.68,,,,,,,,78.7234042553,,,,,,,,
192.8,,,,,,,,,40,,,,,,,
193.22,,,,,,,,,,,,,,,,18.1818181818
197.32,,,,,,,,,,,,,,,78.0487804878,
200.8,,,,,,,,,,,0,,,,,
202.4,,,,,,,,,,,,79.1666666667,,,,
204.2,,,,7.4074074074,,,,,,,,,,,,
205.4,,,,,,,,,,70,,,,,,
207.16,,,,,,,,76.5957446809,,,,,,,,
215.9,,,,,,,,,,,,,,,75.6097560976,
218.2,,,,,,,,,,,,,69.5652173913,,,
223.62,,,,,,,,74.4680851064,,,,,,,,
224.2,,,,,,,,,36,,,,,,,
228.4,,,,,,,,,,,,,,37.5,,
231,,,,,,,,,,,,75,,,,
234.84,,,,,,,,,,,,,,,73.1707317073,
238.58,,,,,,,,72.3404255319,,,,,,,,
240.6,,,,,,,,,,,,,,,,13.6363636364
246.2,,,,,,,,,,,,,65.2173913043,,,
247,,,,,,0,,,,,,,,,,
252.14,,,,,,,,,,,,,,,70.7317073171,
254.16,,,,,,,,70.2127659574,,,,,,,,
256,,,,3.7037037037,,,,,,,,,,,,
261.26,,,,,,,,,,,,70.8333333333,,,,
269.98,,,,,,,,,,,,,,,68.2926829268,
270.98,,,,,,,,68.085106383,,60,,,,,,
274.6,,,,,,,,,32,,,,,,,
285.2,,,,,,,,,,,,,60.8695652174,,,
285.9,,,,,,,,65.9574468085,,,,,,,,
287.2,,,,,,,,,,,,66.6666666667,,,,
288.42,,,,,,,,,,,,,,,65.8536585366,
293.8,,,,,,,,,,,,,,31.25,,
301.82,,,,,,,,63.829787234,,,,,,,,
307.5,,,,,,,,,,,,,,,63.4146341463,
316,,,,,,,,,,,,62.5,56.5217391304,,,
316.34,,,,0,,,,,,,,,,,,
318.78,,,,,,,,61.7021276596,,,,,,,,
327.26,,,,,,,,,,,,,,,60.9756097561,
328.6,,,,,,,,,28,,,,,,,
333,,,,,,,,,,,,,,,,9.0909090909
334.02,,,,,,,,59.5744680851,,,,,,,,
342.8,,,,,,,,,,50,,58.3333333333,,,,
345.12,,,,,,,,,,,,,,,58.5365853659,
350.2,,,1,,,,,57.4468085106,,,,,,,,
355.52,,,2,,,,,,,,,,,,,
359.6,,,,,,,,,,,,,52.1739130435,,,
360.44,,,3,,,,,,,,,,,,,
363.76,,,4,,,,,,,,,,,,56.0975609756,
365.8,,,,,,,,,,,,,,25,,
367,,,5,,,,,,,,,,,,,
367.44,,,,,,,,55.3191489362,,,,,,,,
369.94,,,6,,,,,,,,,,,,,
371.4,,,,,,,,,,,,54.1666666667,,,,
372.64,,,7,,,,,,,,,,,,,
375.14,,,8,,,,,,,,,,,,,
377.46,,,9,,,,,,,,,,,,,
379.62,,,10,,,,,,,,,,,,,
381.64,,,11,,,,,,,,,,,,,
382.68,,,,,,,,,,,,,,,53.6585365854,
383.66,,,12,,,,,,,,,,,,,
385.9,,,13,,,,,,,,,,,,,
386.24,,,,,,,,53.1914893617,,,,,,,,
386.8,,,,,,,,,24,,,,,,,
387.374,,,14,3.7037037037,,,,,,,,,,,,
389.082,,,15,,,,,,,,,,,,,
390.79,,,16,,,,,,,,,,,,,
391.8,,,,,,,,,,,,,47.8260869565,,,
392.412,,,17,,,,,,,,,,,,,
393.98,,,18,,,,,,,,,,,,,
395.526,,,19,,,,,,,,,,,,,
397.002,,,20,,,,,,,,,,,,,
398.478,,,21,,,,,,,,,,,,,
399.89,,,22,,,,,,,,,,,,,
